C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:37:43

sptypes = 'K'
-------------

Number of objects : 6163

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
115 |BD+49 3509                         |*  |21 22 35.6570962648 +49 58 29.119056316|     ~|11.60 | 9.86 |     ~|     ~|K              |   0|   0
116 |BD+50 3433B                        |*  |21 46 55.286 +51 28 08.66              |     ~|12.1  |10.6  |     ~|     ~|K              |   0|   0
117 |HD 235682                          |*  |21 58 51.5661482144 +54 49 01.385424721|     ~|10.72 | 9.63 |     ~|     ~|K              |   1|   0
118 |HD 240026                          |V* |22 41 29.8234705035 +56 44 45.136558987|     ~| 9.90 | 8.82 |     ~|     ~|Ke             |   5|   0
119 |HD 240139                          |Ro*|22 58 34.9792749205 +57 09 19.201162958|     ~|11.50 |10.74 |     ~|     ~|K              |   4|   0
120 |HD 240158                          |*  |23 01 28.9277206984 +57 00 53.340473269|     ~|10.99 | 9.77 |     ~|     ~|K              |   1|   0
121 |HD 219415                          |*  |23 14 53.8234236129 +56 43 49.168692927|     ~| 9.90 | 8.91 |     ~|     ~|K              |  13|   1
122 |HD 219812                          |*  |23 18 13.6922853883 +56 15 11.865581282|     ~| 9.62 | 8.55 |     ~|     ~|K              |   7|   0
123 |BD+52 451                          |*  |01 51 56.6330572508 +53 29 12.548538416|     ~|10.68 | 9.59 |     ~|     ~|K              |   0|   0
124 |BD+54 446                          |*  |02 03 17.0875011211 +54 54 26.881467532|     ~|11.64 | 9.95 |     ~|     ~|K              |   0|   0
125 |HD 275610                          |*  |03 41 09.3804112257 +40 34 39.901649932|     ~|11.90 |10.62 |     ~|     ~|K              |   1|   0
126 |HD 275715                          |*  |03 44 28.7781176106 +40 29 15.985025933|     ~|11.81 |11.24 |     ~|     ~|K              |   1|   0
127 |HD 193288                          |*  |20 17 42.3771638320 +44 13 32.526309465|     ~| 9.66 | 8.57 |     ~|     ~|K              |   1|   0
128 |BD+43 3504                         |*  |20 08 33.3320250818 +43 36 12.001878382|     ~|11.91 |10.36 |     ~|     ~|K              |   0|   0
129 |BD+45 3087                         |*  |20 11 41.7899312966 +45 26 26.943087626|     ~|11.20 |10.21 |     ~|     ~|K              |   0|   1
130 |HD 190492                          |*  |20 03 20.2852373868 +43 47 45.459044934|     ~|10.78 | 9.297|     ~|     ~|K              |   3|   0
131 |HD 194862                          |*  |20 26 10.3720455285 +45 24 51.491702053|     ~| 9.58 | 8.01 |     ~|     ~|K              |   1|   0
132 |HD 195939                          |*  |20 32 21.3143174382 +48 23 11.595662663|     ~| 9.40 | 8.38 |     ~|     ~|K              |   1|   0
133 |BD+53 2610                         |PM*|21 22 43.2281736530 +54 17 40.988917281|     ~|10.46 | 9.27 |     ~|     ~|K              |   0|   0
134 |HD 208308                          |*  |21 53 37.6301879989 +57 47 20.152848722|     ~| 9.96 | 8.80 |     ~|     ~|K              |   1|   0
135 |BD+56 2658                         |PM*|21 53 46.8864993674 +57 02 15.217661883|     ~|11.67 |10.73 |     ~|     ~|K              |   0|   0
136 |TYC 3977-1955-1                    |*  |22 07 44.4443333668 +56 50 03.138612741|     ~|11.50 |10.86 |     ~|     ~|K              |   0|   0
137 |BD+55 2659                         |*  |21 58 16.9025557201 +56 35 47.111734854|     ~|11.29 |10.06 |     ~|     ~|K              |   0|   0
138 |HD 239920                          |*  |22 18 29.4017263687 +58 37 12.901943474|     ~|11.74 |10.27 |     ~|     ~|K              |   1|   0
139 |BD+59 2691                         |*  |23 17 07.9124141577 +59 57 57.485954091|     ~|11.15 | 9.87 |     ~|     ~|K              |   0|   0
140 |HD 240291                          |*  |23 24 40.6142426923 +60 09 15.947993481|     ~|11.58 |10.04 |     ~|     ~|K              |   1|   0
141 |BD+58 2628                         |*  |23 40 18.2544688988 +59 31 39.786846372|     ~|12.08 |10.46 |     ~|     ~|K              |   1|   0
142 |BD+60 2624                         |*  |23 49 22.1605861524 +60 56 15.900940181|     ~|11.73 | 9.66 |     ~|     ~|K              |   1|   0
143 |HD 240480                          |*  |00 02 44.9512327748 +59 57 35.918043573|     ~|10.66 | 9.338| 8.817|     ~|K              |   8|   0
144 |HD 236313                          |*  |00 09 07.0943 +59 38 15.224            |     ~|10.46 | 9.74 |     ~|     ~|K              |   3|   0
145 |TYC 4014-3283-1                    |*  |00 00 26.0046225103 +60 25 39.325062504|     ~|11.52 |10.69 |     ~|     ~|K              |   4|   0
146 |TYC 4014-1005-1                    |*  |00 00 24.7730735546 +60 25 31.105869983|     ~|11.05 |10.29 |     ~|     ~|K              |   4|   0
147 |BD+55 513                          |*  |02 08 19.2384872797 +56 26 40.611631604|     ~|11.22 | 9.92 |     ~|     ~|K              |   1|   0
148 |HD 236952                          |*  |02 11 29.4206618089 +56 07 44.870956044|     ~| 9.15 | 8.18 |     ~|     ~|K              |   3|   0
149 |TYC 3700-1032-1                    |*  |02 51 53.8791861969 +53 01 26.211800225|     ~|11.5  |10.8  |     ~|     ~|K              |   0|   0
150 |HD 189300                          |*  |19 57 28.3824987480 +43 16 46.822985736|     ~|10.35 | 9.42 |     ~|     ~|K              |   1|   0
151 |TYC 3576-1394-1                    |PM*|20 15 44.5370034552 +47 31 22.757940918|     ~|11.65 |10.95 |     ~|     ~|K              |   1|   0
152 |TYC 3576-398-1                     |*  |20 17 46.3088425375 +47 30 02.405380028|     ~|12.28 |12.18 |     ~|     ~|K              |   1|   0
153 |HD 235383                          |*  |20 51 33.4199988532 +52 25 25.480139979|     ~|11.74 |10.04 |     ~|     ~|K              |   1|   0
154 |Cl Trumpler 37 87                  |*  |21 21 17.1380540226 +56 44 15.145414523|     ~|12.62 |11.05 |     ~|     ~|K              |   1|   0
155 |IRAS 21267+5815                    |*  |21 28 09.1171825333 +58 28 09.016548909|     ~|12.58 |10.45 |     ~|     ~|K              |   1|   0
156 |Cl Trumpler 37 983                 |*  |21 31 21.7820235858 +58 28 53.010808706|     ~|13.10 |10.78 |     ~|     ~|K              |   1|   0
157 |BD+56 2577                         |*  |21 27 28.2543888607 +57 15 30.145248873|     ~|11.88 |10.15 |     ~|     ~|K              |   1|   0
158 |BD+57 2379                         |*  |21 43 29.0121338305 +58 24 04.736510145|     ~|11.83 |10.09 |     ~|     ~|K              |   1|   0
159 |HD 207930                          |*  |21 50 46.9344981815 +58 38 05.149959192|     ~| 9.72 | 8.63 |     ~|     ~|K              |   1|   0
160 |Cl Trumpler 37 1298                |*  |21 39 59.0169949654 +58 45 56.054744355|     ~|12.11 |10.61 |     ~|     ~|K              |   1|   0
