C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:37:43

sptypes = 'K'
-------------

Number of objects : 6163

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
2869|BD+05 4464                         |*  |20 16 11.3749474524 +05 53 29.515149821|     ~|11.61 |10.39 |     ~|     ~|K              |   0|   0
2870|TYC 508-2270-1                     |*  |20 18 11.9273400087 +06 41 01.004199957|     ~|13.10 |10.29 |     ~|     ~|K              |   0|   0
2871|BD+04 4431                         |*  |20 22 24.7862241733 +04 56 46.712699751|     ~|11.57 |10.48 |     ~|     ~|K              |   0|   0
2872|BD+04 4432                         |*  |20 22 24.9995545129 +05 01 58.605306938|     ~|11.92 |10.47 |     ~|     ~|K              |   0|   0
2873|TYC 522-1704-1                     |*  |20 34 52.3856346063 +06 35 11.366239253|     ~|12.04 |10.62 |     ~|     ~|K              |   0|   0
2874|BD+05 4568                         |*  |20 37 32.6590913287 +06 11 23.570119368|     ~|11.76 |10.31 |     ~|     ~|K              |   0|   0
2875|HD 196545                          |*  |20 38 01.7946823923 +05 22 11.274450442|     ~| 9.76 | 8.70 |     ~|     ~|K              |   1|   0
2876|BD+04 4538                         |*  |20 45 43.1784741089 +04 46 30.264329852|     ~|12.07 |10.90 |     ~|     ~|K              |   0|   0
2877|BD+08 3068                         |*  |15 42 44.0239526661 +07 50 27.578616893|     ~|10.09 | 9.25 |     ~|     ~|K              |   4|   0
2878|BD+08 3153                         |*  |16 12 56.6072223943 +08 27 39.869687688|     ~|11.99 |10.98 |     ~|     ~|K              |   0|   0
2879|BD+10 3009                         |*  |16 29 04.1819130512 +09 49 09.640550082|     ~|11.98 |11.21 |     ~|     ~|K              |   0|   0
2880|BD+08 3237                         |*  |16 35 29.1954710663 +08 29 07.948322006|     ~|12.04 |11.29 |10.91 |     ~|K              |   2|   0
2881|BD+09 3257                         |*  |16 43 28.8906443001 +08 52 16.810748463|     ~|11.89 |10.50 |     ~|     ~|K              |   0|   0
2882|BD+09 3281                         |*  |16 49 32.245 +08 46 13.75              |     ~|12.16 |11.13 |     ~|     ~|K              |   0|   0
2883|BPS CS 22878-0101                  |Pe*|16 45 31.4514010341 +08 14 45.471045094|     ~|14.59 |13.79 |     ~|12.673|KIIvw          |  56|   0
2884|TYC 976-1814-1                     |*  |17 00 29.4116255970 +08 44 49.761744054|     ~|11.48 |10.28 |     ~|     ~|K              |   0|   0
2885|BD+08 3412                         |*  |17 26 30.6969296318 +08 31 58.212353892|     ~|11.52 |10.65 |     ~|     ~|K              |   0|   0
2886|BD+08 3437                         |*  |17 31 52.5423840889 +08 49 52.047331958|     ~|11.14 | 9.95 |     ~|     ~|K              |   0|   0
2887|TYC 993-137-1                      |*  |17 40 22.2038316801 +09 02 26.116773348|     ~|12.10 |10.84 |     ~|     ~|K              |   0|   0
2888|BD+09 3527                         |*  |17 59 03.6247356340 +09 34 51.689999269|     ~|12.45 |10.49 |     ~|     ~|K              |   0|   0
2889|BD+09 3560                         |*  |18 06 26.6977142529 +09 17 07.889925628|     ~|10.08 | 8.91 |     ~|     ~|K              |   1|   0
2890|BD+09 3688                         |*  |18 23 14.6672220345 +09 57 39.946387679|     ~|12.27 |10.54 |     ~|     ~|K              |   0|   0
2891|BD+08 3666                         |PM*|18 22 47.7824386488 +08 54 03.134421037|     ~|10.12 | 9.13 |     ~|     ~|K              |   0|   0
2892|BD+08 3675                         |*  |18 24 13.6762464026 +09 01 30.797937522|     ~|11.81 |10.10 |     ~|     ~|K              |   0|   0
2893|HD 169956                          |*  |18 26 44.4817077744 +09 56 26.926982040|     ~|10.28 | 8.66 |     ~|     ~|K              |   1|   0
2894|BD+08 3716                         |*  |18 29 54.4371013884 +08 31 47.959194952|     ~|10.81 | 9.58 |     ~|     ~|K              |   0|   0
2895|BD+08 3742                         |*  |18 33 24.4734585147 +08 28 49.861108583|     ~|11.47 | 9.74 |     ~|     ~|K              |   0|   0
2896|BD+09 4033                         |*  |19 14 38.5121317526 +09 25 56.069642160|     ~|11.83 |10.00 |     ~|     ~|K              |   0|   0
2897|TYC 1041-876-1                     |*  |19 13 19.3705548489 +08 33 39.790843809|     ~|11.81 |10.78 |     ~|     ~|K              |   0|   0
2898|BD+08 4149                         |*  |19 34 53.5354490549 +08 55 01.550446596|     ~|11.56 |10.32 |     ~|     ~|K              |   0|   0
2899|TYC 1056-2084-1                    |*  |19 36 52.1216580737 +08 51 46.647329712|     ~|12.20 |10.14 |     ~|     ~|K              |   0|   0
2900|HD 187041                          |*  |19 47 30.9832174661 +08 53 58.321867366|     ~|10.65 |10.61 |     ~|     ~|K              |   1|   0
2901|BD+09 4366                         |*  |20 00 41.8112393097 +09 38 22.504645344|     ~|12.13 |10.86 |     ~|     ~|K              |   0|   0
2902|BD+08 4288                         |*  |19 58 29.5603101182 +08 55 36.153299932|     ~|11.95 |10.32 |     ~|     ~|K              |   0|   0
2903|BD+08 4367                         |*  |20 10 54.3779893160 +08 43 06.509041403|     ~|11.08 | 9.98 |     ~|     ~|K              |   0|   0
2904|BD+06 4535                         |*  |20 27 52.9447278379 +07 24 08.041093651|     ~|10.95 | 9.90 |     ~|     ~|K              |   0|   0
2905|BD+06 4640                         |*  |20 46 10.7403676295 +06 47 58.385723496|     ~|11.61 |10.01 |     ~|     ~|K              |   0|   0
2906|BD+06 4658                         |*  |20 49 47.6287336513 +06 52 33.852087911|     ~|10.71 | 9.36 |     ~|     ~|K              |   0|   0
2907|BD+07 4575                         |*  |20 53 27.6958331670 +08 11 46.664323657|     ~|11.81 |11.36 |     ~|     ~|K              |   0|   0
2908|BD+06 4687                         |*  |20 54 11.7148402888 +07 19 15.112411261|     ~|11.34 |10.06 |     ~|     ~|K              |   0|   0
2909|BD+06 4710                         |*  |20 59 04.4081824056 +06 37 02.862434682|     ~|11.65 |10.46 |     ~|     ~|K              |   0|   0
2910|BD+05 4664                         |*  |20 59 06.2057611533 +06 32 10.203777222|     ~|12.45 |10.67 |     ~|     ~|K              |   0|   0
2911|BD+09 2994                         |*  |15 05 34.3335885685 +08 56 33.167284280|     ~|12.55 |11.52 |     ~|     ~|K              |   0|   0
2912|HD 138984                          |*  |15 35 11.6604358136 +10 57 33.936074823|     ~|10.30 | 9.00 |     ~|     ~|K              |   1|   0
2913|BD+10 2919                         |*  |15 54 00.8182896683 +09 50 10.307184125|     ~|11.62 |10.66 |     ~|     ~|K              |   0|   0
2914|1E 1912.3+1038                     |*  |19 14 43.4 +10 43 26                   |     ~|11.4  |     ~|     ~|     ~|K              |   4|   0
2915|V* V536 Aql                        |Or*|19 38 57.413016 +10 30 15.99804        |     ~|     ~|14.85 |12.27 |     ~|KV:e           |  58|   0
2916|HD 355891                          |*  |19 47 47.7270493789 +11 08 54.488747364|     ~|12.20 |11.80 |     ~|     ~|K              |   1|   0
2917|HD 356724                          |*  |20 05 33.0003684434 +12 04 00.514319895|     ~|11.84 |11.04 |     ~|     ~|K              |   1|   0
2918|HD 357136                          |PM*|20 14 29.2583804634 +11 10 37.885842773|     ~|12.36 |11.11 |     ~|     ~|K              |   2|   0
2919|HD 356804                          |*  |20 07 23.3739253917 +10 24 02.458308371|     ~|12.63 |11.30 |     ~|     ~|K              |   1|   0
2920|HD 357355                          |*  |20 19 25.7638922085 +10 42 36.146762136|     ~|10    |     ~|     ~|     ~|K              |   1|   0
2921|HD 357277                          |*  |20 18 45.2576464968 +10 15 44.687110632|     ~|12.02 |11.07 |     ~|     ~|K              |   1|   0
2922|HD 193098                          |*  |20 18 12.6957418595 +09 47 25.544119782|     ~|10.05 | 9.34 |     ~|     ~|K              |   1|   0
2923|TYC 1092-1461-1                    |*  |20 37 09.0522957261 +09 34 40.319547940|     ~|11.85 |10.76 |     ~|     ~|K              |   0|   0
2924|TYC 1089-1374-1                    |*  |20 47 06.0735090725 +08 46 57.876278364|     ~|11.60 |10.39 |     ~|     ~|K              |   0|   0
2925|TYC 1107-1263-1                    |*  |20 56 41.8158054580 +09 48 05.972321935|     ~|11.76 |10.75 |     ~|     ~|K              |   0|   0
2926|BD+07 4570                         |*  |20 53 07.5330284159 +08 20 02.571439176|     ~|11.01 | 9.91 |     ~|     ~|K              |   0|   0
2927|G 138-65                           |PM*|16 51 05.5146902667 +15 51 48.775743955|     ~|14.598|13.719|13.358|12.682|sd:K           |  14|   0
2928|HD 154327                          |*  |17 04 16.8068986024 +15 24 25.229704280|     ~|11.60 |10.11 |     ~|     ~|K              |   1|   0
2929|[FS2003] 0910                      |*  |17 40 27.56 +16 16 34.1                |     ~|     ~|     ~|     ~|     ~|K              |   2|   0
2930|HD 176543                          |PM*|19 00 15.7154369439 +14 15 58.241384094|     ~|11.08 |10.08 |     ~|     ~|K              |   2|   0
2931|HD 177008                          |Ro*|19 02 13.4700174973 +14 16 52.473508527|     ~|11.01 |10.185|     ~| 9.233|K              |   4|   0
2932|HD 179529                          |*  |19 12 31.7892519157 +14 59 35.335542154|     ~|11.10 | 9.41 |     ~|     ~|K              |   3|   0
2933|HD 354225                          |*  |19 54 20.6929426782 +14 28 57.699149855|     ~|12.24 |11.81 |     ~|     ~|K              |   1|   0
2934|HD 356701                          |*  |20 06 48.7125613988 +12 43 49.416632615|     ~|11.83 |10.66 |     ~|     ~|K              |   1|   0
2935|HD 193392                          |*  |20 19 38.4796800778 +13 00 17.175453840|     ~| 8.87 | 7.97 |     ~|     ~|K              |   9|   0
2936|HD 133370                          |*  |15 03 48.0 +14 02 00                   |     ~|     ~|     ~|     ~|     ~|K              |   1|   0
2937|HD 135992                          |*  |15 17 48.4739694639 +13 10 24.964030843|     ~|10.04 | 8.66 |     ~|     ~|K              |   6|   0
2938|V* V383 Ser                        |RS*|15 55 19.0929060451 +16 02 39.823503277|     ~|     ~|     ~| 8.1  |     ~|KV             |  19|   0
2939|HD 156948                          |*  |17 19 35.4196367162 +19 16 28.077875861|     ~| 9.49 | 8.17 |     ~|     ~|K              |   4|   0
2940|BD+17 3248                         |HB*|17 28 14.4691668039 +17 30 35.848406966|     ~|10.02 | 9.34 |     ~|     ~|KIIvw          | 201|   0
2941|HD 176215                          |*  |18 58 29.5585731865 +18 31 30.321447475|     ~| 9.10 | 8.21 |     ~|     ~|K              |   1|   0
2942|HD 177304                          |*  |19 03 24.1527002279 +17 50 40.729199212|     ~| 9.72 | 8.61 |     ~|     ~|K              |  10|   0
2943|HD 185120                          |*  |19 36 56.5250234060 +18 03 02.123063151|     ~| 9.63 | 8.53 |     ~|     ~|K              |   1|   0
2944|HD 353432                          |*  |19 41 42.9122286202 +17 08 49.014829128|     ~|10.85 | 9.65 |     ~|     ~|K              |   1|   0
2945|CCDM J19468+1733AB                 |** |19 46 45.996 +17 33 08.60              |     ~| 9.4  | 9.1  |     ~|     ~|K              |   2|   0
2946|HD 354498                          |*  |20 00 52.8291826625 +15 56 48.064149587|     ~|10    |     ~|     ~|     ~|K              |   1|   0
2947|HD 354553                          |*  |20 00 31.4984563002 +14 43 24.184783905|     ~|12.13 |10.88 |     ~|     ~|K              |   1|   0
2948|HD 354968                          |*  |20 10 26.7992182189 +15 09 02.792944758|     ~|11.39 |10.32 |     ~|     ~|K              |   1|   0
2949|HD 354994                          |*  |20 08 29.6828974865 +14 41 57.350416178|     ~|11.46 |10.09 |     ~|     ~|K              |   1|   0
2950|HD 355362                          |*  |20 18 25.0718447300 +16 06 19.986761621|     ~|11.90 |10.88 |     ~|     ~|K              |   1|   0
2951|HD 142226                          |*  |15 52 52.3189967798 +17 33 26.018934158|     ~|10.21 | 9.13 |     ~|     ~|K              |   4|   0
2952|HD 155862                          |*  |17 13 28.5043307821 +20 32 43.701643348|     ~| 9.76 | 8.58 |     ~|     ~|K              |   1|   0
2953|HD 166047                          |*  |18 07 59.8885373816 +22 18 07.407798593|     ~| 9.73 | 8.60 |     ~|     ~|K              |   1|   0
2954|HD 347870                          |*  |18 03 37.8075067518 +19 43 11.887275540|     ~|10.66 | 9.29 |     ~|     ~|K              |   0|   0
2955|HD 170029                          |*  |18 26 31.3051968112 +21 47 36.726326489|     ~|10.24 | 8.62 |     ~|     ~|K              |   1|   0
2956|HD 170265                          |*  |18 27 37.5888044017 +21 48 21.172866906|     ~|10.04 | 8.37 |     ~|     ~|K              |   1|   0
2957|HD 170561                          |*  |18 29 17.0335473415 +21 48 52.903343127|     ~|10.01 | 8.85 |     ~|     ~|K              |   4|   0
2958|HD 348556                          |*  |18 24 49.6063121568 +20 35 27.530182901|     ~|12.12 |10.65 |     ~|     ~|K              |   1|   0
2959|V* CV Sge                          |LP*|19 42 56.6967631429 +18 13 52.611501848|     ~|11.69 |10.03 |     ~|     ~|K              |   4|   0
2960|HD 350275                          |*  |19 42 14.6370326883 +19 37 29.892781771|     ~|11.88 |10.93 |10.57 |     ~|K              |   0|   0
2961|HD 186999                          |*  |19 46 50.2242943475 +19 43 51.425299055|     ~| 9.41 | 8.35 |     ~|     ~|K              |   2|   0
2962|HD 350766                          |*  |19 52 01.61 +19 29 41.6                |     ~|10    |     ~|     ~|     ~|K              |   1|   0
2963|HD 350392                          |*  |19 44 29.7176798007 +19 03 35.585791699|     ~|11.54 |10.62 |     ~|     ~|K              |   1|   0
2964|HD 188102                          |*  |19 52 54.1200717141 +18 48 41.804086261|     ~| 9.50 | 8.31 |     ~|     ~|K              |   7|   0
2965|HD 350770                          |*  |19 52 59.3353207632 +19 12 16.488383668|     ~|11.80 |10.86 |     ~|     ~|K              |   1|   0
2966|BSNS 3                             |*  |19 53 44.4689902066 +18 54 35.555499154|     ~|     ~|14.90 |     ~|     ~|K              |   3|   0
2967|HD 351216                          |*  |20 01 59.0380605212 +18 32 46.015628517|     ~|11.69 |10.76 |     ~|     ~|K              |   1|   0
2968|HD 355035                          |*  |20 11 26.4590231784 +16 59 27.877498545|     ~|12.32 |11.02 |     ~|     ~|K              |   1|   0
2969|HD 352035                          |*  |20 18 55.2185767695 +17 49 16.570969494|     ~|12.89 |11.02 |     ~|     ~|K              |   1|   0
2970|HD 199518                          |*  |20 57 15.7787265378 +14 50 22.473736415|     ~|10.00 | 9.06 |     ~|     ~|K              |   1|   0
2971|RX J1622.9+2245                    |BY*|16 22 55.3042026958 +22 46 04.218607235|     ~|11.50 |10.65 |10.18 |     ~|K              |   4|   0
2972|HD 335525                          |*  |18 02 54.7760811853 +24 44 38.567907345|     ~|11.29 |10.13 |     ~|     ~|K              |   1|   0
2973|[FS2003] 0956                      |*  |18 12 21.16 +22 35 52.9                |     ~|     ~|     ~|     ~|     ~|K              |   2|   0
2974|HD 345156                          |*  |19 51 01.1470210134 +21 03 58.234702312|     ~|12.18 |10.90 |     ~|     ~|K              |   1|   0
2975|HD 344912                          |*  |19 44 26.7709709246 +22 29 52.373400746|     ~|10.88 |10.29 |     ~|     ~|K              |   2|   0
2976|HD 345384                          |*  |19 56 38.3893245605 +20 51 29.329309265|     ~|12.10 |11.04 |     ~|     ~|K              |   2|   0
2977|HD 345772                          |*  |20 04 59.5502706121 +21 16 54.797646266|     ~|11.73 |10.76 |     ~|     ~|K              |   1|   0
2978|HD 351441                          |*  |20 09 07.0 +19 29 12                   |     ~|10    |     ~|     ~|     ~|K              |   0|   0
2979|V* LV Del                          |RV*|20 42 12.0312267740 +19 09 23.328461701|     ~|16.808|     ~|     ~|     ~|K              |   5|   0
2980|HD 353014                          |*  |20 45 46.4736503980 +17 28 12.496944088|     ~|11.47 | 9.92 |     ~|     ~|K              |   1|   0
2981|HD 353189                          |*  |20 51 34.0018678593 +18 51 31.514238299|     ~|12.45 |11.40 |     ~|     ~|K              |   1|   0
2982|V* SX Her                          |RV*|16 07 27.2519044725 +24 54 29.936873708|     ~| 9.95 | 8.60 |     ~|     ~|KIIvw          |  74|   0
2983|HD 335820                          |*  |18 16 55.5496667077 +26 50 40.098587254|     ~|11.61 | 9.95 |     ~|     ~|K              |   1|   0
2984|HD 336954                          |*  |18 48 32.3384761473 +24 59 38.640564369|     ~|12.21 |11.59 |     ~|     ~|K              |   1|   0
2985|HD 181601                          |*  |19 20 07.4786564767 +26 39 43.924825597|     ~| 8.83 | 7.32 |     ~|     ~|K              |  14|   0
2986|HD 182759                          |*  |19 25 14.6069293093 +25 28 25.367684628|     ~| 9.53 | 8.19 |     ~|     ~|K              |   4|   0
2987|HD 345308                          |*  |19 56 26.8648920952 +23 09 19.841266018|     ~|11.23 |11.00 |     ~|     ~|K              |   1|   0
2988|HD 345582                          |*  |20 03 42.6676501519 +22 50 51.821839402|     ~|11.49 |10.01 |     ~|     ~|K              |   1|   0
2989|HD 346539                          |*  |20 23 22.2733036544 +21 58 18.620862900|     ~|11.49 |10.37 |     ~|     ~|K              |   1|   0
2990|HD 346687                          |*  |20 28 19.3999490906 +21 34 38.552454969|     ~|11.75 |10.85 |10.48 |     ~|K              |   0|   0
2991|HD 347075                          |*  |20 34 51.3789784377 +21 10 18.319190824|     ~|11.80 |10.96 |     ~|     ~|K              |   1|   0
2992|HD 352706                          |*  |20 41 13.1485060454 +21 01 32.263715474|     ~|12.01 |11.64 |     ~|     ~|K              |   1|   0
2993|HD 347322                          |*  |20 42 02.0 +21 02 24                   |     ~|10    |     ~|     ~|     ~|K              |   0|   0
2994|HD 353057                          |*  |20 50 04.3625726942 +19 20 12.533297226|     ~|12.37 |11.07 |     ~|     ~|K              |   1|   0
2995|1RXS J175140.9+281855              |V* |17 51 41.386536 +28 19 01.10316        |     ~|15.05 |13.53 |12.48 |     ~|K              |   3|   0
2996|HD 336658                          |*  |18 40 59.1738737586 +27 50 17.562647213|     ~|11.42 |10.37 |     ~|     ~|K              |   1|   0
2997|[FS2003] 1046                      |*  |19 54 06.05 +25 18 56.5                |     ~|     ~|     ~|     ~|     ~|K              |   2|   0
2998|HD 339384                          |*  |20 03 03.7103215081 +26 16 08.132395714|     ~|11.59 |10.51 |     ~|     ~|K              |   1|   0
2999|HD 339273                          |*  |19 59 40.1237756013 +26 33 24.315139089|     ~|11.93 |11.25 |     ~|     ~|K              |   1|   0
3000|HD 339597                          |*  |20 05 54.7428836898 +25 51 24.334782418|     ~|12.39 |11.10 |     ~|     ~|K              |   1|   0
3001|HD 346357                          |*  |20 22 03.2253753740 +24 21 14.567513344|     ~|10.40 | 9.20 |     ~|     ~|K              |   1|   0
3002|HD 346355                          |*  |20 22 25.6131500554 +24 21 55.449844972|     ~|10.53 | 9.55 |     ~|     ~|K              |   1|   0
3003|HD 346732                          |*  |20 29 46.9114338407 +23 46 22.916930607|     ~|12.54 |11.35 |     ~|     ~|K              |   1|   0
3004|[FS2003] 1093                      |*  |20 49 40.09 +22 39 09.2                |     ~|     ~|     ~|     ~|     ~|K              |   2|   0
3005|RX J1539.7+2751                    |*  |15 39 44.25 +27 51 14.2                |     ~|     ~|13.74 |     ~|     ~|K              |   4|   0
3006|HD 167995                          |*  |18 16 19.4137713599 +32 17 23.242867610|     ~| 9.79 | 8.69 |     ~|     ~|K              |   1|   0
3007|HD 169167                          |*  |18 21 56.2914251086 +32 30 06.382075424|     ~| 9.50 | 8.35 |     ~|     ~|K              |   1|   0
3008|HD 171385                          |PM*|18 33 06.9786318382 +33 21 22.341142863|     ~| 9.60 | 8.41 |     ~|     ~|K              |   2|   0
3009|HD 170877                          |*  |18 30 19.9733242523 +31 35 51.595493670|     ~| 9.54 | 8.29 |     ~|     ~|K              |   4|   0
3010|HD 172672                          |*  |18 40 07.6535388542 +31 39 31.500270518|     ~| 9.26 | 8.19 |     ~|     ~|K              |   6|   0
3011|HD 176210                          |*  |18 57 48.7431288754 +32 52 04.579709323|     ~| 9.38 | 8.26 |     ~|     ~|K              |   2|   0
3012|V* HH Vul                          |LP*|19 52 10.0862224092 +29 14 08.859697012|     ~|11.28 | 9.56 |     ~|     ~|K              |   6|   0
3013|HD 332893                          |*  |19 49 13.5682574245 +28 17 11.506128831|     ~|11.60 |10.60 |     ~|     ~|K              |   1|   0
3014|HD 332824                          |*  |19 51 17.2747793070 +30 06 08.936950333|     ~|11.63 |10.60 |     ~|     ~|K              |   1|   0
3015|HD 332570                          |*  |19 45 08.2071930907 +28 51 00.468403674|     ~|11.18 |10.92 |     ~|     ~|K              |   2|   0
3016|GSC 02151-03832                    |*  |19 43 41.6482410981 +29 13 47.035451497|     ~|13.43 |12.20 |11.81 |     ~|K              |   1|   0
3017|HD 333047                          |*  |19 53 07.7351215967 +27 50 00.048999679|     ~|11.91 |10.68 |     ~|     ~|K              |   1|   0
3018|HD 333917                          |*  |20 11 54.7675179799 +27 42 00.831397998|     ~|11.87 |10.86 |10.52 |     ~|K              |   0|   0
3019|HD 333479                          |*  |20 04 10.6174331203 +28 06 25.623250113|     ~|13.12 |11.36 |     ~|     ~|K              |   1|   0
3020|HD 334323                          |*  |20 23 26.2396942003 +28 14 41.698286983|     ~|12.11 |11.59 |     ~|     ~|K              |   1|   0
3021|HD 340132                          |*  |20 23 50.4858792170 +25 53 12.469194157|     ~|11.28 |10.89 |     ~|     ~|K              |   1|   0
3022|HD 340699                          |*  |20 37 14.8955116226 +26 08 35.987712783|     ~|11.66 |10.67 |     ~|     ~|K              |   1|   0
3023|HD 347327                          |*  |20 44 10.6558 +24 21 22.527            |     ~|11.69 |10.99 |     ~|     ~|K              |   1|   0
3024|HD 341387                          |*  |20 57 25.4089723825 +24 19 17.760358753|     ~|11.75 |10.59 |     ~|     ~|K              |   1|   0
3025|HD 341380                          |*  |20 58 35.8289357539 +24 40 52.992520532|     ~|11.74 |10.13 |     ~|     ~|K              |   1|   0
3026|BD+36 2870                         |*  |17 26 57.9872967909 +35 59 25.341072252|     ~|12.26 |11.07 |     ~|     ~|K              |   0|   0
3027|BD+36 2932                         |*  |17 44 08.8470929421 +36 21 50.169315824|     ~|12.07 |11.02 |     ~|     ~|K              |   0|   0
3028|BD+36 3020                         |*  |18 07 06.2362239105 +36 19 47.886682210|     ~|10.05 | 8.92 |     ~|     ~|K              |   0|   0
3029|HD 169817                          |*  |18 25 01.3628957518 +35 01 54.853493298|     ~| 9.79 | 8.28 |     ~|     ~|K              |   1|   0
3030|HD 175291                          |*  |18 53 15.8419413461 +33 28 28.125678774|     ~| 9.45 | 8.31 |     ~|     ~|K              |   4|   0
3031|HD 176088                          |*  |18 57 14.5060146958 +34 08 43.898472725|     ~| 9.57 | 8.42 |     ~|     ~|K              |   1|   0
3032|HD 176376                          |*  |18 58 30.1075461506 +35 07 02.249258814|     ~| 9.43 | 8.57 |     ~|     ~|K              |   5|   0
3033|HD 178028                          |*  |19 05 40.8432433942 +33 48 21.083467874|     ~| 9.12 | 8.15 |     ~|     ~|K              |   1|   0
3034|HD 179397                          |PM*|19 10 55.5789121964 +33 52 25.462625957|     ~| 9.53 | 8.32 |     ~|     ~|K              |   1|   0
3035|HD 180139                          |*  |19 14 03.5174373838 +32 59 12.786081926|     ~| 9.65 | 8.70 |     ~|     ~|K              |   4|   0
3036|HD 184847                          |*  |19 35 05.2620693226 +33 33 21.762157706|     ~| 9.11 | 8.08 |     ~|     ~|K              |   4|   0
3037|HD 184523                          |*  |19 33 36.3005060903 +32 29 20.188774579|     ~| 9.58 | 8.13 |     ~|     ~|K              |   1|   0
3038|HD 225581                          |*  |19 44 27.1086524842 +33 14 29.342270647|     ~|11.49 | 9.96 |     ~|     ~|K              |   2|   0
3039|HD 225580                          |*  |19 44 22.8127662396 +33 15 02.743715827|     ~|11.27 |11.19 |     ~|     ~|K              |   2|   0
3040|HD 331357                          |*  |19 53 21.2633543955 +32 48 12.555304404|     ~|11.83 |10.42 |     ~|     ~|K              |   1|   0
3041|HD 331767                          |*  |20 06 04.9656925652 +31 58 35.429361633|     ~|12.02 |10.34 |     ~|     ~|K              |   1|   0
3042|HD 334100                          |** |20 18 13.42541 +29 12 14.9908          |     ~| 9.68 | 9.04 | 8.82 |     ~|K              |  31|   0
3043|HD 334269                          |*  |20 23 43.0778024265 +29 39 20.315910639|     ~|11.76 |10.63 |     ~|     ~|K              |   1|   0
3044|HD 334339                          |*  |20 26 41.4785415910 +30 36 02.327227651|     ~|12.11 |10.79 |     ~|     ~|K              |   1|   0
3045|HD 334444                          |*  |20 29 29.9178997839 +30 14 41.406663053|     ~|12.06 |11.41 |     ~|     ~|K              |   1|   0
3046|NGC 6940 28                        |*  |20 33 25.0154972492 +28 00 46.970988102|     ~|12.68 |11.56 |     ~|     ~|K              |  11|   0
3047|HD 335077                          |*  |20 45 15.6194174166 +28 55 51.099786278|     ~|11.69 |10.59 |     ~|     ~|K              |   1|   0
3048|HD 334937                          |*  |20 39 47.8287243931 +29 31 59.138483845|     ~|11.87 |10.42 |     ~|     ~|K              |   1|   0
3049|HD 335109                          |*  |20 43 27.0291466536 +28 08 46.454174328|     ~|11.74 |10.82 |     ~|     ~|K              |   1|   0
3050|HD 335275                          |*  |20 49 19.9247771999 +28 12 50.153170192|     ~|11.88 |11.33 |     ~|     ~|K              |   1|   0
3051|HD 335268                          |*  |20 50 04.3824454336 +28 29 09.461420596|     ~|10.92 | 9.93 |     ~|     ~|K              |   1|   0
3052|BD+36 2702                         |*  |16 10 03.9015159226 +35 59 04.286599049|     ~|11.77 |10.82 |     ~|     ~|K              |   0|   0
3053|BD+38 2978                         |*  |17 41 03.3564211315 +38 11 14.842703960|     ~|11.42 |10.07 |     ~|     ~|K              |   0|   0
3054|BD+38 2992                         |*  |17 44 33.6627317918 +38 09 28.136892753|     ~|12.76 |11.39 |     ~|     ~|K              |   0|   0
3055|BD+38 3241                         |*  |18 38 00.5186946284 +38 45 47.660231269|     ~|11.00 |10.60 |     ~|     ~|K              |   0|   0
3056|HD 173868                          |*  |18 45 55.3718669884 +36 42 44.427550533|     ~| 9.26 | 8.27 |     ~|     ~|K              |   2|   0
3057|BD+36 3379                         |*  |19 02 28.7200966538 +36 44 21.311399311|     ~|12.34 |10.85 |     ~|     ~|K              |   1|   0
3058|[FS2003] 1014                      |*  |19 16 04.03 +35 25 38.6                |     ~|     ~|     ~|     ~|     ~|K              |   2|   0
3059|HD 181658                          |SB*|19 19 52.8303065808 +35 32 16.605052477| 9.810| 9.140| 8.200|     ~|     ~|K              |  18|   0
3060|HD 185754                          |*  |19 39 15.8633055994 +35 25 45.767235234|     ~| 9.67 | 8.30 |     ~|     ~|K              |   1|   0
3061|HD 189595                          |*  |19 59 28.8133665928 +34 29 31.547404708|     ~| 9.54 | 8.38 |     ~|     ~|K              |   3|   0
3062|HD 331730                          |*  |20 04 57.1219207196 +32 39 29.916491178|     ~|11.45 | 9.75 |     ~|     ~|K              |   1|   0
3063|HD 331960                          |*  |20 12 12.1602813173 +33 03 35.440102774|     ~|12.02 |10.04 |     ~|     ~|K              |   1|   0
3064|HD 331894                          |*  |20 11 38.0380521751 +32 40 20.677764415|     ~|11.93 |10.71 |     ~|     ~|K              |   1|   0
3065|HD 228177                          |*  |20 11 19.8516910216 +34 35 07.393876238|     ~|11.75 |10.71 |     ~|     ~|K              |   3|   0
3066|HD 332106                          |*  |20 18 57.9019690384 +32 58 16.417268587|     ~|12.13 |11.03 |     ~|     ~|K              |   1|   0
3067|HD 332207                          |*  |20 22 21.7520541472 +31 48 46.500399247|     ~|11.72 |10.51 |     ~|     ~|K              |   1|   0
3068|HD 334815                          |*  |20 36 52.0293170615 +29 52 55.580818310|     ~|12.03 |11.49 |     ~|     ~|K              |   1|   0
3069|HD 335016                          |*  |20 43 45.4156761622 +31 01 22.436394777|     ~|11.52 |11.11 |     ~|     ~|K              |   1|   0
3070|HD 335169                          |*  |20 48 31.2992480082 +29 30 56.183081433|     ~|11.63 |10.26 |     ~|     ~|K              |   1|   0
