C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.21CET20:36:27

sptypes = 'G'
-------------

Number of objects : 3851

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
64  |BD+40 4229                         |*  |20 33 18.2628146303 +40 56 10.629952117|     ~| 9.89 | 9.44 |     ~|     ~|G              |   6|   0
65  |EM* LkHA 172                       |TT*|20 52 26.764 +44 17 06.63              |     ~|16.044|14.631|     ~|12.840|Ge             |  23|   0
66  |TYC 3575-4326-1                    |*  |20 55 25.5212996138 +45 59 48.202645129|     ~|11.74 |11.31 |     ~|     ~|G              |   1|   0
67  |EM* UHA 127                        |Em*|21 02 37.1055828260 +44 49 12.668867103|     ~|13.36 |12.68 |12.72 |     ~|G              |   4|   0
68  |EM* UHA 31                         |Em*|20 49 39.9439804765 +45 04 01.398967514|     ~|15    |14    |     ~|     ~|G              |   4|   0
69  |TYC 3612-2374-1                    |*  |21 45 07.9263529860 +48 49 17.047845960|     ~|12.27 |11.62 |     ~|     ~|G              |   0|   0
70  |NGC 7092 111                       |*  |21 32 58.6889307831 +48 27 49.279931641|     ~|13.06 |12.52 |     ~|     ~|G              |   2|   0
71  |TYC 3632-571-1                     |*  |22 31 43.5470714661 +52 00 37.002880678|     ~|11.78 |10.35 |     ~|     ~|G              |   2|   0
72  |HD 215808                          |PM*|22 46 54.1186827476 +53 48 09.284213627|     ~| 8.58 | 8.03 |     ~|     ~|G              |  10|   0
73  |TYC 4003-378-1                     |*  |23 26 53.6236800569 +55 39 46.627073130|     ~|11.60 |10.97 |     ~|     ~|G              |   0|   0
74  |TYC 3657-316-1                     |*  |00 24 36.5093183196 +55 00 16.363324610|     ~|11.12 |10.07 |     ~|     ~|G              |   0|   0
75  |TYC 3290-1600-1                    |*  |01 36 39.6170031414 +51 28 42.755863257|     ~|12.07 |11.25 |     ~|     ~|G              |   0|   0
76  |TYC 3292-1120-1                    |*  |02 00 09.4653286180 +50 47 19.201154524|     ~|12.15 |11.00 |     ~|     ~|G              |   0|   0
77  |BD+49 519                          |PM*|02 00 26.0583995707 +49 52 58.398182293|     ~|10.14 | 8.57 |     ~|     ~|G              |   2|   0
78  |TYC 3300-2214-1                    |*  |02 38 34.1537846154 +48 43 45.379005439|     ~|11.04 |10.19 |     ~|     ~|G              |   1|   0
79  |HD 275533                          |*  |03 36 08.9846269973 +40 36 59.076250764|     ~|11.61 |11.04 |     ~|     ~|G              |   1|   0
80  |HD 275450                          |*  |03 34 07.2603486827 +40 45 30.326955214|     ~|11.92 |11.08 |     ~|     ~|G              |   1|   0
81  |TYC 3158-1444-1                    |*  |20 09 46.8981842169 +41 29 04.955686832|     ~|12.48 |12.32 |     ~|     ~|G              |   0|   0
82  |EM* UHA 1                          |Em*|20 40 11.2128587963 +44 18 01.359053322|     ~|14.0  |13.5  |     ~|     ~|G              |   4|   0
83  |TYC 3579-1469-1                    |*  |20 52 23.1708339726 +48 19 57.214245557|     ~|13.19 |11.74 |     ~|     ~|G              |   5|   0
84  |HD 207539                          |PM*|21 48 02.2399831289 +53 30 14.574810679|     ~| 9.26 | 8.66 |     ~|     ~|G              |   4|   0
85  |TYC 3666-1595-1                    |*  |00 33 12.4692874030 +58 37 16.535282494|     ~|11.98 |11.29 |     ~|     ~|G              |   0|   0
86  |HD 232439                          |*  |01 27 47.7296492363 +55 08 18.589277199|     ~|11.67 |10.78 |     ~|     ~|G              |   1|   0
87  |HD 232477                          |*  |01 37 30.5287 +55 11 16.202            |     ~|10.88 |10.35 |     ~|     ~|G              |   1|   0
88  |HD 232493                          |*  |01 40 07.3463714566 +54 33 31.358198770|     ~|10.56 |10.04 |     ~|     ~|G              |   1|   0
89  |BD+49 735                          |*  |02 39 41.5478184513 +50 29 58.579995146|     ~|11.26 |10.64 |     ~|     ~|G              |   0|   0
90  |** HU 206B                         |*  |02 49 57.73 +48 00 00.0                |     ~|     ~|12    |     ~|     ~|G              |   0|   1
91  |BD+43 729                          |*  |03 28 03.3789060626 +44 20 22.514503650|     ~| 9.05 | 8.59 |     ~|     ~|G              |   2|   0
92  |HD 275724                          |*  |03 43 53.4033286132 +39 59 38.484089100|     ~|11.83 |11.56 |     ~|     ~|G              |   1|   0
93  |HD 275779                          |*  |03 47 31.5121810908 +41 01 20.570195469|     ~|11.67 |10.98 |     ~|     ~|G              |   2|   0
94  |HD 191376                          |*  |20 07 49.3299919900 +43 58 40.662601992|     ~| 9.96 | 8.97 |     ~|     ~|G              |   2|   0
95  |HD 192181                          |*  |20 11 39.8747771945 +45 21 21.564516432|     ~|10.39 | 9.92 |     ~|     ~|G              |   1|   0
96  |BD+47 3106                         |*  |20 25 59.2769936824 +47 59 47.755503545|     ~| 9.86 | 9.19 |     ~|     ~|G              |   1|   0
97  |HD 199167                          |*  |20 53 26.8428132941 +50 28 36.899554270|     ~| 9.22 | 8.62 |     ~|     ~|G              |  11|   0
98  |HD 201034                          |PM*|21 05 14.2039443117 +51 09 03.754517821| 9.290| 9.300| 8.840|     ~|     ~|G              |  12|   0
99  |HBC 727                            |Em*|21 03 58.1359359064 +50 14 40.199619992|     ~|     ~|15.36 |14.32 |13.35 |Ge             |  10|   0
100 |HD 204186                          |PM*|21 25 07.01351 +52 28 30.4788          |     ~| 9.15 | 8.54 |     ~|     ~|G              |  15|   1
101 |BD+52 2864                         |*  |21 04 49.6257256115 +52 56 20.171779941|     ~|11.42 |11.03 |     ~|     ~|G              |   0|   0
102 |HD 207131                          |*  |21 45 11.3535948674 +54 30 32.906386863|     ~| 9.31 | 8.88 |     ~|     ~|G              |   8|   0
103 |HD 207898                          |*  |21 50 44.4315358978 +55 24 42.235582636| 9.620| 9.540| 9.050|     ~|     ~|G              |   7|   0
104 |HD 208037                          |*  |21 51 54.1081519349 +55 15 15.792783638|     ~| 9.40 | 8.90 |     ~|     ~|G              |   1|   0
105 |Cl Trumpler 37 223                 |*  |21 46 14.1495754040 +56 56 59.721996542|     ~|12.76 |11.38 |     ~|     ~|G              |   1|   0
106 |Cl Trumpler 37 226                 |*  |21 46 24.4313046062 +57 06 07.683311629|     ~|12.95 |12.02 |     ~|     ~|G              |   1|   0
107 |TYC 3667-593-1                     |*  |00 51 15.7930587685 +59 50 18.927824871|     ~|11.68 |11.35 |     ~|     ~|G              |   0|   0
108 |TYC 3690-1782-1                    |*  |02 18 45.3729871455 +54 29 56.186810334|     ~|12.31 |11.75 |     ~|     ~|G              |   0|   0
109 |Cl Melotte 20 174                  |*  |03 13 07.5067804003 +49 34 03.033223336|     ~|12.30 |11.52 |     ~|     ~|G              |  10|   0
110 |HD 21886                           |*  |03 33 33.1796063417 +45 45 12.496966272|     ~| 9.76 | 9.01 |     ~|     ~|G              |   2|   0
111 |HD 23839                           |*  |03 49 56.8305139851 +42 24 34.050329792|     ~| 9.80 | 9.28 |     ~|     ~|G              |   1|   0
112 |HD 276009                          |*  |04 01 53.5224595409 +41 43 40.791336959|     ~|10.96 |10.54 |     ~|     ~|G              |   4|   0
113 |HD 188773                          |*  |19 54 55.6424769565 +45 05 36.532646061|     ~|10.93 |10.39 |     ~|     ~|G              |   2|   0
114 |BD+48 3154B                        |*  |20 31 15.4622668803 +49 14 03.520241619|     ~|10.81 |10.18 |     ~|     ~|G              |   0|   0
115 |TYC 3961-1186-1                    |PM*|21 08 50.7311920840 +56 47 42.020034085|     ~|12.81 |11.37 |     ~|     ~|G              |   2|   0
116 |BD+56 2553                         |*  |21 17 54.2542317323 +56 48 07.429575788|     ~|11.32 | 9.98 |     ~|     ~|G+A            |   1|   0
117 |Cl Trumpler 37 362                 |*  |21 24 10.6051829845 +57 19 44.362821267|     ~|12.14 |10.83 |     ~|     ~|G              |   1|   0
118 |Cl Trumpler 37 502                 |*  |21 42 50.1884209302 +57 28 32.032307405|     ~|12.12 |10.84 |     ~|     ~|G              |   1|   0
119 |Cl Trumpler 37 374                 |*  |21 26 55.9560776525 +57 23 32.528688637|     ~|12.7  |     ~|     ~|     ~|G              |   1|   0
120 |Cl Trumpler 37 412                 |*  |21 33 03.740 +57 14 39.32              |     ~|12.7  |     ~|     ~|     ~|G              |   1|   0
121 |Cl Trumpler 37 160                 |*  |21 36 10.4678561063 +56 52 30.113433574|     ~|12.9  |     ~|     ~|     ~|G              |   1|   0
122 |Cl Trumpler 37 947                 |*  |21 23 09.0509980381 +58 35 12.280874569|     ~|12.57 |11.67 |     ~|     ~|G              |   1|   0
123 |Cl Trumpler 37 971                 |*  |21 29 50.4466238518 +58 33 21.115396527|     ~|12.9  |     ~|     ~|     ~|G              |   1|   0
124 |Cl Trumpler 37 946                 |*  |21 22 57.7039797321 +58 32 40.560436543|     ~|13.21 |12.50 |     ~|     ~|G              |   1|   0
125 |Cl Trumpler 37 1268                |*  |21 33 57.2942754527 +58 58 10.676950313|     ~|12.45 |11.62 |     ~|     ~|G              |   1|   0
126 |Cl Trumpler 37 147                 |*  |21 33 07.1235392503 +56 47 12.282582396|     ~|13.14 |12.08 |     ~|     ~|G              |   1|   0
127 |TYC 3974-123-1                     |PM*|21 30 08.0401100362 +57 25 11.510727697|     ~|13.15 |11.70 |     ~|     ~|G              |   4|   0
128 |Cl Trumpler 37 648                 |*  |21 18 57.9586699348 +58 08 49.752950336|     ~|13.0  |     ~|     ~|     ~|G              |   1|   0
129 |Cl Trumpler 37 670                 |*  |21 28 17.9362491961 +58 00 58.118858943|     ~|12.77 |11.75 |     ~|     ~|G              |   2|   0
130 |Cl Trumpler 37 695                 |*  |21 33 58.0555572958 +57 52 06.434049619|     ~|13.0  |     ~|     ~|     ~|G              |   1|   0
131 |Cl Trumpler 37 142                 |*  |21 31 33.3429470721 +57 01 08.771142799|     ~|13.1  |     ~|     ~|     ~|G              |   1|   0
132 |Cl Trumpler 37 697                 |*  |21 34 16.8047337267 +57 59 11.315287142|     ~|13.1  |     ~|     ~|     ~|G              |   1|   0
133 |Cl Trumpler 37 443                 |*  |21 36 48.2649062924 +57 39 18.452943548|     ~|11.67 |10.47 |     ~|10.06 |G              |   3|   0
134 |HD 239781                          |*  |21 50 44.4259521532 +58 55 27.345470898|     ~|10.97 |10.44 |     ~|     ~|G              |   1|   0
135 |Cl Trumpler 37 1794                |*  |21 42 21.6984936553 +60 05 15.768461193|     ~|12.72 |11.73 |     ~|     ~|G              |   1|   0
136 |Cl Trumpler 37 1560                |*  |21 44 56.8400949637 +59 20 12.799841434|     ~|13.24 |12.05 |     ~|     ~|G              |   1|   0
137 |Cl Trumpler 37 1037                |*  |21 41 59.4093916045 +58 14 47.739815021|     ~|12.70 |11.25 |     ~|     ~|G              |   1|   0
138 |Cl Trumpler 37 1039                |*  |21 42 02.7843656915 +58 24 43.345016873|     ~|13.16 |11.80 |     ~|     ~|G              |   1|   0
139 |Cl Trumpler 37 1302                |*  |21 41 06.9742794845 +59 07 29.952431326|     ~|13.08 |11.87 |     ~|     ~|G              |   1|   0
140 |Cl Trumpler 37 530                 |*  |21 46 35.4631633914 +57 26 22.832686559|     ~|12.28 |10.87 |     ~|     ~|G              |   1|   0
141 |Cl Trumpler 37 516                 |*  |21 44 50.2139366310 +57 25 49.569630698|     ~|12.21 |11.60 |     ~|     ~|G              |   2|   0
142 |Cl Trumpler 37 517                 |*  |21 44 53.8460118290 +57 28 36.602189916|     ~|12.8  |     ~|     ~|     ~|G              |   1|   0
143 |Cl Trumpler 37 522                 |*  |21 45 40.1099577326 +57 27 39.601146658|     ~|12.76 |11.52 |     ~|     ~|G              |   1|   0
144 |2MASS J22284738+6112147            |*  |22 28 47.3753489772 +61 12 14.684676142|     ~|     ~|     ~|     ~|     ~|G              |   1|   0
145 |BD+60 2425A                        |*  |22 39 45.7807 +61 23 47.663            |     ~|11.27 |10.68 |     ~|     ~|G              |   3|   1
146 |BD+60 2425B                        |*  |22 39 44.4594212083 +61 24 26.139556967|     ~|10.50 |10.15 |     ~|     ~|G              |   3|   0
147 |[PNJ2003] 36                       |PM*|22 51 52.1811513117 +62 38 51.263522246|     ~|     ~|15.670|     ~|     ~|G              |   1|   0
148 |[PNJ2003] 56                       |*  |22 51 04.7245361880 +62 49 25.134801916|     ~|     ~|16.853|     ~|     ~|G              |   1|   0
149 |[PNJ2003] 38                       |*  |22 52 20.4624645829 +62 38 05.195192869|     ~|     ~|14.770|     ~|     ~|G              |   1|   0
150 |[PNJ2003] 40                       |*  |22 50 52.4649188252 +62 52 05.627619710|     ~|     ~|16.920|     ~|     ~|G              |   1|   0
151 |[PNJ2003] 76                       |*  |22 50 22.26 +62 25 21.6                |     ~|     ~|     ~|     ~|     ~|G              |   1|   0
152 |[D75b] Em* 22-142                  |Em*|22 56 36.5297705959 +62 40 07.806058721|15.721|     ~|13.01 |     ~|11.26 |G              |   7|   0
153 |[BNM2013] 14.03 189                |PM*|22 56 05.0067388194 +62 48 26.993221529|     ~|     ~|15.912|     ~|     ~|G              |   2|   0
