C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
7304 |BPS CS 22945-0009                  |RR*|23 27 05.2360363717 -65 40 31.922418991|     ~|15.306|14.5  |     ~|     ~|A              |   4|   0
7305 |V* CG Tuc                          |a2*|23 29 00.9803255800 -63 06 38.352640450|     ~| 5.51 | 5.68 |     ~|     ~|ApSi           |  86|   0
7306 |BPS CS 22945-0020                  |HB*|23 36 26.3399247658 -63 10 21.806115487|     ~|14.39 |13.0  |     ~|     ~|A              |   3|   0
7307 |HD 110568                          |a2*|12 43 32.7354863147 -54 52 22.200201948|     ~|10.23 | 9.80 |     ~|     ~|A(pCrEu)       |   8|   0
7308 |HD 111010                          |*  |12 46 52.0685821638 -55 28 41.571459004|     ~|10.36 |10.33 |     ~|     ~|ApSi           |   4|   0
7309 |HD 109830                          |a2*|12 38 18.0686918708 -57 10 31.903602278|     ~|10.34 |10.30 |     ~|     ~|ApSi           |   7|   0
7310 |HD 109789                          |a2*|12 37 59.1657511289 -58 01 24.506136750|     ~| 9.64 | 9.64 |     ~|     ~|ApSi           |   8|   0
7311 |HD 311909                          |*  |12 49 55.1646280325 -60 13 13.271989264|     ~|12.05 |12.23 |     ~|     ~|A              |   1|   0
7312 |HD 311904                          |*  |12 47 57.9890931770 -60 20 14.845107621|     ~|12.09 |11.22 |     ~|     ~|A              |   1|   0
7313 |HD 312245                          |*  |12 58 56.2035858639 -61 03 11.056139797|     ~|11.72 |11.31 |     ~|     ~|A              |   1|   0
7314 |HD 312130                          |*  |12 56 00.9537656353 -60 58 56.567953079|     ~|11.48 |11.33 |     ~|     ~|A              |   2|   1
7315 |HD 312121                          |** |12 54 24.348 -60 52 53.65              |11.61 |11.86 |11.68 |11.75 |     ~|A              |   2|   1
7316 |HD 312114                          |*  |12 52 17.9547008007 -60 47 20.388444587|12.21 |12.43 |12.25 |     ~|     ~|A              |   2|   0
7317 |HD 312102                          |*  |12 53 59.42 -60 37 43.5                |     ~|10    |     ~|     ~|     ~|A              |   1|   0
7318 |HD 311951                          |*  |12 50 31.7234382737 -60 53 21.838916888|     ~|12.85 |12.50 |     ~|     ~|A              |   1|   0
7319 |HD 311950                          |*  |12 50 33.5035190878 -60 53 14.448485794|     ~|12.29 |12.10 |     ~|     ~|A              |   1|   0
7320 |HD 311905                          |*  |12 47 57.0890287379 -60 19 12.518760476|11.91 |11.69 |11.22 |     ~|     ~|A              |   2|   0
7321 |HD 312122                          |*  |12 54 00.4880 -60 49 41.666            |11.49 |11.27 |10.89 |     ~|     ~|A              |   3|   0
7322 |HD 311780                          |*  |12 42 27.1821763368 -60 30 43.905909740|     ~|12.61 |11.83 |     ~|     ~|A              |   1|   0
7323 |HD 312113                          |*  |12 52 28.4918446489 -60 44 01.915729562|11.11 |11.37 |11.21 |11.16 |10.92 |A              |   1|   0
7324 |HD 311914                          |*  |12 51 35.5554101217 -60 28 25.327411822|     ~|11.48 |11.26 |     ~|     ~|A              |   1|   0
7325 |HD 312123                          |*  |12 54 00.8608108892 -60 49 26.901521117|10.87 |10.83 |10.67 |     ~|     ~|A              |   6|   0
7326 |HD 312133                          |*  |12 57 14.2902877331 -61 05 48.110443370|     ~|11.37 |11.17 |     ~|     ~|A              |   2|   0
7327 |HD 311985                          |*  |12 50 31.5311036517 -61 19 08.552004531|     ~|12.45 |12.43 |     ~|     ~|A              |   1|   0
7328 |HD 311994                          |*  |12 47 37.41 -61 50 44.0                |     ~|10    |     ~|     ~|     ~|A              |   1|   0
7329 |HD 312151                          |*  |12 59 52.9269764645 -62 12 46.505430465|     ~|12.40 |11.70 |     ~|     ~|A              |   1|   0
7330 |HD 312020                          |*  |12 50 26.7523137628 -62 11 03.981988144|     ~|12.24 |12.04 |     ~|     ~|A              |   1|   0
7331 |HD 312019                          |*  |12 50 05.8707819300 -62 13 15.122320765|     ~|12.82 |12.15 |12.32 |11.78 |A              |   0|   0
7332 |HD 312017                          |*  |12 49 49.681 -62 11 54.42              |     ~|12.63 |12.04 |     ~|     ~|A              |   1|   0
7333 |HD 312010                          |*  |12 50 45.4066384007 -61 59 49.690293851|     ~|13.01 |12.59 |     ~|     ~|A              |   1|   0
7334 |HD 312009                          |*  |12 50 54.9230486979 -61 55 06.919037548|     ~|12.76 |12.92 |     ~|     ~|A              |   1|   0
7335 |HD 311865                          |*  |12 47 17.5206591758 -62 41 09.345458262|     ~|12.46 |12.20 |     ~|     ~|A              |   2|   0
7336 |V* V1142 Cen                       |Al*|12 58 14.8882313472 -62 58 07.901954894|     ~|12.15 |11.79 |11.57 |11.11 |A              |   8|   0
7337 |HD 312147                          |*  |12 55 33.6807726418 -62 16 19.059761434|     ~|13.02 |12.29 |     ~|     ~|A              |   1|   0
7338 |HD 312046                          |*  |12 51 56.3471091693 -63 01 18.586067644|     ~|10    |     ~|     ~|     ~|A              |   1|   0
7339 |HD 312042                          |*  |12 51 39.6956831523 -62 49 13.264095387|     ~|12.75 |11.97 |     ~|     ~|A              |   1|   0
7340 |HD 312029                          |*  |12 50 04.6858717728 -62 26 28.337381420|     ~|11.90 |11.94 |     ~|     ~|A              |   1|   0
7341 |HD 312028                          |*  |12 49 58.1568419297 -62 23 24.560055064|     ~|13.45 |12.44 |     ~|     ~|A              |   1|   0
7342 |HD 312025                          |*  |12 52 00.3736253027 -62 20 47.260042236|     ~|10    |     ~|     ~|     ~|A              |   1|   0
7343 |HD 311866                          |*  |12 48 23.9052153769 -62 47 02.043064199|     ~|10    |     ~|     ~|     ~|A              |   1|   0
7344 |HD 311888                          |*  |12 47 09.7785537561 -63 10 38.376243594|     ~|12.31 |11.80 |     ~|     ~|A              |   4|   0
7345 |HD 311982                          |*  |12 51 03.6296351906 -61 17 56.923275218|     ~|11.30 |10.87 |     ~|     ~|A              |   1|   0
7346 |HD 111176                          |*  |12 48 13.7768810953 -64 39 09.578985726| 9.65 | 9.86 | 9.71 |     ~|     ~|ApSi           |   8|   0
7347 |HD 111675                          |*  |12 51 58.0042140431 -66 02 12.883866834|     ~|10.03 | 9.74 |     ~|     ~|ApEuSr         |   4|   0
7348 |HD 113588                          |*  |13 06 10.3394170179 -66 44 55.352521496|     ~| 9.68 | 9.55 |     ~|     ~|ApEuCr(Sr)     |   5|   0
7349 |HD 115285                          |*  |13 17 48.2505842483 -68 02 24.461877799|     ~| 8.45 | 8.33 |     ~|     ~|ApSiCr         |  11|   0
7350 |HD 116423                          |*  |13 25 26.4753486368 -68 10 39.198853858|     ~| 8.63 | 8.50 |     ~|     ~|ApEuSr(Cr)     |  17|   0
7351 |HD 116124                          |a2*|13 23 32.9580594494 -69 10 42.666340728|     ~| 9.33 | 9.30 |     ~|     ~|ApSi           |   7|   0
7352 |* 67 Mus                           |SB*|13 25 50.3011564140 -70 37 38.091162600|     ~| 5.626| 5.651|     ~|     ~|ApHg(Mn)       | 115|   0
7353 |HD 115226                          |a2*|13 18 00.0187343885 -72 57 00.946459151|     ~| 8.84 | 8.50 |     ~|     ~|ApSr(Eu)       |  28|   0
7354 |HD 122713                          |** |14 07 51.9326744101 -75 46 58.042421050|     ~| 8.13 | 8.12 |     ~|     ~|ApSi           |  10|   0
7355 |HD 128863                          |*  |14 46 26.5495 -78 47 21.130            |     ~|10.49 |10.10 |     ~|     ~|A              |   3|   0
7356 |HD 172690                          |*  |19 02 14.4134331252 -83 56 23.249683734|     ~| 7.47 | 7.49 |     ~|     ~|ApSi(SrCr)     |  22|   0
7357 |HD 185797                          |*  |19 57 17.1069906419 -82 53 35.952731904|     ~|11.15 |10.85 |     ~|     ~|A              |   2|   0
7358 |CPD-82 801                         |*  |20 20 20.5280913138 -82 25 39.588474282|     ~|11.19 |10.92 |     ~|     ~|A              |   1|   0
7359 |HD 192118                          |*  |20 23 33.8439557403 -79 44 19.491987416|     ~|10.40 |10.17 |     ~|     ~|ApSi           |  13|   0
7360 |SV* BV 1349                        |HB*|22 49 15.8160894367 -66 30 41.166838944|     ~|14.96 |14.59 |14.53 |     ~|A              |   7|   0
7361 |BPS CS 22938-0022                  |HB*|22 48 29.7317416388 -66 38 22.322874910|     ~|15.02 |14.74 |15.08 |     ~|A              |   1|   0
7362 |BPS CS 22938-0029                  |HB*|22 56 05.2981022079 -66 40 14.532452344|     ~|14.39 |13.97 |14.02 |     ~|A              |   1|   0
7363 |BPS CS 22938-0038                  |HB*|23 00 01.6902808581 -64 33 17.900484609|     ~|15.04 |14.81 |15.01 |     ~|A              |   1|   0
7364 |V* CN Tuc                          |a2*|23 09 27.7128494220 -63 39 12.112479629|     ~| 9.62 | 9.38 |     ~|     ~|ApEuSr         |  37|   0
7365 |BPS CS 22938-0071                  |HB*|23 12 37.3076156711 -63 50 20.899287336|     ~|14.25 |13.94 |13.98 |     ~|A              |   3|   0
7366 |CCDM J23133-6035AB                 |** |23 13 16.03824 -60 35 02.8514          |     ~| 8.8  | 8.56 |     ~|     ~|ApSr           |  29|   1
7367 |HD 111672                          |*  |12 51 35.6753127328 -52 35 31.801287184|     ~| 9.75 | 9.81 |     ~|     ~|ApSi           |   7|   0
7368 |V* V823 Cen                        |a2*|12 56 58.2221359148 -54 35 14.487809249|     ~| 6.431| 6.485|     ~|     ~|ApSiCr         |  66|   0
7369 |HD 113486                          |*  |13 05 00.0708994233 -57 08 12.246589201|     ~|10.99 |10.87 |     ~|     ~|A              |   2|   0
7370 |HD 312218                          |*  |13 02 17.0595963814 -60 34 21.968012201|     ~|12.33 |11.60 |     ~|     ~|A              |   2|   0
7371 |HD 312214                          |*  |13 02 06.9376277252 -60 28 53.249229811|     ~|10    |     ~|     ~|     ~|A              |   1|   0
7372 |HD 312224                          |*  |13 01 53.1416683518 -60 47 32.043254963|     ~|11.66 |11.60 |11.29 |10.97 |A              |   1|   0
7373 |HD 312222                          |*  |13 01 49.8919697120 -60 39 18.751085858|     ~|11.8  |     ~|     ~|     ~|A              |   1|   0
7374 |HD 116120                          |*  |13 22 59.8914146460 -62 52 02.658384542|     ~|10.72 |10.58 |     ~|     ~|A              |   4|   0
7375 |HD 114697                          |a2*|13 13 21.6821389847 -60 38 50.429508124|     ~| 9.83 | 9.80 |     ~|     ~|ApSi           |  14|   0
7376 |HD 117025                          |PM*|13 29 07.9129521426 -64 40 33.026601971| 6.23 | 6.20 | 6.07 |     ~|     ~|ApSrEuCr       |  43|   0
7377 |CCDM J13374-6456AB                 |** |13 37 25.67183 -64 56 08.7328          | 7.21 | 7.51 | 7.55 |     ~|     ~|ApSi           |  19|   1
7378 |HD 118473                          |*  |13 39 00.4476733031 -64 41 41.130688840|     ~| 7.89 | 7.86 |     ~|     ~|ApSi           |  12|   0
7379 |HD 114568                          |*  |13 12 41.2331249764 -64 30 14.186225775|     ~|10.25 |10.18 |     ~|     ~|ApSi           |   4|   0
7380 |HD 117345                          |*  |13 31 27.5062554295 -66 14 59.765025318|     ~| 9.84 | 9.51 |     ~|     ~|A              |   3|   0
7381 |HD 118683                          |PM*|13 40 35.7531334496 -67 17 50.661319000|     ~|10.21 | 9.85 |     ~|     ~|ApSrCr(Eu)     |   4|   0
7382 |HD 120081                          |*  |13 49 33.1734988221 -66 58 59.421795831|     ~| 8.92 | 8.91 |     ~|     ~|ApSi           |   5|   0
7383 |HD 118913                          |*  |13 42 26.9552571211 -69 14 48.910383406|     ~| 7.76 | 7.69 |     ~|     ~|ApEuCrSr       |  26|   0
7384 |HD 120377                          |*  |13 51 55.2335429991 -70 45 20.011348927|     ~| 9.22 | 9.14 |     ~|     ~|ApSi           |  12|   0
7385 |HD 123627                          |a2*|14 12 01.2832932937 -70 10 30.780933609|     ~| 8.38 | 8.14 |     ~|     ~|ApSrEuCr       |  22|   0
7386 |HD 124269                          |a2*|14 16 16.8317504999 -72 36 47.789510458|     ~| 9.62 | 9.61 |     ~|     ~|ApSi           |   9|   0
7387 |HD 125555                          |*  |14 24 46.4967783144 -75 02 07.683232124|     ~| 9.75 | 9.42 |     ~|     ~|ApSrEuCr(+A)   |   8|   0
7388 |HD 125903                          |a2*|14 27 24.4008066539 -75 53 48.366579093|     ~| 9.35 | 9.40 |     ~|     ~|ApSi           |  13|   0
7389 |HD 127114                          |*  |14 34 41.5608976900 -75 37 33.974745674|     ~|10.26 | 9.81 |     ~|     ~|A              |   2|   0
7390 |HD 129899                          |a2*|14 51 30.0353699486 -77 10 33.494826808|     ~| 6.41 | 6.44 |     ~|     ~|ApSi           |  29|   0
7391 |HD 134109                          |a2*|15 15 27.0288203978 -77 41 51.831705075|     ~| 9.15 | 9.16 |     ~|     ~|ApSi           |  13|   0
7392 |HD 135480                          |a2*|15 22 45.2452232833 -77 42 19.120656858|     ~| 9.11 | 8.91 |     ~|     ~|ApSr(CrEu)     |  15|   0
7393 |HD 136575                          |a2*|15 29 58.3059551793 -78 50 29.031709644|     ~|10.40 |10.17 |     ~|     ~|ApSr(Eu)       |   7|   0
7394 |HD 137607                          |*  |15 35 57.3633642084 -79 05 09.740560497|     ~| 7.55 | 7.52 |     ~|     ~|ApSi           |  12|   0
7395 |HD 148588                          |*  |16 39 10.3274683245 -78 34 02.851372248|     ~| 9.55 | 9.53 |     ~|     ~|ApSi           |   4|   0
7396 |HD 172164                          |a2*|18 49 35.2698398189 -78 40 45.294722898|     ~| 9.71 | 9.59 |     ~|     ~|ApSi           |  11|   0
7397 |V* CC Oct                          |dS*|20 03 31.7416866957 -78 49 50.699593496|     ~| 8.50 | 7.97 |     ~|     ~|ApSrYZrBa      |  48|   0
7398 |V* CK Oct                          |a2*|20 13 56.3655030778 -78 52 42.269671915|     ~|10.41 | 9.94 |     ~|     ~|ApEuSr         |  40|   0
7399 |V* CE Ind                          |a2*|21 51 43.4707366731 -73 10 10.339174144|     ~| 9.13 | 8.83 |     ~|     ~|ApEuSrCr       |   9|   0
7400 |BPS CS 22956-0111                  |HB*|22 21 34.8461349805 -66 47 12.175092559|     ~|15.51 |15.36 |     ~|     ~|A              |   2|   0
7401 |BPS CS 22938-0004                  |HB*|22 33 40.1507491331 -65 28 12.001074335|     ~|14.84 |14.46 |14.41 |     ~|A              |   3|   0
7402 |BPS CS 22938-0017                  |HB*|22 47 15.9082451946 -63 50 28.255466163|     ~|15.07 |14.78 |14.93 |     ~|A              |   1|   0
7403 |BPS CS 22956-0120                  |HB*|22 27 27.5504558592 -64 48 42.953854546|     ~|14.32 |14.07 |     ~|     ~|A              |   4|   0
7404 |BPS CS 22938-0015                  |HB*|22 46 56.7732457097 -63 28 24.284079732|     ~|14.31 |13.91 |13.99 |     ~|A              |   3|   0
7405 |BPS CS 22938-0016                  |HB*|22 46 21.7998208994 -63 29 59.670150626|     ~|14.39 |14.03 |14.08 |     ~|A              |   3|   0
7406 |CD-46 8198                         |*  |12 49 50.6357675436 -46 55 30.729746080|     ~|11.19 |11.15 |     ~|     ~|A              |   0|   0
7407 |HD 112406                          |*  |12 57 02.9838791330 -48 55 03.488290574|     ~| 9.10 | 8.74 |     ~|     ~|A              |   4|   0
7408 |V* V824 Cen                        |a2*|13 10 58.4330761785 -52 34 00.841035289|     ~| 5.943| 6.026|     ~|     ~|ApSi           |  70|   0
7409 |HD 115032                          |*  |13 15 22.2520943964 -55 23 00.577035396|     ~| 9.46 | 9.48 |     ~|     ~|A              |   3|   0
7410 |HD 117429                          |*  |13 31 29.7739562663 -57 18 30.875555498|     ~|11.32 |11.14 |     ~|     ~|A              |   3|   0
7411 |HD 117488                          |*  |13 31 57.0103056963 -58 27 06.719779603|     ~|11.1  |10.9  |     ~|     ~|A              |   5|   0
7412 |V* V819 Cen                        |RR*|13 19 21.6957889207 -58 11 41.515723926|     ~| 9.16 | 8.99 |     ~|     ~|ApSi           |  28|   0
7413 |HD 116949                          |*  |13 28 27.1688627386 -60 21 24.418385569|     ~|10.46 |10.24 |     ~|     ~|A              |   4|   0
7414 |HD 117239                          |*  |13 30 30.1087339824 -61 10 27.527481624|     ~|10.40 |10.22 |     ~|     ~|A              |   6|   0
7415 |HD 118549                          |*  |13 39 06.2497482142 -60 39 57.494062466|     ~|10.47 |10.52 |     ~|     ~|ApSi           |   6|   0
7416 |HD 119474                          |a2*|13 45 11.5953905117 -61 13 00.617566197|     ~|10.07 |10.05 |     ~|     ~|ApSi           |   9|   0
7417 |HD 118737                          |a2*|13 40 39.6814944093 -64 54 07.398329444|     ~| 9.78 | 9.77 |     ~|     ~|ApSi           |   8|   0
7418 |HD 121509                          |*  |13 57 52.7576854122 -64 34 08.940270631|     ~|10.59 |10.34 |     ~|     ~|A              |   2|   0
7419 |HD 124437                          |a2*|14 16 20.9836974045 -66 11 36.166954570|     ~| 9.08 | 8.95 |     ~|     ~|ApCrSrEu       |  15|   0
7420 |HD 120346                          |*  |13 51 08.5754900787 -66 32 04.863370980|     ~| 9.99 | 9.82 |     ~|     ~|ApSrCr(Eu)     |   4|   0
7421 |HD 124051                          |*  |14 14 05.8462796941 -68 11 26.572699351|     ~| 7.28 | 7.23 |     ~|     ~|ApSi           |  10|   0
7422 |HD 127241                          |*  |14 33 28.7800146934 -68 08 19.301041916|     ~| 9.11 | 9.00 |     ~|     ~|ApSrCr(Eu)     |   8|   0
7423 |HD 122544                          |*  |14 05 21.2322006552 -68 16 32.356204729|     ~|10.52 |10.27 |     ~|     ~|ApSi           |   4|   0
7424 |HD 123350                          |a2*|14 10 07.6531365227 -69 38 44.865179316|     ~|10.28 |10.17 |     ~|     ~|ApSi           |   7|   0
7425 |V* CH Cir                          |a2*|14 35 35.0877716656 -68 44 20.829018009|     ~| 7.75 | 7.75 |     ~|     ~|ApSi           |  30|   0
7426 |HD 127453                          |*  |14 34 59.9672357393 -69 27 11.458310197|     ~| 7.36 | 7.36 |     ~|     ~|ApSi           |  27|   0
7427 |HD 128574                          |a2*|14 41 34.2918746591 -70 22 43.267333597|     ~| 9.56 | 9.53 |     ~|     ~|ApSi           |  11|   0
7428 |HD 126322                          |a2*|14 28 24.6046754119 -70 34 08.514896561|     ~| 9.37 | 9.41 |     ~|     ~|ApSi           |   7|   0
7429 |CCDM J14583-7056AB                 |** |14 58 16.51962 -70 55 49.6412          |     ~| 8.6  | 8.63 |     ~|     ~|ApSi           |  17|   1
7430 |HD 133702                          |a2*|15 11 07.5604770380 -73 08 18.202172378|     ~| 9.42 | 9.49 |     ~|     ~|ApSi           |  12|   0
7431 |HD 133812                          |*  |15 11 35.3997254029 -73 01 36.103280011|     ~|10.11 | 9.73 |     ~|     ~|ApSr           |   4|   0
7432 |HD 132634                          |a2*|15 05 25.8530077592 -73 53 17.609135295|     ~| 9.20 | 9.27 |     ~|     ~|ApSi           |   7|   0
7433 |HD 139855                          |a2*|15 46 31.1065851775 -73 24 23.107035436|     ~|11.01 |10.97 |     ~|     ~|ApSi           |   7|   0
7434 |HD 138758                          |*  |15 40 27.2332553176 -74 26 35.553856411|     ~| 7.86 | 7.89 |     ~|     ~|ApSi           |  26|   0
7435 |HD 139474                          |*  |15 45 32.8909821217 -75 55 05.180092944|     ~| 9.21 | 9.14 |     ~|     ~|ApEuSr(Cr)     |   5|   0
7436 |V* AI Oct                          |RR*|20 31 31.1718019105 -74 36 22.251770214|     ~|14.25 |14.00 |14.48 |     ~|AI             |   5|   0
7437 |V* V343 Pav                        |a2*|20 48 48.1915735108 -72 12 43.500476621|     ~| 7.99 | 8.01 |     ~|     ~|ApCrEu(Sr)     |  28|   0
7438 |HD 202400                          |Pe*|21 19 38.2960623584 -70 04 42.249943843|     ~| 9.57 | 9.18 |     ~|     ~|ApSr           |  23|   0
7439 |V* BC Ind                          |a2*|21 46 37.9197024279 -67 35 46.874477847|     ~| 7.13 | 7.20 |     ~|     ~|ApSi           |  40|   0
7440 |BPS CS 22956-0002                  |HB*|21 49 07.2028458525 -66 40 41.807224611|     ~|15.38 |15.07 |15.25 |     ~|A              |   3|   0
7441 |HD 208759                          |*  |22 00 54.6053159560 -64 57 41.304755225|     ~|10.18 | 9.98 |     ~|     ~|ApSrEuCr       |   8|   0
7442 |BPS CS 22956-0058                  |HB*|22 07 05.3326490122 -66 49 25.597665725|     ~|13.60 |13.30 |13.54 |     ~|A              |   3|   0
7443 |BPS CS 22956-0098                  |HB*|22 12 22.0591523010 -65 05 57.250251091|     ~|13.92 |13.72 |     ~|     ~|A              |   4|   0
7444 |BPS CS 22956-0104                  |HB*|22 15 28.6408181982 -65 39 14.650683196|     ~|15.41 |15.05 |15.12 |     ~|A              |   3|   0
7445 |BPS CS 22956-0083                  |HB*|22 06 50.5309406094 -62 09 34.706396514|     ~|15.48 |15.19 |15.03 |     ~|A              |   3|   0
7446 |BPS CS 22956-0079                  |HB*|22 04 32.9376099883 -63 56 57.135662213|     ~|16.00 |15.95 |15.73 |     ~|A              |   1|   0
7447 |BPS CS 22956-0095                  |HB*|22 15 45.0231201856 -64 45 45.869575243|     ~|15.38 |15.35 |15.63 |     ~|A              |   1|   0
7448 |BPS CS 22956-0124                  |HB*|22 23 00.3926458326 -64 00 33.967109460|     ~|15.78 |15.74 |15.92 |     ~|A              |   1|   0
7449 |HD 114696                          |a2*|13 12 51.1497777018 -48 09 43.643183973|     ~| 9.69 | 9.77 |     ~|     ~|ApSi           |   9|   0
7450 |CD-51 7385                         |*  |13 15 55.4118307723 -51 58 14.695707654|     ~|10.95 |10.52 |     ~|     ~|A              |   0|   0
7451 |CD-51 7456                         |*  |13 21 26.7962376682 -52 16 21.562523862|     ~|10.80 |10.77 |     ~|     ~|A              |   0|   0
7452 |HD 116763                          |*  |13 26 50.2236483839 -53 28 08.301268213|     ~| 9.14 | 9.08 |     ~|     ~|ApCrSrEu       |   8|   0
7453 |HD 118167                          |a2*|13 36 16.6168827370 -54 41 51.203501889|     ~| 9.87 | 9.85 |     ~|     ~|ApSi           |   9|   0
7454 |HD 118470                          |a2*|13 38 20.3198854245 -54 38 21.166557366|     ~|10.20 |10.02 |     ~|     ~|ApSrEuCr       |   8|   0
7455 |HD 119238                          |a2*|13 43 23.3021375726 -55 44 58.108078306|     ~|10.02 |10.10 |     ~|     ~|ApSi           |  13|   0
7456 |HD 118502                          |a2*|13 38 51.2303199057 -58 47 07.368007184|     ~| 9.68 | 9.79 |     ~|     ~|ApSi           |   9|   0
7457 |HD 118833                          |*  |13 40 56.1729039494 -59 29 59.959542152|     ~|11.06 |11.04 |     ~|     ~|A              |   3|   0
7458 |HD 119794                          |*  |13 46 57.5026725654 -60 05 59.393443868|     ~| 9.18 | 9.00 |     ~|     ~|ApCrEuSr       |   6|   0
7459 |HD 123466                          |*  |14 09 54.0 -60 45 00                   |     ~|11.3  |     ~|     ~|     ~|A              |   2|   0
7460 |HD 120977                          |*  |13 54 41.1433695117 -61 55 37.057860113|     ~| 9.64 | 9.44 |     ~|     ~|ApSi           |  14|   0
7461 |HD 122811                          |*  |14 06 06.8634946982 -61 30 52.009197773|     ~| 9.03 | 9.00 |     ~|     ~|ApSi           |  18|   0
7462 |HD 123960                          |** |14 12 47.7349 -61 18 18.431            |     ~|     ~|     ~|     ~|     ~|ApSi           |  10|   0
7463 |HD 121795                          |*  |13 59 36.8915231698 -61 57 37.280664404|     ~| 9.19 | 9.18 |     ~|     ~|ApSi           |  17|   1
7464 |HD 121840                          |*  |13 59 50.0461068198 -62 03 06.092054058|     ~| 9.75 | 9.413|     ~|     ~|ApEuCr(Sr)     |   6|   0
7465 |HD 121661                          |a2*|13 58 42.4175444236 -62 43 07.055571719|     ~| 8.65 | 8.56 |     ~|     ~|ApSiCr         |  23|   0
7466 |V* V993 Cen                        |a2*|14 07 19.3005929570 -63 26 07.501620035|     ~| 8.92 | 8.88 |     ~|     ~|ApSi           |  20|   0
7467 |HD 127224                          |a2*|14 32 56.6242184813 -65 08 18.219773748|     ~|10.02 | 9.81 |     ~|     ~|ApSi           |   8|   0
7468 |CCDM J14225-6620AB                 |** |14 22 27.784 -66 19 32.42              |     ~| 8.8  | 8.6  |     ~|     ~|ApEuCrSr       |   2|   0
7469 |HD 125749                          |*  |14 24 14.4777418898 -66 19 56.738869955|     ~|10.94 |10.72 |     ~|     ~|A              |   3|   0
7470 |V* BS Cir                          |a2*|14 23 32.0675114451 -66 38 42.122406609|     ~| 6.88 | 6.76 |     ~|     ~|ApSi(Cr)       |  48|   0
7471 |HD 130230                          |*  |14 50 10.7949278718 -65 57 51.709235313|     ~|10.72 |10.45 |     ~|     ~|A              |   5|   0
7472 |HD 130231                          |*  |14 50 11.7540942960 -65 58 16.334814126|     ~|10.41 |10.19 |     ~|     ~|A              |   5|   0
7473 |HD 130336                          |a2*|14 50 52.9826531555 -66 31 22.259849466|     ~| 8.85 | 8.87 |     ~|     ~|Ap             |  12|   0
7474 |HD 127999                          |*  |14 37 43.8945330656 -67 55 55.416543797|     ~|10.29 | 9.92 |     ~|     ~|A              |   2|   0
7475 |HD 133458                          |*  |15 08 33.2655627838 -68 04 54.243502717|     ~|11.22 |11.21 |     ~|     ~|A              |   2|   0
7476 |HD 129751                          |a2*|14 47 59.6630726951 -68 42 17.313837929|     ~| 9.40 | 9.41 |     ~| 9.22 |ApSi           |   8|   0
7477 |HD 131910                          |*  |15 00 21.7641081155 -69 07 47.279483704|     ~|10.37 | 9.94 |     ~|     ~|ApEuCr         |   4|   0
7478 |HD 135867                          |*  |15 21 40.1079420627 -68 38 03.564111382|     ~|10.48 |10.41 |     ~|     ~|A              |   2|   0
7479 |HD 136041                          |*  |15 22 48.0 -68 57 00                   |     ~|10.7  |     ~|     ~|     ~|A              |   2|   0
7480 |HD 136077                          |*  |15 23 00.0 -68 57 00                   |     ~|10.5  |     ~|     ~|     ~|A              |   2|   0
7481 |HD 137551                          |*  |15 31 10.3110540342 -69 13 09.248942956|     ~| 9.35 | 9.32 |     ~|     ~|ApSiCr         |   9|   0
7482 |HD 137968                          |*  |15 33 54.6325070056 -70 02 11.355271602|     ~|10.65 |10.33 |     ~|     ~|A              |   2|   0
7483 |HD 134962                          |*  |15 17 13.7088817344 -70 26 45.371055233|     ~|10.87 |10.70 |     ~|     ~|A              |   2|   0
7484 |HD 136024                          |a2*|15 23 03.3145134545 -70 33 36.031123809|     ~| 9.68 | 9.69 |     ~|     ~|ApSi           |   8|   0
7485 |V* NN Aps                          |a2*|15 31 27.1149385254 -71 03 43.664320879|     ~| 6.76 | 6.87 |     ~|     ~|Ap(SiCrFe)     |  85|   0
7486 |HD 132673                          |*  |15 04 44.8425766612 -70 49 54.532644573|     ~| 8.78 | 8.49 |     ~|     ~|ApSrEuCr       |   4|   0
7487 |HD 140393                          |*  |15 48 21.9190357979 -70 09 18.163095589|     ~|10.92 |10.66 |     ~|     ~|A(pSrEu)       |   8|   0
7488 |HD 138146                          |*  |15 35 32.3954243131 -72 01 28.541705331|     ~|10.41 |10.07 |     ~|     ~|ApEuCr         |   4|   0
7489 |HD 162316                          |a2*|17 59 07.9448995086 -75 47 55.670048868|     ~| 9.79 | 9.36 |     ~|     ~|ApSrEu(Cr)     |  10|   0
7490 |HD 176196                          |*  |19 06 56.1267285066 -74 45 26.801568633|     ~| 7.45 | 7.51 |     ~|     ~|ApEuCr(Sr)     |  16|   0
7491 |HD 186117                          |*  |19 49 23.1847650206 -73 31 23.328567798|     ~| 7.497| 7.337|     ~|     ~|ApSrCrEu       |  20|   0
7492 |BPS CS 22897-0105                  |HB*|21 28 51.0974208059 -66 50 40.795417455|     ~|     ~|15.0  |     ~|     ~|A              |   1|   0
7493 |BPS CS 22897-0111                  |HB*|21 39 17.8966483530 -65 56 06.294689201|     ~|13.93 |13.59 |13.57 |     ~|A              |   3|   0
