C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
57   |HD 7696                            |*  |01 17 35.7403623264 +46 23 01.077572936|     ~|10.92 |10.64 |     ~|     ~|A              |   2|   0
58   |HD 8668                            |*  |01 26 26.1754965711 +48 20 27.119343307|     ~| 9.60 | 9.48 |     ~|     ~|A              |   1|   0
59   |HD 8708                            |*  |01 26 48.0065005459 +48 23 26.593853671|     ~| 9.49 | 9.44 |     ~|     ~|A              |   2|   0
60   |HD 9332                            |*  |01 32 48.1059709110 +46 25 01.208246033|     ~|10.78 |10.46 |     ~|     ~|A              |   1|   0
61   |HD 9738                            |*  |01 36 18.9216139972 +46 53 50.242992351|     ~|10.67 |10.34 |     ~|     ~|A              |   1|   0
62   |HD 9725                            |*  |01 36 19.6069400670 +46 36 27.396156996|     ~|10.76 |10.22 |     ~|     ~|A              |   2|   0
63   |HD 15080                           |*  |02 27 06.0901722812 +43 45 32.740641837|     ~| 9.13 | 9.15 |     ~|     ~|A              |   5|   0
64   |HD 16138                           |*  |02 36 50.0536639329 +41 16 01.461480749|     ~| 9.86 | 9.75 |     ~|     ~|A              |   4|   0
65   |LAWDS NGC 1039 41                  |*  |02 42 33.9726575304 +42 37 13.002955042|     ~|15.978|15.846|     ~|     ~|A              |   4|   1
66   |HD 17746                           |*  |02 52 07.9954748159 +40 40 16.438943279|     ~| 9.59 | 9.41 |     ~|     ~|A              |   1|   0
67   |BD+38 4134B                        |*  |20 31 51.2000552390 +39 20 18.768254119|     ~|11.28 |10.89 |     ~|     ~|A              |   3|   0
68   |HD 197895                          |*  |20 45 13.4989495673 +39 03 23.906821992|     ~| 9.45 | 9.44 |     ~|     ~|A              |   1|   0
69   |BD+41 3920                         |*  |20 53 13.8897510444 +42 21 47.079673022|     ~| 9.19 | 8.90 |     ~|     ~|Am             |  12|   0
70   |BD+41 3961                         |*  |21 00 29.3466197596 +41 35 02.579013321|     ~|10.29 |10.02 |     ~|     ~|A              |   1|   0
71   |BD+43 3823B                        |*  |21 09 54.0189604191 +44 21 22.364766818|     ~|11.21 |10.89 |     ~|     ~|A              |   1|   0
72   |HD 203518                          |*  |21 21 16.1044669687 +45 43 33.988891036|     ~| 9.01 | 9.03 |     ~|     ~|A              |   3|   0
73   |HD 204262                          |*  |21 26 01.1954866227 +44 23 40.108188749|     ~| 8.08 | 7.88 |     ~|     ~|Am             |  16|   0
74   |HD 202681                          |*  |21 16 07.0063950213 +44 48 36.780878011|     ~| 9.02 | 8.95 |     ~|     ~|A              |   2|   0
75   |HD 203095                          |*  |21 18 40.9098911220 +44 14 20.265509714|     ~| 9.19 | 9.19 |     ~|     ~|A              |   5|   0
