C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET22:57:14

sptypes = 'O'
-------------

Number of objects : 1597

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |   spec. type    |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------|----|----
772 |OH 65.5 +1.3                       |OH*|19 51 21.20 +29 13 01.3                |     ~|     ~|     ~|     ~|     ~|O-rich           |  41|   1
773 |PG 1703+355                        |HS*|17 05 15.2166163433 +35 28 18.554495380|     ~|15.45 |     ~|     ~|     ~|sdOC             |  11|   0
774 |FBS 1735+382                       |HS*|17 37 26.6958902092 +38 08 45.801931430|     ~|16.1  |     ~|16.9  |     ~|sdOA             |   7|   0
775 |PG 1725+373                        |HS*|17 26 45.2892481798 +37 13 30.601848361|     ~|15.29 |     ~|     ~|     ~|sdOA             |  11|   0
776 |BD+39 3226                         |HS*|17 46 31.9117461025 +39 19 09.070415423|     ~| 9.89 |10.18 |     ~|     ~|sdOHe            |  33|   0
777 |IRAS 20276+3033                    |*  |20 29 43.8936996835 +30 43 53.125520551|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
778 |CSO 573                            |HS*|15 16 28.3669456343 +34 06 57.500729329|     ~|16.9  |     ~|17.7  |     ~|sdOHe            |  10|   0
779 |PG 1606+388                        |HS*|16 07 59.2712323641 +38 37 46.516001025|     ~|16.9  |     ~|17.0  |     ~|sdO              |  11|   0
780 |KUV 16120+3857                     |HS*|16 13 45.8065301418 +38 49 50.905715290|     ~|16.6  |     ~|17.4  |     ~|sdOHe            |  10|   0
781 |PG 1614+378                        |HS*|16 15 55.2154288908 +37 41 05.494739258|     ~|16.30 |     ~|     ~|     ~|sdOHe            |  14|   0
782 |PG 1608+374                        |HS*|16 10 23.3931562422 +37 13 15.989968425|     ~|16.25 |     ~|     ~|     ~|sdOHe            |  13|   0
783 |PG 1624+382                        |HS*|16 26 16.7177487818 +38 07 10.475183586|     ~|15.49 |15.73 |16.14 |     ~|sdOC             |  20|   0
784 |SDSS J163453.03+394758.8           |HS*|16 34 53.0419396785 +39 47 58.715560049|     ~|18.4  |     ~|19.5  |     ~|sdO              |   6|   0
785 |FBS 1749+394                       |HS*|17 51 27.8435799634 +39 23 11.070935048|     ~|15.9  |     ~|16.5  |     ~|sdOA             |   8|   0
786 |FBS 1751+409                       |HS*|17 52 34.4290519302 +40 57 39.624346089|     ~|16.16 |16.40 |     ~|     ~|sdOA             |   7|   0
787 |Cl* NGC 6791 KU B2                 |HS*|19 20 49.9000298237 +37 41 38.827023473|16.13 |17.25 |17.475|     ~|     ~|sdO+F/G          |  15|   0
788 |KPD 2055+3111                      |HS*|20 57 26.8864482497 +31 22 52.622646759|12.84 |13.88 |14.12 |14.16 |     ~|sdO              |   8|   0
789 |PG 1521+357                        |HS*|15 23 32.8219852168 +35 32 37.142878768|     ~|16.4  |     ~|16.9  |     ~|sdOA             |  12|   0
790 |FBS 1715+424                       |HS*|17 17 18.7975494983 +42 26 09.281572514|     ~|12.51 |13.03 |     ~|     ~|sdO              |  10|   0
791 |HD 194280                          |s*b|20 23 26.3119636816 +38 56 21.027476636| 8.94 | 9.08 | 8.42 |     ~|     ~|OC9.7Iab         |  71|   0
792 |BD+36 4063                         |EB*|20 25 40.6038664794 +37 22 27.051633013|10.93 |10.67 | 9.656|     ~|     ~|ON9.7Ib          |  41|   0
793 |KPD 2048+3515                      |HS*|20 50 03.4913702462 +35 27 25.578402768|12.72 |13.94 |14.04 |14.32 |     ~|sdO              |   7|   0
794 |CD-40 3927                         |HS*|08 10 31.7171685917 -40 32 47.054433693|     ~|11.95 |12.23 |12.51 |     ~|sdO              |  14|   0
795 |LB 1741                            |HS*|04 36 15.2327415739 -53 43 34.481954576|11.07 |12.22 |12.41 |     ~|     ~|sdOHe            |   7|   0
796 |CD-45 5058                         |HS*|09 20 10.1321975829 -45 31 54.939916304| 9.81 |11.03 |11.33 |11.62 |     ~|sdO              |  49|   0
797 |LB 1721                            |HS*|04 22 37.2779048187 -54 08 49.831039180|12.83 |14.02 |14.21 |     ~|     ~|sdOHe            |   5|   0
798 |HE 0414-5429                       |HS*|04 15 30.2250172554 -54 21 58.605612312|13.40 |14.67 |15.12 |     ~|     ~|sdOHe            |   8|   0
799 |EC 04188-5411                      |HS*|04 20 02.6234527502 -54 04 14.052014143|13.68 |14.30 |13.96 |     ~|     ~|sdO+G            |   4|   0
800 |PN Lo 4                            |PN |10 05 45.7878014012 -44 21 33.523563573|     ~|     ~|     ~|     ~|     ~|sdO              | 126|   1
801 |PN HbDs 1                          |PN |09 52 44.5227859639 -46 16 47.455337620|11.11 |12.28 |12.50 |12.66 |     ~|O(H)3Vz          |  74|   0
802 |HD 298353                          |*  |09 16 37.2536648444 -51 56 22.550225600|10.32 |10.78 |10.29 |10.08 |     ~|O                |  12|   0
803 |Cl* NGC 2516 RK 6                  |HS*|07 56 08.6848562276 -60 40 41.224672835|     ~|16.6  |     ~|17.1  |17.09 |sdO              |   2|   0
804 |BPS CS 29520-0048                  |HS*|04 37 34.0677017987 -61 57 43.125546096|13.11 |14.32 |14.57 |15.03 |     ~|sdO              |   5|   0
805 |EC 03548-5827                      |HS*|03 55 53.5703791211 -58 18 22.872008920|14.83 |16.06 |16.37 |15.9  |16.69 |sdOHe            |   5|   0
806 |CPD-53 2631                        |*  |09 36 42.3973989426 -53 58 30.747308798|     ~|11.59 |11.41 |     ~|     ~|O                |   6|   0
807 |LS 1274                            |HS*|09 18 56.0105099563 -57 04 25.423148532|     ~|12.46 |12.38 |13.10 |     ~|sdO              |  28|   0
808 |SK -66 17                          |*  |04 55 55.4934162746 -66 28 20.606467815|11.920|12.738|12.938|     ~|12.945|OC9.5II          |   7|   0
809 |HD 300214                          |*  |09 45 25.9214355433 -54 22 09.457812412| 9.98 |10.14 | 9.30 | 9.00 |     ~|O                |  15|   0
810 |Cl* NGC 2070 MH 134                |*  |05 38 41.108 -69 05 58.33              |     ~|15.78 |14.63 |     ~|16.46 |ON6.5I/II        |   5|   0
811 |VFTS 634                           |** |05 38 49.010 -69 04 10.60              |     ~|16.81 |16.50 |     ~|     ~|OV               |   6|   0
812 |HD 269896                          |s*b|05 37 49.1360518133 -68 55 01.642483154|11.338| 9.493|11.449|11.49 |     ~|ON9.7Ia+         |  79|   0
813 |HD 269113                          |*  |05 09 29.2 -68 47 44                   |     ~|14.5  |     ~|     ~|     ~|O                |   4|   0
814 |BI 112                             |*  |05 14 34.2068584988 -68 40 59.775939533|12.48 |13.44 |13.55 |     ~|     ~|O                |   3|   0
815 |HD 269449                          |*  |05 23 12.0 -68 01 00                   |     ~|14.1  |     ~|     ~|     ~|O                |   3|   0
816 |[STH86] Star 2                     |*  |05 22 26.4 -67 58 12                   |     ~|13.98 |14.2  |     ~|     ~|O                |   6|   0
817 |LB 3229                            |HS*|01 47 17.4641152264 -51 33 39.214129082|     ~|13.30 |13.55 |     ~|     ~|sdOHe            |  10|   0
818 |IRAS 10226-5229                    |OH*|10 24 35.1431024157 -52 44 20.113017517|     ~|     ~|     ~|     ~|     ~|O-rich           |   7|   1
819 |HD 89137                           |*  |10 15 40.0856062390 -51 15 24.090337747| 7.02 | 7.93 | 7.97 | 8.82 |     ~|ON9.7II(n)       |  87|   1
820 |IRAS 09593-5540                    |OH*|10 01 04.304 -55 55 21.23              |     ~|     ~|     ~|     ~|     ~|O-rich           |   6|   1
821 |BPS CS 31064-0017                  |HS*|03 09 50.3919836759 -64 10 32.652517995|13.20 |14.41 |14.69 |15.18 |     ~|sdO              |   6|   0
822 |LB 3298                            |HS*|03 05 01.6598290337 -65 46 36.481208922|     ~|12.90 |12.67 |12.79 |     ~|sdO              |   3|   0
823 |JL 251                             |HS*|01 32 12.6818779148 -49 33 40.460187384|     ~|14.00 |14.35 |     ~|     ~|sdO              |   7|   0
824 |PN K 1-27                          |PN |05 57 02.1748480138 -75 40 22.475592752|     ~|     ~|16.04 |16.27 |16.41 |sdOHe            |  80|   0
825 |CD-48 6027                         |HS*|10 54 40.5600843998 -48 47 02.815812625|10.92 |11.99 |12.12 |12.39 |     ~|sdO              | 108|   0
826 |HD 92714                           |Be*|10 41 04.0838391650 -58 34 13.060825747| 8.84 | 9.67 | 9.44 | 9.79 |     ~|Oe               |  40|   0
827 |HD 91651                           |bC*|10 33 30.2995844296 -60 07 40.038449715| 7.96 | 9.64 | 9.52 | 9.51 |     ~|ON9.5IIIn        |  91|   0
828 |PN My 59                           |PN |10 23 09.1339166398 -60 32 42.127143375|     ~|     ~|12.70 |     ~|     ~|O(H)7-9I         | 119|   0
829 |HD 89625                           |*  |10 18 58.2517110096 -59 46 04.301703710| 8.17 | 9.87 | 9.56 | 9.49 |     ~|ON9.2IVn         |  20|   0
830 |IC 2448                            |PN |09 07 06.3186990004 -69 56 30.690171529|     ~|11.1  |11.10 |     ~|     ~|O(H)3III-V       | 224|   0
831 |LB 3289                            |HS*|02 51 21.5422807847 -72 34 33.424596232|13.26 |14.40 |14.68 |     ~|     ~|sdOHe            |   5|   0
832 |LB 1598                            |HS*|01 21 38.0958879558 -55 32 20.852118531|     ~|11.73 |11.95 |     ~|     ~|sdOHe            |   6|   0
833 |JL 231                             |HS*|01 10 46.0452723504 -51 22 52.741565042|     ~|15.8  |     ~|     ~|     ~|sdOHe?           |   4|   0
834 |CPD-58 2614                        |mul|10 43 49.0 -59 33 30                   | 8.2  | 7.52 | 8.6  |     ~|     ~|O(F)             |   7|   1
835 |[S87b] IRS 42                      |*  |10 45 36.7442759960 -59 47 01.902590782|16.925|16.729|15.084|     ~|12.197|O                |   7|   0
836 |JL 226                             |HS*|01 05 53.4223143507 -55 56 19.147116166|     ~|16.6  |     ~|     ~|     ~|sdO+F            |   4|   0
837 |LB 1568                            |HS*|00 42 30.9580865796 -48 22 14.701138855|     ~|16.07 |     ~|     ~|16.72 |sdO              |   4|   0
838 |ESO 216-2                          |PN |11 18 09.7688320857 -52 10 02.677654784|     ~|15.33 |     ~|15.60 |     ~|O(H)4-5V         |  18|   0
839 |CSI-60-11059                       |*  |11 08 00.0 -61 11 00                   |     ~|     ~|     ~|     ~|     ~|O                |   0|   0
840 |TYC 8959-166-1                     |*  |11 10 57.3398 -61 06 07.097            |     ~|11.29 |11.22 |     ~|     ~|O                |   0|   0
841 |NGC 3603 23                        |*  |11 15 09.8441156734 -61 15 30.489833787|13.51 |13.75 |12.65 |     ~|     ~|OC9.7Ia          |  16|   0
842 |CSI-62-11052                       |*  |11 07 18.0 -62 51 00                   |     ~|     ~|     ~|     ~|     ~|O                |   0|   0
843 |[SSB92] 34                         |Ce*|01 07 44.4 -71 02 44                   |     ~|16.663|16.233|     ~|     ~|O                |   2|   0
844 |JL 199                             |HS*|00 34 07.7457339246 -55 51 05.933440207|     ~|15.5  |     ~|     ~|     ~|sdOHe            |   6|   0
845 |CPD-55 142                         |HS*|00 40 13.3049229054 -55 01 52.225934750|     ~|12.81 |13.13 |     ~|     ~|sdOHe            |  19|   0
846 |LB 1558                            |HS*|00 30 16.9829920440 -46 32 21.523556811|12.861|14.078|14.376|14.524|14.736|sdOHe            |  15|   0
847 |[MA93] 121                         |Em*|00 46 10.9452540716 -73 25 35.603065855|     ~|15.448|15.439|     ~|15.407|O                |  17|   0
848 |OGLE J004452.59-731825.4           |LP*|00 44 52.5630510331 -73 18 25.774988938|     ~|     ~|18.800|     ~|15.317|O-rich           |  10|   0
849 |OGLE J004631.61-732846.0           |AB*|00 46 31.59 -73 28 46.4                |     ~|     ~|     ~|     ~|16.731|O-rich           |  12|   0
850 |[SSB92] 4                          |Ce*|01 02 48.4 -71 05 25                   |     ~|17.114|16.649|     ~|     ~|O                |   2|   0
851 |[SSB92] 31                         |Ce*|01 05 37.1 -71 00 41                   |     ~|18.137|17.774|     ~|     ~|O                |   2|   0
852 |[SSB92] 53                         |Ce*|01 07 38.9 -71 24 42                   |     ~|17.639|17.335|     ~|     ~|O                |   3|   0
853 |[SSB92] 57                         |Ce*|00 58 09.9 -71 30 08                   |     ~|17.821|17.494|     ~|     ~|O                |   3|   0
854 |[SSB92] 59                         |Ce*|01 01 57.9 -71 29 15                   |     ~|17.737|17.392|     ~|     ~|O                |   3|   0
855 |[SSB92] 62                         |Ce*|01 01 31.8 -71 31 50                   |     ~|17.837|17.341|     ~|     ~|O                |   3|   0
856 |[SSB92] 66                         |Ce*|00 58 31.1 -71 33 54                   |     ~|17.244|16.891|     ~|     ~|O                |   3|   0
857 |[SSB92] 72                         |Ce*|01 01 49.5 -71 47 00                   |     ~|17.761|17.413|     ~|     ~|O                |   3|   0
858 |[SSB92] 73                         |Ce*|01 02 37.2 -71 50 30                   |     ~|17.108|16.742|     ~|     ~|O                |   3|   0
859 |[SSB92] 77                         |Ce*|01 00 59.4 -71 52 31                   |     ~|17.026|16.672|     ~|     ~|O                |   3|   0
860 |[SSB92] 84                         |Ce*|00 58 04.5 -71 44 03                   |     ~|17.672|17.392|     ~|     ~|O                |   3|   0
861 |[SSB92] 87                         |Ce*|01 04 59.7 -71 27 03                   |     ~|17.438|17.071|     ~|     ~|O                |   3|   0
862 |[SSB92] 88                         |Ce*|01 04 40.2 -71 27 51                   |     ~|17.744|17.380|     ~|     ~|O                |   3|   0
863 |[SSB92] 92                         |Ce*|01 03 50.1 -71 31 01                   |     ~|17.760|17.405|     ~|     ~|O                |   3|   0
864 |[SSB92] 110                        |Ce*|01 03 30.4 -71 46 24                   |     ~|16.808|16.395|     ~|     ~|O                |   2|   0
865 |[SSB92] 124                        |Ce*|01 07 01.0 -71 48 34                   |     ~|17.041|16.925|     ~|     ~|O                |   3|   0
866 |[SSB92] 128                        |Ce*|01 05 23.4 -71 47 00                   |     ~|18.099|17.735|     ~|     ~|O                |   3|   0
867 |[SSB92] 90                         |Ce*|01 04 17.2 -71 27 27                   |     ~|16.377|15.901|     ~|     ~|O                |   2|   0
868 |[SSB92] 114                        |Ce*|01 06 18.9 -71 43 42                   |     ~|17.192|16.918|     ~|     ~|O                |   2|   0
869 |SV* HV 1755                        |cC*|00 58 08.9194197946 -71 40 16.310062869|     ~|16.837|16.621|     ~|16.141|O                |   7|   0
870 |SV* HV 1779                        |cC*|00 58 43.5733322468 -71 21 58.987330454|     ~|16.532|16.215|     ~|15.681|O                |  10|   0
871 |SV* HV 1788                        |cC*|00 59 02.8854283315 -71 30 49.140853349|     ~|15.762|15.409|     ~|14.840|O                |   7|   0
872 |SV* HV 1860                        |cC*|01 01 15.0864300196 -71 51 33.385637415|     ~|16.345|16.138|     ~|15.635|O                |   6|   0
873 |SV* HV 1883                        |cC*|01 01 58.8859656527 -71 04 15.602277198|     ~|16.536|16.102|     ~|15.692|O                |   6|   0
874 |SV* HV 1897                        |cC*|01 02 17.8501762815 -71 16 53.793281978|     ~|17.089|16.764|     ~|16.288|O                |  12|   0
875 |SV* HV 1989                        |cC*|01 04 58.6009640063 -71 38 19.479036531|     ~|17.014|16.783|     ~|16.304|O                |   6|   0
876 |SV* HV 2068                        |cC*|01 07 48.3149899636 -71 30 26.580666615|     ~|16.863|16.423|     ~|15.870|O                |   5|   0
877 |SV* HV 2074                        |cC*|01 08 16.3042371645 -71 50 13.721306259|     ~|16.487|16.170|     ~|15.591|O                |   6|   0
878 |SV* HV 10365                       |cC*|01 03 13.7928382839 -71 25 04.807439944|     ~|17.202|16.865|     ~|16.339|O                |   6|   0
879 |SV* HV 11190                       |cC*|01 00 15.3695795152 -71 39 35.745650361|     ~|17.030|16.785|     ~|16.251|O                |   9|   0
880 |SV* HV 11209                       |cC*|01 08 44.3389306698 -71 35 57.029068778|     ~|16.641|16.256|     ~|15.709|O                |   6|   0
881 |SV* HV 11449                       |cC*|01 02 29.2535383035 -71 20 45.588903454|     ~|17.057|16.732|     ~|16.227|O                |   6|   0
882 |SV* HV 11457                       |cC*|01 03 11.7063715067 -71 52 13.158855818|     ~|16.619|16.291|     ~|15.735|O                |   6|   0
883 |SV* HV 11500                       |cC*|01 08 55.4938004668 -71 37 19.515278794|     ~|16.620|16.234|     ~|15.702|O                |   6|   0
884 |OGLE SMC-CEP-3638                  |cC*|01 04 27.4727641518 -71 29 41.021815868|     ~|17.424|17.148|     ~|16.693|O                |   8|   0
885 |OGLE SMC-CEP-4011                  |cC*|01 08 08.5127874327 -71 38 37.274500275|     ~|16.734|16.324|     ~|15.763|O                |   8|   1
886 |Cl* NGC 346 ELS 28                 |*  |00 58 31.7535036663 -72 10 57.966053276|13.58 |14.73 |14.94 |     ~|15.23 |OC6Vz            |  25|   0
887 |HD 102415                          |*  |11 46 54.4038347193 -61 27 46.985374046| 8.51 | 9.44 | 9.35 | 9.67 |     ~|ON9IIInn         |  35|   0
888 |CPD-65 14                          |HS*|00 20 41.0850604789 -64 47 37.919362867|     ~|11.43 |10.312|     ~|     ~|sdO              |   2|   0
889 |EC 00179-6503                      |HS*|00 20 21.2604728710 -64 46 27.718379084|     ~|14.36 |14.36 |     ~|     ~|sdO              |   5|   0
890 |HD 104565                          |s*b|12 02 27.7963615668 -58 14 34.357788781| 9    | 9.55 | 9.27 | 9.65 |     ~|OC9.7Iab         |  44|   0
891 |HD 105056                          |s*b|12 05 49.8805966991 -69 34 22.993604342| 6.57 | 9.07 | 8.74 | 8.45 |     ~|ON9.7Iae         | 121|   1
892 |JL 88                              |HS*|21 55 19.2871689706 -83 53 40.889186223|15.17 |16.26 |16.25 |     ~|16.52 |sdOHe            |   3|   0
893 |JL 117                             |HS*|22 54 38.0009357492 -72 23 09.730261220|12.86 |14.12 |14.49 |     ~|     ~|sdO              |   9|   0
894 |HD 110360                          |*  |12 42 12.7021049257 -60 39 08.704606517| 8.69 | 9.79 | 9.58 | 9.77 |     ~|ON7V             |  50|   0
895 |JL 94                              |HS*|22 01 52.2194135357 -75 52 04.363392395|11.68 |12.84 |13.01 |13.28 |     ~|sdOHe            |   5|   0
896 |BPS CS 22938-0073                  |HS*|23 10 53.7952041039 -63 03 25.271650326|     ~|14.05 |14.29 |14.70 |     ~|sdOHe            |   4|   0
897 |Hen 2-105                          |PN |14 15 24.7801370527 -74 12 46.071943038|     ~|     ~|     ~|     ~|     ~|O                |  59|   0
898 |JL 54                              |HS*|20 35 14.9206339764 -77 42 12.778045881|14.84 |15.96 |16.19 |     ~|     ~|sdOHe            |   5|   0
899 |HD 117490                          |*  |13 32 08.5984445366 -60 48 55.483502747| 8.13 | 8.94 | 8.92 | 9.52 |     ~|ON9.5IIInn       |  32|   0
900 |CPD-65 2645                        |Em*|14 13 08.3613531914 -65 39 18.888424903|     ~|11.59 |11.43 |11.63 |     ~|O                |  12|   0
901 |JL 49                              |HS*|20 20 38.9106886975 -73 56 56.165004538|15.15 |16.37 |16.62 |     ~|     ~|sdO              |   4|   0
902 |JL 63                              |HS*|20 48 59.3940383207 -72 50 40.180394695|13.41 |14.55 |14.88 |     ~|     ~|sdOHe            |   4|   0
903 |BPS CS 22956-0084                  |HS*|22 11 21.7520523628 -62 17 19.514092899|14.35 |15.52 |15.81 |16.10 |     ~|sdO              |   5|   0
904 |IRAS 13527-6117                    |*  |13 56 17.92 -61 32 07.1                |     ~|     ~|     ~|     ~|17.52 |O-rich           |   6|   1
905 |IRAS 14119-6453                    |OH*|14 15 48.8028768935 -65 07 50.581767727|     ~|     ~|     ~|     ~|     ~|O-rich           |   7|   1
906 |HD 123008                          |s*b|14 07 30.6440577747 -64 28 08.780113899| 8.58 |10.00 | 9.50 | 9.44 |     ~|ON9.2Iab         | 100|   0
907 |JL 9                               |HS*|19 08 20.7902489982 -72 30 34.378041671|     ~|12.96 |13.24 |     ~|     ~|sdO              |  21|   0
908 |Hen 2-434                          |PN |19 33 49.3680637745 -74 32 58.664357169|     ~|12.92 |12.78 |     ~|     ~|O                |  68|   0
909 |CD-46 8926                         |HS*|13 53 08.2145759352 -46 43 42.320124869|     ~|11.04 |11.30 |     ~|     ~|sdO              |  37|   0
910 |LSE 44                             |HS*|13 52 40.7811980464 -48 08 22.752275348|     ~|12.30 |12.84 |     ~|     ~|sdO              |  33|   0
911 |LS 3235                            |PN |14 24 32.351 -51 38 39.00              |12.01 |13.02 |12.96 |13.00 |     ~|O(H)3I           |   8|   1
912 |IRAS 14582-5926                    |OH*|15 02 10.5085408914 -59 38 14.249522230|     ~|     ~|     ~|     ~|     ~|O-rich           |  14|   1
913 |HD 151895                          |PN |16 54 35.1337523869 -64 14 28.686747259|     ~|12.03 |11.72 |     ~|     ~|O(H)4-8III-V     |  99|   0
914 |CPD-64 3829                        |HS*|18 13 15.8546733425 -64 55 16.868566643|     ~|     ~|12.63 |     ~|     ~|sdO              |  17|   0
915 |IRAS 15163-5525                    |** |15 20 07.250 -55 36 11.39              |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   1
916 |NAME WKK136-337                    |PN |15 50 28.91 -59 58 50.0                |     ~|     ~|     ~|     ~|     ~|O(H)3III-V       |   5|   0
917 |BPS CS 22959-0140                  |HS*|18 55 24.9083521838 -63 05 05.773455609|     ~|14.62 |14.76 |15.06 |     ~|sdO              |   5|   0
918 |BPS CS 22891-0227                  |HS*|19 35 49.6265175095 -58 53 52.012660933|14.04 |15.15 |15.28 |15.42 |     ~|sdOHe            |   6|   0
919 |NeVe 3-2                           |PN |15 19 43.8903973458 -48 59 54.876513385|     ~|     ~|     ~|     ~|     ~|O(H)4Vz          |   9|   0
920 |IRAS 16314-5611                    |OH*|16 35 36.130 -56 17 52.76              |     ~|     ~|     ~|     ~|     ~|O-rich           |   8|   1
921 |LSE 259                            |HS*|16 53 54.5761511888 -56 01 54.752384338|     ~|     ~|12.54 |     ~|     ~|sdO              |  30|   0
922 |WRAY 17-75                         |PN |16 16 54.03 -53 24 39.7                |     ~|14.0  |12.9  |     ~|     ~|O                |   5|   2
923 |IRAS 16279-5342                    |OH*|16 31 57.1513436963 -53 48 48.056342794|     ~|     ~|     ~|     ~|     ~|O-rich           |   6|   1
924 |NGC 6397 162                       |HS*|17 40 38.4614296064 -53 38 31.346327354|     ~|13.06 |13.23 |     ~|     ~|sdOp             |  40|   1
925 |BPS CS 22896-0128                  |HS*|19 41 04.4066960198 -52 46 57.180130393|14.23 |15.45 |15.6  |15.80 |     ~|sdOHe            |   4|   0
926 |PN Sp 3                            |PN |18 07 15.8014218878 -51 01 10.219209180|     ~|12.80 |12.89 |13.46 |13.22 |O                |  72|   0
927 |CD-51 11879                        |HS*|19 02 11.7422717452 -51 30 09.556345077|     ~|11.44 |11.55 |     ~|     ~|sdO              |  34|   0
928 |EC 20022-4824                      |HS*|20 05 55.7857207738 -48 16 10.528004604|12.01 |13.21 |13.53 |     ~|     ~|sdO              |   5|   0
929 |IRAS 16384-4704                    |*  |16 42 08.161 -47 09 49.79              |     ~|     ~|     ~|     ~|16.09 |O-rich           |   3|   1
930 |2MASS J16400012-4851404            |Y*O|16 40 00.1259054084 -48 51 40.395041833|     ~|     ~|     ~|     ~|     ~|O                |   7|   0
931 |2MASS J16400155-4851484            |Y*O|16 40 01.55 -48 51 48.4                |     ~|     ~|     ~|     ~|     ~|O                |   6|   0
932 |2MASS J16395952-4851374            |Y*?|16 39 59.522 -48 51 37.43              |     ~|     ~|     ~|     ~|     ~|O                |   4|   0
933 |IRAS 17125-4814                    |OH*|17 16 19.739 -48 17 20.53              |     ~|     ~|     ~|     ~|     ~|O-rich           |  10|   1
934 |BPS CS 22943-0127                  |HS*|20 22 49.0574098491 -43 30 11.524936955|12.29 |13.41 |13.63 |13.99 |     ~|sdO              |  10|   0
935 |HD 328209                          |s*b|16 29 19.163 -44 28 14.23              |10.37 |10.73 | 9.84 | 9.86 |     ~|ON9Ib-Iap        |  39|   0
936 |IRAS 16320-4419                    |OH*|16 35 37.3231526454 -44 25 38.176377002|     ~|     ~|     ~|     ~|     ~|O-rich           |   8|   1
937 |HD 150574                          |*  |16 44 07.2106897294 -46 08 29.843997832| 8.01 | 8.74 | 8.50 | 9.30 |     ~|ON9III(n)        |  59|   0
938 |IRAS 16458-4425                    |OH*|16 49 26.2157760942 -44 30 21.716877179|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   1
939 |Cl* Westerlund 1 W 30              |** |16 47 04.11 -45 50 39.0                |     ~|22.4  |18.45 |15.80 |13.20 |O+O              |  17|   0
940 |HD 154811                          |*  |17 09 53.0868663445 -47 01 53.192207532| 6.71 | 7.32 | 6.98 | 7.71 |     ~|OC9.7Ib          |  79|   0
941 |IRAS 17599-4556                    |*  |18 03 38.3706453899 -45 56 36.934075451|     ~|13.08 |11.55 |10.64 |     ~|O-rich           |   6|   1
942 |LLNS 2720                          |*  |10 45 14.8 -59 43 48                   |     ~|     ~|     ~|     ~|     ~|O                |   2|   0
943 |NAME DD 13                         |*  |05 39 40.3 -69 46 20                   |     ~|13.72 |13.19 |     ~|     ~|O                |   5|   1
944 |[BDC99] W43 2                      |**?|No Coord.                              |     ~|     ~|     ~|     ~|     ~|O                |   4|   0
945 |Cl* NGC 6712 SS C49                |HS*|18 53 03.47 -08 42 30.6                |     ~|16.83 |16.72 |     ~|     ~|sdO              |   6|   0
946 |Cl* NGC 362 MV o1                  |V* |01 03 15.19 -70 50 36.7                |     ~|     ~|     ~|     ~| 0.00 |O-rich           |  14|   0
947 |Cl* NGC 362 TUC V2                 |*  |01 03 21.8395168245 -70 54 20.126581222|     ~|13.61 |     ~|11.79 |11.11 |O-rich           |  31|   0
948 |[MR72] 25                          |*  |05 17 16.3494434027 -69 14 30.982527465|     ~|13.5  |     ~|     ~|     ~|O                |   2|   0
949 |[MR72] 44                          |*  |05 27 06.4815402673 -69 05 15.047078942|     ~|12.0  |     ~|     ~|     ~|O                |   2|   0
950 |[OMN2000] LS2                      |*  |No Coord.                              |     ~|     ~|     ~|     ~|     ~|O                |   2|   0
951 |[BKH2005] 16164nr3636              |*  |16 20 11.31 -50 53 25.3                |     ~|     ~|     ~|     ~|     ~|O                |   2|   0
952 |V* V499 Ser                        |HS*|16 00 43.6054215157 +07 48 02.879107935|     ~|     ~|     ~|     ~|     ~|sdOHe            |  25|   0
953 |PG 1106-097                        |HS*|11 09 08.1796165749 -09 58 47.588183857|     ~|16.9  |     ~|16.4  |     ~|sdO              |   6|   0
954 |PHL 231                            |HS*|22 21 12.9985454693 -20 11 17.206585485|     ~|16.28 |16.8  |     ~|     ~|sdOHe            |   7|   0
955 |PG 1135-116                        |HS*|11 38 10.5711762877 -11 51 03.572972694|     ~|15.45 |     ~|     ~|     ~|sdOHe            |  11|   0
956 |HE 2203-2210                       |HS*|22 06 29.3835326286 -21 55 59.661557438|     ~|15.04 |     ~|     ~|     ~|sdOHe            |   5|   0
957 |PG 1251+019                        |HS*|12 54 08.3240489960 +01 43 24.112076624|     ~|15.24 |     ~|     ~|     ~|sdOHe            |  17|   0
958 |PG 1430-083                        |HS*|14 33 36.8012736777 -08 28 23.251257633|     ~|15.71 |16.05 |     ~|     ~|sdOHe            |  10|   1
959 |PG 1203-108                        |HS*|12 05 56.5570856323 -11 05 28.214470946|     ~|15.69 |     ~|     ~|     ~|sdOHe            |   7|   0
960 |HE 2347-4130                       |HS*|23 50 19.7134941783 -41 14 01.174215112|     ~|15.16 |     ~|     ~|     ~|sdOHe            |   6|   0
961 |PG 0914-037                        |HS*|09 17 15.5886026464 -03 53 56.000972098|     ~|14.93 |     ~|     ~|     ~|sdOHe            |   8|   1
962 |EC 11363-1641                      |HS*|11 38 54.5078710008 -16 58 12.313339208|     ~|15.16 |15.43 |     ~|     ~|sdOHe            |   5|   0
963 |EC 13165-1834                      |HS*|13 19 16.9514481013 -18 49 51.653738249|     ~|16.6  |16.29 |16.6  |     ~|sdOHe            |   6|   0
