C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET22:57:14

sptypes = 'O'
-------------

Number of objects : 1597

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |   spec. type    |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------|----|----
52  |PG 1628+553                        |HS*|16 29 12.1239414180 +55 15 18.615021618|     ~|15.58 |15.84 |16.23 |     ~|sdOC             |  15|   0
53  |PG 0832+676                        |HS*|08 37 34.7328211400 +67 24 13.594597809|     ~|13.87 |14.12 |14.47 |     ~|sdOA             |  49|   1
54  |SBSS 1610+558                      |HS*|16 11 43.2979852808 +55 40 44.384339792|     ~|18.0  |     ~|     ~|     ~|sdO              |   5|   0
55  |PG 0931+691                        |HS*|09 35 59.8329939694 +68 52 01.552507345|     ~|16.13 |     ~|     ~|     ~|sdOC             |  17|   0
56  |PG 0836+619                        |HS*|08 40 44.0045730798 +61 47 52.045417991|     ~|14.12 |14.35 |14.68 |     ~|sdO              |  12|   0
57  |PG 1349+659                        |HS*|13 50 45.0229141262 +65 42 06.619674760|     ~|15.72 |     ~|     ~|     ~|sdOA             |  10|   0
58  |SBSS 1550+506                      |HS*|15 51 34.3761589237 +50 28 45.484812415|     ~|17.5  |     ~|     ~|     ~|sdO              |   5|   0
59  |PG 1412+613                        |HS*|14 14 20.9705004412 +61 01 07.791791047|     ~|14.61 |14.87 |15.18 |     ~|sdOC             |  23|   1
60  |HS 1203+6650                       |HS*|12 06 26.5492335348 +66 33 52.449091526|     ~|     ~|     ~|     ~|     ~|sdO              |  13|   0
61  |PG 0823+546                        |HS*|08 26 49.6109695820 +54 28 00.332275894|     ~|14.09 |14.32 |14.63 |     ~|sdOC             |  29|   0
62  |SBSS 0803+510                      |HS*|08 07 00.2470484281 +50 55 16.121953433|     ~|16.0  |     ~|     ~|     ~|sdO              |   9|   0
