['14:33:13.4523880937', '-13:56:14.281818760']: 1
['14:29:47.9462572549', '-18:41:34.887215046']: 1
['14:34:29.8474994110', '-19:21:28.700363921']: 1
['14:32:21.4928221685', '-22:39:25.645935056']: 1
['14:31:20.9514951747', '-25:25:35.128095658']: 1
['14:47:08.2773480780', '+07:23:49.554796812']: 1
['14:39:41.2121555958', '-07:54:15.127440978']: 3
['14:56:34.3517319475', '+35:36:47.669858206']: 1
['14:49:24.4154494458', '-11:11:18.027279145']: 2
['16:54:11.6391931444', '-41:50:57.294733186']: 2
['16:55:03.3297426438', '-42:05:26.993062976']: 2
['19:48:33.8780672315', '-39:41:42.435816170']: 1
['17:21:15.7982150568', '-37:59:09.549352192']: 1
['20:48:12.3447811660', '-28:17:05.534319606']: 2
['16:24:09.86', '-26:33:04.2']: 1
['20:23:50.2880306564', '-25:08:29.033198811']: 1
['19:46:34.2091755631', '-23:08:12.970430769']: 2
['19:55:38.2259646039', '-23:13:42.230875825']: 2
['15:11:44.1428622917', '-18:42:45.914838116']: 1
['15:37:40.3309116430', '-17:02:15.316740895']: 2
['15:47:34.3956591104', '-17:05:41.057409791']: 2
['16:19:55.0688745859', '-15:38:25.019920749']: 1
['17:41:51.5794261316', '-17:53:48.460430048']: 1
['19:01:01.3922011494', '-18:12:15.320954210']: 1
['15:14:16.9965600829', '-11:14:12.484653526']: 2
['17:29:02.0257670575', '-15:13:04.484004384']: 1
['19:45:05.25', '-14:43:12.4']: 1
['20:34:10.4860596428', '-11:08:02.189428637']: 2
['20:32:28.3426380750', '-12:54:15.626883224']: 1
['20:43:59.2255386146', '-10:47:41.693629843']: 2
['15:20:59.2888567267', '-09:58:56.436531561']: 1
['16:23:43.9894821460', '-12:12:33.641936636']: 1
['15:28:11.5771272664', '-07:16:32.898620269']: 1
['15:56:02.8524696999', '-07:48:28.263036893']: 1
['15:16:19.1204614415', '-04:43:57.460947003']: 2
['15:40:33.3403569955', '-04:48:12.194556048']: 2
['16:28:36.1650347116', '-03:32:38.200751874']: 1
['15:37:33.8232683937', '-02:00:21.913449762']: 1
['15:40:50.5738255675', '+00:05:17.870068327']: 1
['15:46:42.8506491224', '+00:45:28.391604242']: 1
['16:37:27.9587090570', '+01:18:18.991473175']: 1
['16:44:45.5754962569', '+03:42:19.161843267']: 2
['20:55:08.0805262381', '+02:52:05.020171611']: 1
['15:08:37.0225351972', '+10:03:14.049948206']: 1
['20:43:02.4779659976', '+10:34:20.998642549']: 1
['16:40:34.2712451616', '+14:38:00.416676687']: 1
['19:43:31.2053660530', '+18:24:34.657885416']: 1
['16:34:16.0910931429', '+22:11:41.100693384']: 1
['18:58:22.0225108869', '+23:05:46.753374982']: 1
['17:00:14.1169803564', '+27:12:37.300247043']: 1
['19:05:36.0421503752', '+25:45:53.142989023']: 1
['20:04:57.5168599981', '+22:20:39.838601440']: 1
['20:21:07.3135015003', '+21:08:09.138783163']: 1
['15:46:09.0104779742', '+25:07:40.750681965']: 1
['16:12:21.1742837678', '+27:09:44.994576830']: 1
['15:33:16.5793008961', '+27:30:30.248008597']: 1
['19:33:49.1893602246', '+29:17:47.361495242']: 1
['17:46:31.9117461025', '+39:19:09.070415423']: 1
['16:26:16.7177487818', '+38:07:10.475183586']: 1
['17:52:34.4290519302', '+40:57:39.624346089']: 1
['19:20:49.9000298237', '+37:41:38.827023473']: 1
['20:57:26.8864482497', '+31:22:52.622646759']: 1
['17:17:18.7975494983', '+42:26:09.281572514']: 1
['20:23:26.3119636816', '+38:56:21.027476636']: 1
['20:25:40.6038664794', '+37:22:27.051633013']: 1
['20:50:03.4913702462', '+35:27:25.578402768']: 1
['08:10:31.7171685917', '-40:32:47.054433693']: 1
['04:36:15.2327415739', '-53:43:34.481954576']: 3
['09:20:10.1321975829', '-45:31:54.939916304']: 1
['04:22:37.2779048187', '-54:08:49.831039180']: 4
['04:15:30.2250172554', '-54:21:58.605612312']: 3
['04:20:02.6234527502', '-54:04:14.052014143']: 4
['09:52:44.5227859639', '-46:16:47.455337620']: 1
['09:16:37.2536648444', '-51:56:22.550225600']: 1
['04:37:34.0677017987', '-61:57:43.125546096']: 1
['03:55:53.5703791211', '-58:18:22.872008920']: 1
['09:36:42.3973989426', '-53:58:30.747308798']: 2
['09:18:56.0105099563', '-57:04:25.423148532']: 1
['04:55:55.4934162746', '-66:28:20.606467815']: 2
['09:45:25.9214355433', '-54:22:09.457812412']: 2
['05:38:41.108', '-69:05:58.33']: 9
['05:38:49.010', '-69:04:10.60']: 9
['05:37:49.1360518133', '-68:55:01.642483154']: 9
['05:14:34.2068584988', '-68:40:59.775939533']: 8
['05:22:26.4', '-67:58:12']: 1
['01:47:17.4641152264', '-51:33:39.214129082']: 1
['10:15:40.0856062390', '-51:15:24.090337747']: 1
['03:09:50.3919836759', '-64:10:32.652517995']: 1
['03:05:01.6598290337', '-65:46:36.481208922']: 1
['01:32:12.6818779148', '-49:33:40.460187384']: 1
['10:54:40.5600843998', '-48:47:02.815812625']: 1
['10:41:04.0838391650', '-58:34:13.060825747']: 1
['10:33:30.2995844296', '-60:07:40.038449715']: 4
['10:18:58.2517110096', '-59:46:04.301703710']: 5
['09:07:06.3186990004', '-69:56:30.690171529']: 1
['02:51:21.5422807847', '-72:34:33.424596232']: 1
['01:21:38.0958879558', '-55:32:20.852118531']: 1
['10:43:49.0', '-59:33:30']: 4
['10:45:36.7442759960', '-59:47:01.902590782']: 5
['11:10:57.3398', '-61:06:07.097']: 2
['11:15:09.8441156734', '-61:15:30.489833787']: 3
['01:07:44.4', '-71:02:44']: 14
['00:40:13.3049229054', '-55:01:52.225934750']: 1
['00:30:16.9829920440', '-46:32:21.523556811']: 1
['00:46:10.9452540716', '-73:25:35.603065855']: 2
['01:02:48.4', '-71:05:25']: 19
['01:05:37.1', '-71:00:41']: 11
['01:07:38.9', '-71:24:42']: 35
['00:58:09.9', '-71:30:08']: 35
['01:01:57.9', '-71:29:15']: 36
['01:01:31.8', '-71:31:50']: 34
['00:58:31.1', '-71:33:54']: 33
['01:01:49.5', '-71:47:00']: 33
['01:02:37.2', '-71:50:30']: 31
['01:00:59.4', '-71:52:31']: 29
['00:58:04.5', '-71:44:03']: 33
['01:04:59.7', '-71:27:03']: 37
['01:04:40.2', '-71:27:51']: 36
['01:03:50.1', '-71:31:01']: 35
['01:03:30.4', '-71:46:24']: 33
['01:07:01.0', '-71:48:34']: 32
['01:05:23.4', '-71:47:00']: 33
['01:04:17.2', '-71:27:27']: 37
['01:06:18.9', '-71:43:42']: 33
['00:58:08.9194197946', '-71:40:16.310062869']: 33
['00:58:43.5733322468', '-71:21:58.987330454']: 32
['00:59:02.8854283315', '-71:30:49.140853349']: 35
['01:01:15.0864300196', '-71:51:33.385637415']: 31
['01:01:58.8859656527', '-71:04:15.602277198']: 18
['01:02:17.8501762815', '-71:16:53.793281978']: 27
['01:04:58.6009640063', '-71:38:19.479036531']: 33
['01:07:48.3149899636', '-71:30:26.580666615']: 35
['01:08:16.3042371645', '-71:50:13.721306259']: 31
['01:03:13.7928382839', '-71:25:04.807439944']: 35
['01:00:15.3695795152', '-71:39:35.745650361']: 33
['01:08:44.3389306698', '-71:35:57.029068778']: 33
['01:02:29.2535383035', '-71:20:45.588903454']: 31
['01:03:11.7063715067', '-71:52:13.158855818']: 29
['01:08:55.4938004668', '-71:37:19.515278794']: 33
['01:04:27.4727641518', '-71:29:41.021815868']: 36
['01:08:08.5127874327', '-71:38:37.274500275']: 33
['00:58:31.7535036663', '-72:10:57.966053276']: 11
['11:46:54.4038347193', '-61:27:46.985374046']: 2
['00:20:41.0850604789', '-64:47:37.919362867']: 2
['00:20:21.2604728710', '-64:46:27.718379084']: 2
['12:02:27.7963615668', '-58:14:34.357788781']: 1
['12:05:49.8805966991', '-69:34:22.993604342']: 1
['21:55:19.2871689706', '-83:53:40.889186223']: 1
['22:54:38.0009357492', '-72:23:09.730261220']: 1
['12:42:12.7021049257', '-60:39:08.704606517']: 2
['22:01:52.2194135357', '-75:52:04.363392395']: 1
['23:10:53.7952041039', '-63:03:25.271650326']: 1
['20:35:14.9206339764', '-77:42:12.778045881']: 1
['13:32:08.5984445366', '-60:48:55.483502747']: 2
['14:13:08.3613531914', '-65:39:18.888424903']: 1
['20:20:38.9106886975', '-73:56:56.165004538']: 1
['20:48:59.3940383207', '-72:50:40.180394695']: 1
['22:11:21.7520523628', '-62:17:19.514092899']: 1
['14:07:30.6440577747', '-64:28:08.780113899']: 1
['19:08:20.7902489982', '-72:30:34.378041671']: 1
['19:33:49.3680637745', '-74:32:58.664357169']: 1
['13:53:08.2145759352', '-46:43:42.320124869']: 1
['13:52:40.7811980464', '-48:08:22.752275348']: 1
['14:24:32.351', '-51:38:39.00']: 1
['16:54:35.1337523869', '-64:14:28.686747259']: 1
['18:55:24.9083521838', '-63:05:05.773455609']: 1
['19:35:49.6265175095', '-58:53:52.012660933']: 1
['16:16:54.03', '-53:24:39.7']: 1
['17:40:38.4614296064', '-53:38:31.346327354']: 1
['19:41:04.4066960198', '-52:46:57.180130393']: 2
['18:07:15.8014218878', '-51:01:10.219209180']: 1
['19:02:11.7422717452', '-51:30:09.556345077']: 1
['20:05:55.7857207738', '-48:16:10.528004604']: 1
['20:22:49.0574098491', '-43:30:11.524936955']: 1
['16:29:19.163', '-44:28:14.23']: 1
['16:44:07.2106897294', '-46:08:29.843997832']: 2
['16:47:04.11', '-45:50:39.0']: 2
['17:09:53.0868663445', '-47:01:53.192207532']: 1
['18:03:38.3706453899', '-45:56:36.934075451']: 1
['05:39:40.3', '-69:46:20']: 2
['18:53:03.47', '-08:42:30.6']: 1
['22:21:12.9985454693', '-20:11:17.206585485']: 1
['14:33:36.8012736777', '-08:28:23.251257633']: 3
['11:38:54.5078710008', '-16:58:12.313339208']: 1
['13:19:16.9514481013', '-18:49:51.653738249']: 1
['18:26:14.90', '+06:29:01.5']: 2
['18:26:17.50', '+06:22:32.5']: 2
['08:02:31.5353030048', '+39:22:28.841020186']: 2
['04:55:56.3300648375', '-66:29:04.281485315']: 2
['10:45:30.249', '-59:48:20.64']: 5
['00:18:37.1421817185', '+15:21:50.024527784']: 1
['00:28:52.2592377027', '+13:54:46.594975507']: 1
['09:30:59.6324069623', '+02:50:32.350168254']: 1
['09:32:45.9172643995', '+08:16:18.552289407']: 1
['09:46:23.0235036913', '+04:04:56.134760502']: 1
['10:35:49.6844884159', '+09:25:51.870959698']: 1
['11:20:56.2266455119', '+09:36:41.794662662']: 1
['11:37:30.8814563666', '+46:00:06.259168616']: 1
['12:06:05.9938379607', '+08:09:43.468376152']: 1
['12:36:13.9032484446', '+11:18:34.064463092']: 2
['13:26:19.9524713533', '+03:57:54.436030519']: 1
['14:52:03.9475859164', '+45:33:29.612870533']: 2
['14:56:06.4229003923', '+50:01:55.197076476']: 1
['15:18:08.4773527052', '+04:10:43.769580111']: 1
['15:30:56.3329676079', '+02:42:22.593050410']: 1
['15:32:17.2391441164', '+45:46:20.928100377']: 1
['21:19:21.3698785744', '+00:57:49.774814368']: 1
['22:22:38.6888552469', '+00:51:25.005064974']: 1
['22:39:55.5892545418', '-00:52:40.111451694']: 1
['19:16:23.6672822939', '+01:51:31.324262771']: 2
['19:19:09.3042533027', '+02:07:52.817729143']: 2
['22:24:57.2289973785', '-31:37:18.872818501']: 1
['01:05:02.072', '+02:09:28.09']: 2
['08:51:58.8843859863', '-17:12:38.752981590']: 2
['01:33:33.66', '+30:41:29.8']: 6
['22:49:53.1899251014', '-68:06:27.510078657']: 3
['19:31:08.8798975280', '+43:24:57.692809603']: 1
['20:28:30.3868621411', '+41:05:29.086876143']: 1
['17:55:48.5699040439', '+50:12:11.597284950']: 1
['07:58:07.5358200731', '-04:32:05.278714912']: 1
['08:35:23.8754739756', '-01:55:52.687456464']: 1
['04:13:19.4135113601', '-13:41:02.808451637']: 1
['19:11:09.2925658118', '-14:06:53.280749451']: 1
['21:12:30.8835808', '-15:24:12.791130']: 1
['09:34:48.2333803557', '-25:12:44.462244812']: 1
['20:38:50.5067249701', '-26:57:54.265532684']: 3
['09:52:56.8060893239', '-37:19:41.420916674']: 1
['22:35:22.1151102347', '-50:21:17.236561562']: 1
['04:20:34.8485983201', '+01:20:40.834757186']: 1
['07:52:34.2973530103', '+16:16:05.325386171']: 1
['13:15:12.3933442098', '+02:45:31.694561198']: 1
['05:38:39.750', '-69:05:50.55']: 9
['05:38:39.750', '-69:05:39.21']: 9
['00:44:44.6426847101', '-73:14:07.578463234']: 2
['01:05:08.821', '+02:09:10.75']: 2
['17:37:23.8209081932', '+55:20:16.101375936']: 1
['09:55:34.5944013000', '+02:12:48.685671756']: 1
['12:07:28.4307809271', '+54:01:29.155058071']: 1
['16:12:45.1193888184', '+04:12:41.559078222']: 1
['09:49:43.6892852413', '+30:15:10.442403932']: 1
['09:50:58.0573945706', '+18:26:18.619930664']: 1
['14:27:00.0940401690', '+58:47:00.717583534']: 1
['15:20:45.9593513828', '+29:48:26.419694385']: 1
['23:41:17.1590577555', '+45:41:45.137152957']: 1
['20:56:52.1997161674', '+03:35:48.310645470']: 1
['05:38:20.9276575392', '-69:12:00.115231415']: 9
['05:38:38.82', '-69:05:25.5']: 9
['05:38:44.06', '-69:04:59.5']: 9
['05:39:46.2786270913', '-69:38:52.831274546']: 3
['09:05:47.972', '+42:40:38.31']: 1
['11:13:17.3201437675', '+04:13:14.489789083']: 1
['16:02:09.0718731119', '+07:25:10.924693236']: 1
['04:42:08.2822385721', '-18:20:54.708071224']: 1
['21:10:41.3926658919', '+14:25:58.932391650']: 1
['01:12:54.0853400994', '+32:38:02.064405751']: 1
['07:01:23.2171631392', '+53:29:37.935886376']: 1
['07:03:49.6209627618', '+57:30:02.988028151']: 1
['18:09:44.3605895621', '+56:48:13.207507292']: 1
['18:32:17.1541887248', '+69:57:50.032006378']: 1
['03:53:35.7523119770', '-78:11:15.180768013']: 1
['04:20:32.1352088988', '-82:06:35.359763140']: 1
['04:35:25.8129201040', '-12:47:00.088057598']: 1
['04:44:06.3954629656', '-48:01:58.210315504']: 1
['04:52:42.6892622454', '-26:47:33.821450643']: 1
['05:00:38.2204301406', '-16:45:03.161673343']: 1
['05:04:23.5679902357', '-43:58:27.929691375']: 1
['05:17:56.5317976483', '-30:47:49.644325063']: 1
['05:20:40.1887783550', '-33:43:38.891795623']: 1
['05:37:14.4082754587', '-46:14:57.877751482']: 1
['05:42:46.7634604342', '-50:17:27.173805758']: 1
['05:43:21.0721029837', '-51:26:13.567182361']: 1
['06:02:34.2772311898', '-83:27:01.570864250']: 1
['19:45:08.8094226949', '-50:34:11.977277900']: 1
['19:44:50.4375009326', '-38:12:26.618867514']: 1
['20:08:35.0456320433', '-64:02:28.785374788']: 1
['20:08:01.5641688525', '-52:38:05.682400074']: 2
['20:11:18.7458434439', '-31:56:06.114418430']: 2
['20:14:22.9327754782', '-37:15:42.414043190']: 1
['20:21:39.1092198058', '-34:25:46.240856345']: 1
['20:23:35.6941183765', '-27:15:21.269287253']: 2
['20:26:30.1324553298', '-62:40:07.052619682']: 1
['20:26:32.4293498727', '-30:55:26.166288529']: 1
['20:30:03.4516292149', '-53:02:23.830804182']: 1
['20:32:36.7568820565', '-45:19:13.884430903']: 3
['20:34:21.1013375282', '-51:17:15.891931280']: 1
