C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:34:38

sptypes = 'F'
-------------

Number of objects : 3144

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1629|HD 322968                          |*  |17 18 40.4574844212 -36 58 36.185258363|     ~|11.78 |11.65 |     ~|     ~|F              |   1|   0
1630|HD 323753                          |*  |17 33 19.6528773656 -39 06 21.084636548|     ~|10    |     ~|     ~|     ~|F              |   1|   0
1631|HD 162395                          |*  |17 52 36.7812373913 -38 46 26.913142976|     ~| 8.92 | 8.55 |     ~|     ~|Fm_dD          |   4|   0
1632|HD 324670                          |*  |17 57 38.4470579094 -37 32 15.993664127|     ~|11.76 |11.27 |     ~|     ~|F              |   1|   0
1633|HD 324827                          |*  |18 01 31.5933710657 -38 15 27.070786819|     ~|11.47 |10.64 |     ~|     ~|F              |   1|   0
1634|HD 324838                          |*  |18 05 52.0536894145 -38 24 52.778614642|     ~|11.42 |11.07 |     ~|     ~|F              |   1|   0
1635|HD 137747                          |*  |15 28 41.3248454415 -29 34 06.115929408|     ~| 8.70 | 8.19 |     ~|     ~|Fm_dD          |  12|   0
1636|HD 143428                          |*  |16 01 20.6293481353 -31 32 46.100782529|     ~| 9.21 | 8.48 |     ~|     ~|Fm             |  11|   0
1637|HD 149061                          |*  |16 33 48.4297577891 -34 26 26.402919734|     ~| 8.19 | 7.76 |     ~|     ~|Fm_dD          |  15|   0
1638|HD 319892                          |*  |17 30 08.6972354017 -34 56 14.865631358|     ~|11.90 |11.21 |     ~|     ~|F              |   1|   0
1639|HD 317646                          |*  |17 29 01.1297993706 -33 42 17.610501729|     ~|11.62 |10.82 |     ~|     ~|F              |   1|   0
1640|HD 319980                          |*  |17 31 54.5593709345 -34 22 44.244937368|     ~|11.0  |     ~|     ~|     ~|F              |   1|   0
1641|HD 320111                          |*  |17 36 27.7053350428 -34 12 54.661851879|     ~|11.8  |     ~|     ~|     ~|F              |   1|   0
1642|HD 320266                          |*  |17 39 46.6723433341 -34 08 13.736808184|     ~|11.93 |12.15 |     ~|     ~|F              |   1|   0
1643|HD 321023                          |*  |18 00 02.6922831956 -33 53 32.410420498|     ~|11.27 |11.22 |     ~|     ~|F              |   2|   0
1644|HD 321337                          |*  |18 08 58.0464067309 -33 58 13.338124994|     ~|11.0  |11.3  |     ~|     ~|F              |   2|   0
1645|HD 321385                          |*  |18 09 32.8203062863 -35 09 52.954146910|     ~|11.54 |11.38 |     ~|     ~|F              |   1|   0
1646|HD 321461                          |*  |18 12 35.3817207953 -34 26 36.756939155|     ~|11.35 |10.20 |     ~|     ~|F              |   1|   0
1647|GSC 06768-00528                    |*  |15 31 26.3253975155 -24 40 19.283129210|     ~|13.91 |13.21 |13.05 |     ~|F              |   1|   0
1648|GSC 06767-00845                    |*  |15 28 22.3356340753 -25 51 30.455029904|     ~|     ~|14.7  |     ~|     ~|F              |   1|   0
1649|GSC 06772-01387                    |*  |15 35 25.5841091128 -27 14 19.760278004|     ~|     ~|14.2  |     ~|     ~|F              |   1|   0
1650|GSC 06786-00010                    |*  |15 49 19.9094117615 -26 47 03.485906771|     ~|15.35 |14.15 |13.76 |     ~|F              |   1|   0
1651|HD 144768                          |dS*|16 08 39.6954304951 -28 51 20.708815260|     ~| 9.87 | 9.55 |     ~|     ~|Fm_dD          |   9|   0
1652|HD 152605                          |*  |16 55 33.4316757847 -31 19 53.119989409|     ~| 8.82 | 8.41 |     ~|     ~|Fm_dD          |   4|   0
1653|HD 154783                          |PM*|17 08 47.5395443933 -30 24 13.389637365|     ~| 6.198| 5.911|     ~|     ~|Fm_dD          |  49|   0
1654|HD 317539                          |*  |17 25 19.6431731348 -32 09 29.222045852|     ~|11.57 |11.16 |     ~|     ~|F              |   1|   0
1655|HD 317621                          |*  |17 27 54.0915817698 -32 51 53.340307577|     ~|11.99 |11.38 |     ~|     ~|F              |   1|   0
1656|CPD-31 4957                        |*  |17 46 55.8409115741 -31 29 24.862777476|     ~|11.54 |11.44 |     ~|     ~|F              |   3|   0
1657|HD 318074                          |*  |17 39 45.0456548912 -31 53 48.759924670|     ~|11.33 |10.68 |     ~|     ~|F              |   2|   0
1658|HD 318164                          |*  |17 39 50.1997403528 -33 14 49.759050111|     ~|11.68 |11.50 |     ~|     ~|F              |   2|   0
1659|HD 318636                          |*  |17 56 29.0373348693 -32 02 00.627040394|     ~|11.60 |11.03 |     ~|     ~|F              |   3|   0
1660|CPD-32 5013                        |*  |17 59 25.6004899043 -32 52 15.353057842|     ~|11.88 |10.93 |     ~|     ~|F              |   1|   0
1661|HD 318401                          |*  |17 51 07.7007410549 -31 24 35.064728865|     ~|11.96 |11.28 |     ~|     ~|F              |   2|   0
1662|HD 318424                          |*  |17 49 30.9667154600 -31 55 56.685339562|     ~|11.20 |10.65 |     ~|     ~|F              |   2|   0
1663|HD 318577                          |*  |17 55 17.1963 -30 57 48.439            |     ~|11.11 |10.57 |     ~|     ~|F              |   2|   0
1664|HD 318612                          |*  |17 55 17.9372714003 -31 36 27.556099188|     ~|11.64 |10.97 |     ~|     ~|F              |   2|   0
1665|HD 318655                          |*  |17 55 56.7365466931 -32 46 06.015632379|     ~|11.35 |11.26 |     ~|     ~|F              |   2|   0
1666|HD 318666                          |*  |17 57 37.9852677384 -32 58 00.003336196|     ~|11.47 |10.90 |     ~|     ~|F              |   2|   0
1667|HD 318675                          |*  |17 56 19.5983795218 -33 14 10.364381659|     ~|11.53 |12.59 |     ~|     ~|F              |   2|   0
1668|HD 318688                          |*  |17 57 35.5435731449 -33 38 38.068726370|     ~|11.3  |10.9  |     ~|     ~|F              |   2|   0
1669|HD 319037                          |*  |18 08 34.6061431098 -32 18 19.020475153|     ~|11.80 |11.56 |     ~|     ~|F              |   1|   0
1670|HD 318969                          |*  |18 07 36.9597460879 -33 08 22.722784759|     ~|11.68 |11.18 |     ~|     ~|F              |   2|   0
1671|CPD-33 4768                        |*  |18 00 41.3496 -33 01 01.584            |     ~|11.36 |11.22 |     ~|     ~|F              |   1|   0
1672|HD 318903                          |*  |18 06 02.3739462668 -31 12 08.390511324|     ~|11.47 |11.05 |     ~|     ~|F              |   1|   0
1673|HD 318907                          |*  |18 04 15.2569926542 -31 12 55.158789796|     ~|11.64 |11.09 |     ~|     ~|F              |   2|   0
1674|HD 318950                          |*  |18 07 07.3755816764 -32 47 44.679420352|     ~|11.37 |11.36 |     ~|     ~|F              |   2|   0
1675|HD 318957                          |*  |18 04 58.3085966214 -32 59 14.588325999|     ~|11.49 |10.92 |     ~|     ~|F              |   2|   0
1676|HD 319000                          |*  |18 09 18.3435689479 -31 14 36.920603657|     ~|11.62 |11.29 |     ~|     ~|F              |   2|   0
1677|HD 319058                          |*  |18 08 22.4927834593 -33 01 55.850476614|     ~|11.17 |10.65 |     ~|     ~|F              |   2|   0
1678|HD 319072                          |*  |18 10 39.0202957821 -33 27 11.297414337|     ~|11.57 |11.17 |     ~|     ~|F              |   2|   0
1679|HD 319076                          |*  |18 10 11.4179037928 -33 37 34.469211751|     ~|11.3  |11.4  |     ~|     ~|F              |   2|   0
1680|CPD-31 5351                        |*  |18 08 56.9891237853 -31 46 56.906003046|     ~|11.86 |11.4  |     ~|     ~|F              |   4|   0
1681|CD-33 12947                        |*  |18 12 49.6750596066 -33 18 42.320002392|     ~|11.53 |10.27 |     ~|     ~|F              |   1|   0
1682|HD 319222                          |*  |18 16 23.366 -33 13 50.24              |     ~|11.75 |11.27 |     ~|     ~|F              |   2|   0
1683|CPD-32 5278                        |*  |18 17 27.2828273904 -32 33 36.063655672|     ~|11.76 |10.63 |     ~|     ~|F              |   1|   0
1684|HD 319214                          |*  |18 15 26.9535320057 -32 49 40.621919002|     ~|11.45 |10.92 |     ~|     ~|F              |   2|   0
1685|CPD-32 5221                        |*  |18 13 46.5792360175 -32 39 55.972216812|     ~|11.68 |10.86 |     ~|     ~|F              |   1|   0
1686|HD 319271                          |*  |18 18 38.7216349050 -32 04 17.894164315|     ~|11.32 |10.79 |     ~|     ~|F              |   3|   0
1687|HD 319152                          |*  |18 12 25.4639576366 -33 09 15.513383581|     ~|11.60 |11.48 |     ~|     ~|F              |   2|   0
1688|HD 319197                          |*  |18 15 10.0381039306 -31 57 01.673821901|     ~|11.68 |11.52 |     ~|     ~|F              |   2|   0
1689|HD 319198                          |*  |18 14 58.9782414760 -31 53 56.798634184|     ~|11.75 |10.78 |     ~|     ~|F              |   2|   0
1690|HD 319321                          |*  |18 22 01.3425214798 -33 24 45.929815474|     ~|11.54 |10.83 |     ~|     ~|F              |   1|   0
1691|V* V4373 Sgr                       |a2*|19 39 20.4197373866 -29 44 34.465535102|     ~|10.37 | 9.96 |     ~|     ~|FpSrEu         |  28|   0
1692|BPS CS 22955-0147                  |HB*|20 38 35.7441735243 -25 48 06.422158169|14.63 |14.44 |14.23 |     ~|     ~|F              |   4|   0
1693|HD 136678                          |** |15 22 43.7159460879 -22 53 57.465819347|     ~| 8.83 | 8.38 |     ~|     ~|Fm_dD          |  14|   0
1694|GSC 06764-00961                    |*  |15 29 21.9866057720 -23 10 34.524778721|     ~|15.47 |14.71 |14.61 |     ~|F              |   1|   0
1695|2MASS J15294359-2424067            |Y*?|15 29 43.5959291670 -24 24 06.839948575|     ~|     ~|15.0  |     ~|     ~|F              |   2|   0
1696|GSC 06768-00007                    |*  |15 31 15.4753016570 -24 56 29.094154835|     ~|13.6  |     ~|     ~|     ~|F              |   1|   0
1697|CD-25 11133                        |*  |15 51 07.9060762500 -25 38 59.277339542|     ~|10.45 | 9.77 |     ~|     ~|F              |   7|   0
1698|TYC 6784-241-1                     |Ro*|16 11 06.9140519133 -26 09 23.600144088|     ~|10.87 |10.29 |     ~|     ~|F              |   7|   0
1699|CD-26 11339                        |Ro*|16 26 22.7676218371 -27 15 02.797184302|     ~|10.32 | 9.78 |     ~|     ~|F              |   7|   0
1700|CD-26 11326                        |*  |16 24 29.3985581094 -26 55 37.913583482|     ~|11.01 |10.32 |     ~|     ~|F              |   4|   0
1701|CD-28 12951                        |*  |17 14 20.3166643925 -28 57 11.895991659|     ~|11.58 |11.06 |     ~|     ~|F              |   4|   0
1702|CD-29 13334                        |*  |17 15 44.3581532575 -29 42 28.987375541|     ~|11.07 |10.56 |     ~|     ~|F              |   4|   0
1703|HD 315754                          |*  |17 24 03.3203018606 -29 30 46.867063463|     ~|11.64 |11.38 |     ~|     ~|F              |   2|   0
1704|HD 315747                          |*  |17 26 03.7576359214 -29 26 22.253190868|     ~|11.47 |11.29 |11.14 |10.82 |F              |   1|   0
1705|CPD-29 4636                        |*  |17 19 20.1254283681 -29 36 22.652273796|     ~|11.46 |11.39 |     ~|     ~|F              |   1|   0
1706|CPD-28 5612                        |*  |17 19 42.1651212417 -28 35 16.283660613|     ~|11.61 |10.93 |     ~|     ~|F              |   1|   0
1707|HD 315741                          |*  |17 24 02.2830274717 -29 20 28.062587451|     ~|11.47 |11.08 |     ~|     ~|F              |   8|   2
1708|HD 315795                          |*  |17 28 41.5123854120 -28 36 23.639585607|     ~|11.69 |11.22 |     ~|     ~|F              |   3|   0
1709|HD 315992                          |*  |17 36 29.0623829878 -29 10 29.186253530|     ~|11.23 |10.12 | 9.46 | 9.053|F              |  11|   0
1710|HD 315984                          |*  |17 33 20.1459631433 -29 17 09.649443704|     ~|11.6  |10.9  |     ~|     ~|F              |   3|   0
1711|HD 316019                          |*  |17 34 25.0094775261 -29 49 40.486136947|     ~|11.4  |11.0  |     ~|     ~|F              |   3|   0
1712|CD-29 13768                        |*  |17 36 15.8284077654 -29 32 04.679046750|     ~|11.10 |10.63 |     ~|     ~|F              |   1|   0
1713|HD 315913                          |Em*|17 29 56.0393595650 -29 32 06.672557118|     ~|11.51 |10.93 |     ~|     ~|F              |   4|   0
1714|HD 315919                          |*  |17 30 05.3491240377 -29 50 04.498655451|     ~|11.33 |10.77 |     ~|     ~|F              |   2|   0
1715|HD 315848                          |*  |17 27 12.7723044837 -30 05 26.026665926|     ~|11.54 |11.39 |     ~|     ~|F              |   2|   0
1716|HD 317914                          |*  |17 37 12.1356156340 -30 48 16.321912712|     ~|11.70 |11.33 |     ~|     ~|F              |   3|   0
1717|HD 316058                          |*  |17 38 20.6553371490 -28 31 14.917868068|     ~|11.73 |11.41 |     ~|     ~|F              |   3|   0
1718|CD-28 13409                        |*  |17 39 50.3812468916 -28 24 06.053379036|     ~|12.32 |10.33 |     ~|     ~|F              |   2|   0
1719|CD-27 11797                        |*  |17 40 43.7703823918 -28 02 52.820856128|     ~|11.41 |10.93 |10.92 |     ~|F              |   6|   0
1720|HD 316223                          |*  |17 45 25.7877637188 -28 56 27.031850990|     ~|11.72 |10.85 |10.64 |     ~|F              |  21|   0
1721|HD 316236                          |*  |17 45 48.3599928164 -29 36 06.135388347|     ~|11.49 |10.64 |10.30 |     ~|F              |  13|   0
1722|CD-29 13953                        |*  |17 46 13.0847573212 -29 19 35.850700461|11.82 |11.78 |11.21 |11.22 |     ~|F              |   7|   0
1723|CD-29 13966                        |*  |17 46 52.4882269239 -29 18 17.476723943|11.78 |12.08 |11.55 |11.52 |     ~|F              |  12|   0
1724|CD-29 14011                        |*  |17 48 19.5156634275 -29 24 14.264709084|11.62 |11.87 |11.09 |10.93 |     ~|F              |   6|   0
1725|CD-29 13880                        |*  |17 42 26.8334470387 -29 28 52.255808521|     ~|11.33 |10.43 |     ~|     ~|F              |   1|   0
1726|HD 316328                          |*  |17 47 03.5791126152 -29 23 57.255698196|     ~|11.53 |10.59 |     ~|     ~|F              |   2|   0
1727|HD 316348                          |*  |17 46 30.2293346174 -30 20 02.995352008|     ~|11.58 |11.05 |     ~|     ~|F              |   3|   0
1728|HD 316088                          |*  |17 38 32.1376978097 -29 37 30.497266516|     ~|11.64 |11.34 |     ~|     ~|F              |   2|   0
1729|HD 316238                          |*  |17 45 01.9747418082 -29 37 34.176257215|     ~|11.22 |10.73 |     ~|     ~|F              |   2|   0
1730|CD-29 14034                        |Em*|17 49 18.4489108892 -29 42 17.622918820|11.34 |11.61 |11.08 |11.06 |     ~|F              |  10|   0
1731|HD 316694                          |*  |17 55 23.0143347491 -28 47 36.117839360|     ~|11.32 |10.73 |     ~|     ~|F              |   2|   0
1732|CD-30 14975                        |*  |17 57 07.5335875901 -30 16 54.586923244|11.42 |11.73 |11.12 |11.36 |     ~|F              |   7|   0
1733|HD 316777                          |*  |17 55 48.5954242507 -30 34 07.006232693|     ~|11.0  |10.2  |     ~|     ~|F              |   3|   0
1734|HD 316538                          |*  |17 53 17.1727738576 -28 56 37.957084603|     ~|10.98 |10.42 |     ~|     ~|F              |   2|   0
1735|HD 316546                          |*  |17 53 31.7013560501 -29 02 18.772257023|     ~|11.48 |10.59 |     ~|     ~|F              |   2|   0
1736|HD 316570                          |*  |17 54 27.2851756924 -29 43 20.265890521|     ~|11.25 |10.86 |     ~|     ~|F              |   3|   0
1737|HD 316590                          |*  |17 52 57.4355164043 -30 00 06.142646210|     ~|11.48 |11.02 |     ~|     ~|F              |   2|   0
1738|HD 316681                          |*  |17 57 41.2147322823 -28 15 25.367374356|     ~|11.06 |10.55 |     ~|     ~|F              |   2|   0
1739|HD 316745                          |*  |17 55 44.8662877131 -29 55 13.351661000|     ~|11.23 |10.83 |     ~|     ~|F              |   2|   0
1740|HD 316778                          |V* |17 56 03.88 -30 42 04.3                |     ~|11.3  |     ~|     ~|     ~|F              |   2|   0
1741|HD 318690                          |*  |17 58 18.4545622396 -30 50 50.267678086|     ~|11.62 |11.28 |     ~|     ~|F              |   2|   0
1742|CPD-30 4954                        |*  |17 51 10.4400315168 -30 14 55.641431674|     ~|11.65 |10.88 |     ~|     ~|F              |   2|   0
1743|HD 316989                          |Be*|18 01 30.2483606855 -29 19 29.615700789|     ~|11.20 |10.66 |     ~|     ~|F              |  20|   2
1744|HD 316876                          |*  |18 00 12.6537322537 -29 48 39.553699549|     ~|11.58 |11.53 |     ~|     ~|F              |   2|   0
1745|CD-29 14561                        |*  |18 09 23.0068398896 -29 00 42.933540885|     ~|11.55 |10.09 |     ~|     ~|F              |   1|   0
1746|V* V5505 Sgr                       |dS*|18 03 57.8999415211 -29 56 59.897378154|     ~|11.82 |11.47 |     ~|10.807|F              |   5|   0
1747|HD 317006                          |*  |18 02 15.1448664670 -29 46 28.091268635|     ~|11.20 |10.99 |     ~|     ~|F              |   2|   0
1748|HD 317126                          |*  |18 05 06.3616690228 -30 30 55.298341805|     ~|11.31 |10.37 |     ~|     ~|F              |   2|   0
1749|HD 317174                          |*  |18 08 47.4325153388 -29 34 35.005714250|     ~|12.02 |12.06 |     ~|     ~|F              |   2|   0
1750|HD 317175                          |*  |18 08 53.4787450118 -29 35 12.788748015|     ~|11.17 |10.63 |     ~|     ~|F              |   2|   0
1751|HD 317198                          |*  |18 09 18.6716441071 -30 19 23.962870473|     ~|11.95 |11.71 |     ~|     ~|F              |   2|   0
1752|CPD-28 6230                        |*  |18 04 23.0529305350 -28 42 14.595652741|     ~|11.87 |12.04 |     ~|     ~|F              |   2|   0
1753|CD-30 15415                        |*  |18 13 58.7101587134 -30 29 31.653094263|11.04 |11.64 |11.50 |11.66 |     ~|F              |  12|   0
1754|CPD-28 6483                        |*  |18 16 48.7342550673 -28 20 03.159507780|     ~|11.70 |11.49 |11.80 |     ~|F              |   6|   0
1755|HD 317414                          |*  |18 20 39.1594949246 -29 48 59.978210153|     ~|11.27 |10.64 |     ~|     ~|F              |   3|   0
1756|HD 317251                          |*  |18 13 51.3377449559 -29 14 43.709836062|     ~|11.63 |11.00 |     ~|     ~|F              |   2|   0
1757|HD 317310                          |*  |18 17 06.9685773636 -28 46 59.152209081|     ~|11.33 |10.92 |     ~|     ~|F              |   2|   0
1758|HD 317452                          |*  |18 21 40.5770913201 -29 04 10.056575286|     ~|11.52 |11.36 |     ~|     ~|F              |   3|   0
1759|HD 317455                          |*  |18 21 32.1710752906 -29 16 26.772768148|     ~|11.92 |11.87 |     ~|     ~|F              |   3|   0
1760|HD 317457                          |*  |18 21 47.1754995677 -29 22 37.677212665|     ~|11.81 |11.36 |     ~|     ~|F              |   3|   0
1761|HD 319086                          |*  |18 13 48.4286136920 -30 53 19.346036239|     ~|11.42 |10.87 |     ~|     ~|F              |   2|   0
1762|HD 169733                          |*  |18 27 25.4478939942 -30 03 31.530096774|     ~| 9.84 | 9.44 |     ~|     ~|Fm_dD          |   5|   0
1763|HD 317491                          |*  |18 25 32.0788143714 -28 14 57.593795391|     ~|11.38 |10.62 |     ~|     ~|F              |   3|   0
1764|HD 175458                          |*  |18 56 37.8888881904 -29 23 53.855946574|     ~| 9.52 | 9.11 |     ~|     ~|Fm_dD          |   5|   0
1765|BPS CS 22955-0023                  |HB*|20 24 26.9752438597 -25 15 46.316958770|14.93 |14.71 |14.50 |14.93 |     ~|F              |   3|   0
1766|HD 133489                          |dS*|15 05 17.3611340338 -19 36 16.765600605|     ~| 9.57 | 9.19 |     ~|     ~|Fm_dD          |   9|   1
1767|HD 136985                          |*  |15 24 14.8707599132 -20 43 55.301050767|     ~|10.448| 9.939|     ~|     ~|Fm_dD          |   6|   0
1768|GSC 06764-01841                    |*  |15 31 17.9655957988 -22 31 56.344121319|     ~|14.168|12.716|     ~|     ~|F              |   3|   0
1769|VSS II-137                         |TT*|16 21 28.8133227115 -23 32 38.962807951|     ~|     ~|11.87 |11.03 |10.15 |F              |  13|   0
1770|CD-26 11983                        |*  |17 11 47.5768456781 -27 05 38.955264970|     ~|10.56 |10.15 |     ~|     ~|F              |   2|   0
1771|CD-26 11862                        |*  |17 05 09.6165352749 -26 27 27.587555145|     ~|11.25 |10.56 |     ~|     ~|F              |   1|   0
1772|CD-26 12140                        |*  |17 26 51.6972310445 -26 26 31.903007660|     ~|11.86 |10.92 |     ~|     ~|F              |   2|   0
1773|HD 159254                          |*  |17 34 46.2823428697 -26 44 22.886797113|     ~| 9.51 | 8.51 |     ~|     ~|Fm_dD          |   9|   0
1774|CPD-27 5660                        |*  |17 27 42.6823872087 -27 35 15.154010529|     ~|11.79 |11.20 |     ~|     ~|F              |   1|   0
1775|CD-25 12250                        |*  |17 44 31.4510786629 -25 33 19.805732747|11.17 |11.32 |10.91 |10.76 |     ~|F              |   8|   0
1776|CD-25 12274                        |*  |17 46 18.9347243034 -25 55 34.619196193|11.3  |11.55 |10.70 |10.58 |     ~|F              |  13|   0
1777|CD-27 11813                        |*  |17 41 23.6922815796 -27 43 06.947515783|     ~|11.46 |10.80 |     ~|     ~|F              |   1|   0
1778|CPD-26 5928                        |*  |17 41 03.7683613404 -26 52 46.259011349|     ~|11.83 |11.19 |     ~|     ~|F              |   1|   0
1779|CPD-26 5916                        |*  |17 38 01.2850050460 -26 15 45.224313465|     ~|11.71 |11.31 |     ~|     ~|F              |   1|   0
1780|HD 316280                          |*  |17 46 28.2997633947 -27 46 52.945530720|     ~|11.50 |10.77 |     ~|     ~|F              |   2|   0
1781|CD-25 12393                        |*  |17 52 58.0645834426 -25 20 28.479981752|11.72 |12.01 |11.65 |11.57 |     ~|F              |   7|   0
1782|HD 314839                          |Em*|17 58 10.6646271560 -25 50 06.392476022|     ~|11.44 |11.24 |     ~|     ~|F              |   4|   0
1783|HD 314821                          |*  |17 59 01.7425977291 -25 34 28.151209921|     ~|11.53 |11.05 |     ~|     ~|F              |   2|   0
1784|CPD-25 6146                        |*  |17 53 46.6760960922 -25 58 08.764303802|     ~|11.73 |11.00 |     ~|     ~|F              |   1|   0
1785|HD 314671                          |*  |17 51 54.2792320169 -26 56 38.785392518|     ~|11.58 |11.18 |     ~|     ~|F              |   2|   0
1786|HD 314722                          |*  |17 54 25.7544993903 -25 54 52.020112298|     ~|11.74 |11.40 |     ~|     ~|F              |   2|   0
1787|HD 314744                          |*  |17 53 23.84 -26 40 12.7                |     ~|10.3  |     ~|     ~|     ~|F              |   1|   0
1788|HD 314746                          |*  |17 52 46.0891088856 -26 32 02.202522481|     ~|11.71 |10.78 |     ~|     ~|F              |   2|   0
1789|HD 314824                          |*  |17 57 59.5662177413 -25 37 27.500164376|     ~|11.41 |10.89 |     ~|     ~|F              |   2|   0
1790|HD 314826                          |*  |17 57 23.6804209198 -25 29 23.246767415|     ~|11.47 |11.06 |     ~|     ~|F              |   2|   0
1791|HD 316470                          |*  |17 53 27.1061281230 -27 26 08.907412725|     ~|11.38 |11.25 |     ~|     ~|F              |   2|   0
1792|HD 316788                          |PM*|17 58 34.1492643818 -27 26 59.215872438|     ~|11.23 |10.73 |     ~|     ~|F              |   2|   0
1793|HD 315216                          |*  |18 07 24.1534633153 -26 18 13.639223375|     ~|11.56 |11.26 |     ~|     ~|F              |   2|   0
1794|HD 315113                          |*  |18 05 30.1710500968 -26 50 20.219321033|     ~|11.34 |11.00 |     ~|     ~|F              |   2|   0
1795|HD 315111                          |*  |18 05 39.0018374073 -26 49 24.775993698|     ~|11.57 |11.26 |     ~|     ~|F              |   2|   0
1796|HD 315107                          |*  |18 05 09.421 -26 32 58.28              |     ~|11.43 |11.38 |     ~|     ~|F              |   2|   0
1797|HD 315002                          |*  |18 00 28.3632080732 -27 09 25.416984305|     ~|11.68 |11.26 |     ~|     ~|F              |   2|   0
1798|HD 315081                          |*  |18 04 47.1687651816 -25 44 54.643479902|     ~|11.43 |11.61 |     ~|     ~|F              |   2|   0
1799|HD 315185                          |*  |18 08 39.7868124309 -25 47 09.946794826|     ~|11.51 |10.70 |     ~|     ~|F              |   2|   0
1800|HD 315194                          |*  |18 06 45.7665255908 -25 35 57.881393939|     ~|11.41 |11.08 |     ~|     ~|F              |   2|   0
1801|HD 315199                          |*  |18 07 41.7254108714 -25 51 59.283472185|     ~|11.10 |10.87 |     ~|     ~|F              |   2|   0
1802|CPD-25 6393                        |*  |18 12 41.0918963959 -25 38 32.532006987|11.21 |11.67 |11.14 |11.08 |     ~|F              |   9|   0
1803|HD 317289                          |*  |18 16 28.0717 -27 47 51.132            |     ~|12.22 |10.28 |     ~|     ~|F              |   2|   0
1804|HD 315295                          |*  |18 12 34.5697910195 -25 47 19.133241510|     ~|11.78 |11.40 |     ~|     ~|F              |   2|   0
1805|HD 315414                          |*  |18 15 39.7025678161 -25 49 30.230248841|     ~|11.23 |11.12 |     ~|     ~|F              |   3|   0
1806|HD 315416                          |*  |18 15 09.4688803546 -25 53 42.127556509|     ~|11.38 |11.16 |     ~|     ~|F              |   2|   0
1807|CPD-26 6494                        |*  |18 32 53.9028702805 -26 16 25.406731368|     ~|11.41 |10.62 |     ~|     ~|F              |   1|   0
1808|CD-27 12828                        |*  |18 25 52.9284758735 -27 49 18.540727775|     ~|11.54 |10.37 |     ~|     ~|F              |   2|   0
1809|CD-26 13521                        |Al*|18 50 03.5692366706 -26 24 15.383805211|     ~|10.75 |10.08 |     ~|     ~|Fe             |  24|   0
1810|HD 187952                          |*  |19 53 31.4223738160 -23 23 31.456190792|     ~| 9.69 | 9.28 |     ~|     ~|Fm_dD          |   5|   0
1811|HD 196001                          |*  |20 35 16.1794375656 -21 49 17.226633231|     ~|10.253| 9.83 |     ~|     ~|Fm_dD          |   5|   0
1812|BPS CS 22955-0132                  |RR*|20 33 28.1405298681 -22 35 38.373643638|14.92 |14.81 |14.46 |     ~|     ~|F              |   9|   0
1813|HD 143439                          |dS*|16 01 08.1215198963 -22 10 05.541378092|     ~| 9.55 | 9.00 |     ~|     ~|Fm_dD          |  17|   0
1814|CPD-23 6398                        |*  |16 49 26.0970305025 -23 33 24.041997648|     ~|11.53 |11.04 |     ~|     ~|F              |   2|   0
1815|HD 158721                          |*  |17 31 46.3902624905 -23 05 16.148701776|     ~|10.32 | 9.62 |     ~|     ~|Fm_dD          |   5|   0
1816|HD 314808                          |*  |17 58 00.8619777756 -25 05 21.669544517|     ~|12.28 |11.44 |     ~|     ~|F              |   1|   0
1817|HD 313438                          |*  |17 54 28.3880312345 -23 07 14.225458278|     ~|11.35 |10.99 |     ~|     ~|F              |   3|   0
1818|HD 314631                          |*  |17 51 15.1187095597 -25 08 02.769486699|     ~|11.75 |10.98 |     ~|     ~|F              |   2|   0
1819|CPD-23 6748                        |*  |18 01 57.6290997241 -23 33 27.022155601|11.97 |11.83 |11.27 |11.35 |     ~|F              |   6|   0
1820|HD 314894                          |*  |18 00 57.0011072473 -23 59 58.682815124|     ~|12.15 |11.91 |11.66 |11.36 |F              |   0|   0
1821|HD 313848                          |WR*|18 05 58.0991502164 -23 08 55.584515331|11.45 |11.21 |10.47 |10.17 |     ~|F              |   9|   0
1822|HD 314014                          |*  |18 09 19.605 -23 14 40.39              |     ~|11.02 |10.72 |     ~|     ~|F              |   2|   0
1823|HD 315284                          |*  |18 10 13.4482623142 -25 02 14.416345778|     ~|11.71 |11.13 |     ~|     ~|F              |   2|   0
1824|HD 315264                          |*  |18 10 01.5074299295 -24 29 56.173702790|     ~|12.42 |10.95 |     ~|     ~|F              |   1|   0
1825|HD 315059                          |*  |18 04 44.9129362925 -25 17 41.355297045|     ~|11.36 |11.21 |     ~|     ~|F              |   2|   0
1826|HD 313850                          |*  |18 05 54.7050455369 -23 05 37.769838636|     ~|11.80 |11.19 |     ~|     ~|F              |   2|   0
1827|HD 315049                          |*  |18 03 44.4110613366 -24 57 24.125752980|     ~|11.16 |10.28 |     ~|     ~|F              |   2|   0
1828|HD 313633                          |*  |18 01 00.7122603873 -23 51 01.204797822|     ~|11.56 |11.07 |     ~|     ~|F              |   2|   0
1829|HD 313753                          |*  |18 02 54.6035803619 -23 51 17.725245977|     ~|11.21 |10.70 |     ~|     ~|F              |   2|   0
