C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
81  |EM* CGHA 58                        |Em*|21 10 10.1169959198 +48 34 47.819359642|     ~|14.14 |11.46 |     ~|     ~|M              |   3|   0
82  |S1* 685                            |S* |21 29 52.4738199794 +51 16 21.080021989|     ~|12.1  |10.4  |     ~|     ~|MS             |   8|   0
83  |S1* 692                            |S* |21 38 54.4660838384 +52 06 37.569460515|     ~|12.48 |11.14 |     ~|     ~|MS             |   7|   0
84  |[FS2003] 1205                      |*  |23 57 17.498 +56 19 34.50              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
85  |BD+54 436                          |*  |02 01 40.7301844280 +54 50 04.258312394|     ~|11.30 | 9.71 |     ~|     ~|M              |   0|   0
86  |[ZGH2005] XS00650B7-015            |*  |03 31 08.2089458352 +43 57 50.418505534|     ~|     ~|     ~|     ~|     ~|MV:e           |   2|   0
87  |HD 275714                          |*  |03 44 12.9233887159 +40 38 55.964187987|     ~|11.89 |10.16 |     ~|     ~|M              |   1|   0
88  |HD 227517                          |*  |20 04 47.0734356954 +41 31 02.292059272|     ~|11.61 | 9.85 |     ~|     ~|M              |   2|   0
89  |V* V2098 Cyg                       |LP*|19 58 10.5520722641 +42 31 39.168735340|     ~| 9.94 | 8.46 |     ~|     ~|M              |   6|   0
90  |IRAS 20459+5015                    |*  |20 47 29.4790877680 +50 26 36.785724874|     ~|19.6  |17.5  |     ~|     ~|M              |   5|   0
91  |[MK97] 18                          |*  |20 56 34.2936328348 +52 18 52.403521265|     ~|17.05 |14.15 |13.62 |     ~|M              |   1|   0
92  |[MK97] 27                          |*  |20 58 53.1398123685 +52 18 44.602031067|     ~|15.60 |14.49 |14.37 |     ~|M              |   1|   0
93  |[MK97] 30                          |*  |20 59 20.5016011200 +52 12 04.596972677|     ~|     ~|     ~|12.87 |     ~|M              |   1|   0
94  |IRAS 21060+5322                    |*  |21 07 33.4087425658 +53 35 01.573125336|     ~|15.35 |12.70 |11.95 |     ~|M              |   1|   0
95  |[MK97] 38                          |*  |21 07 33.6831404002 +53 15 08.537233165|     ~|     ~|     ~|14.18 |     ~|M              |   1|   0
96  |IRAS 21197+5415                    |*  |21 21 20.8065452237 +54 28 02.961698310|     ~|15.19 |12.88 |12.07 |     ~|M              |   1|   0
97  |IRAS 21246+5409                    |*  |21 26 16.7156134728 +54 22 21.992246408|     ~|14.82 |12.49 |11.94 |     ~|M              |   1|   0
98  |IRAS 21257+5438                    |*  |21 27 22.2286201413 +54 51 03.943162608|     ~|15.87 |13.42 |12.57 |     ~|M              |   1|   0
99  |IRAS 21196+5445                    |*  |21 21 08.8358078795 +54 57 58.277302635|     ~|12.41 |11.32 |10.64 |     ~|M              |   1|   0
100 |[MK97] 58                          |*  |21 26 55.9148989360 +54 37 01.200842061|     ~|15.05 |12.63 |11.94 |     ~|M              |   1|   0
101 |[MK97] 64                          |*  |21 34 20.9218650813 +54 47 06.189189000|     ~|14.05 |12.00 |11.38 |     ~|M              |   1|   0
102 |V* V2205 Cyg                       |LP*|21 35 55.0506441559 +54 49 09.044965487|     ~|15.60 |13.49 |12.28 |     ~|M              |   5|   0
103 |[MK97] 54                          |V* |21 24 16.0904325427 +54 58 03.149059391|     ~|15.86 |13.38 |12.63 |     ~|M              |   3|   0
104 |V* V560 Cep                        |LP*|21 36 10.4402123163 +55 41 11.080510637|     ~|14.26 |12.24 |11.89 |     ~|M              |   3|   0
105 |[MK97] 62                          |*  |21 33 58.5458818903 +56 18 10.824091214|     ~|15.34 |12.92 |12.34 |     ~|M              |   1|   0
106 |[MK97] 71                          |*  |21 36 29.6930437525 +55 19 49.256535547|     ~|16.16 |13.79 |13.11 |     ~|M              |   1|   0
107 |IRAS 21372+5517                    |*  |21 38 49.9790126603 +55 30 47.336021236|     ~|13.79 |11.49 |10.91 |     ~|M              |   1|   0
108 |[MK97] 79                          |*  |21 39 43.8478304457 +56 34 37.052748251|     ~|15.74 |13.47 |12.85 |     ~|M              |   1|   0
109 |[MK97] 84                          |*  |21 44 09.7696667835 +54 45 59.261746565|     ~|14.53 |12.40 |11.58 |     ~|M              |   1|   0
110 |V* V2254 Cyg                       |LP?|21 35 08.8925253058 +55 06 40.093986736|     ~|15.75 |13.48 |12.64 |     ~|M              |   2|   0
111 |[MK97] 67                          |*  |21 35 45.0927775891 +55 13 02.676487737|     ~|15.74 |13.58 |12.50 |     ~|M              |   1|   0
112 |HD 239839                          |*  |22 03 24.1453987115 +57 33 26.576401563|     ~|11.3  | 9.39 |     ~|     ~|M              |   3|   0
113 |IRAS 21477+5709                    |*  |21 49 23.3889999389 +57 23 10.344861378|     ~|14.73 |12.34 |11.70 |     ~|M              |   2|   0
114 |BD+57 2537                         |*  |22 27 52.0628530282 +58 24 56.318311512|     ~|12.14 |10.06 |     ~|     ~|M              |   7|   0
115 |V* V659 Per                        |LP?|02 01 44.0941816608 +55 22 36.605249334|     ~|     ~|     ~|     ~|     ~|M              |   4|   0
116 |[D75b] Star 13                     |S* |02 24 44.7614087769 +55 35 45.594548430|     ~|15.0  |     ~|     ~|     ~|MS             |   2|   0
117 |V* DI Per                          |S* |02 22 36.3195335687 +54 09 21.416444811|     ~|     ~|     ~|     ~|     ~|MS             |  10|   0
118 |Cl* Melotte 20 DH 100              |*  |03 20 31.7418283878 +49 39 59.698860610|     ~|     ~|     ~|     ~|     ~|M              |   7|   0
119 |Cl* Melotte 20 AP 338              |*  |03 24 52.6623676159 +48 46 12.749486356|     ~|     ~|     ~|18.304|16.069|M              |   3|   0
120 |Cl* Melotte 20 AP 342              |*  |03 25 39.2484117950 +48 45 21.202184533|     ~|     ~|     ~|18.288|16.207|M              |   3|   0
121 |CSS 1168                           |S* |19 52 14.9557358723 +44 43 14.840165828|     ~|13.35 |11.70 |     ~|     ~|MS             |   1|   0
122 |TYC 3576-1403-1                    |*  |20 18 53.2000243728 +47 51 33.381487403|     ~|11.87 |10.80 |     ~|     ~|M              |   0|   0
123 |TYC 3580-1077-1                    |*  |20 17 05.5506783856 +49 35 05.081922639|     ~|11.95 |10.49 |     ~|     ~|M              |   0|   0
124 |HD 235403                          |*  |20 56 02.5266812960 +53 12 32.216763015|     ~|12.21 |10.15 |     ~|     ~|M              |   1|   0
125 |IRAS 20468+5358                    |*  |20 48 17.5958810795 +54 09 59.156558482|     ~|     ~|     ~|11.66 |     ~|M              |   1|   0
126 |IRAS 20557+5301                    |*  |20 57 15.0862335062 +53 13 12.490084174|     ~|15.63 |13.16 |12.48 |     ~|M              |   1|   0
127 |[MK97] 8                           |*  |20 51 35.8987299575 +53 09 57.328364831|     ~|     ~|     ~|12.36 |     ~|M              |   1|   0
128 |[MK97] 9                           |*  |20 52 16.6294522154 +53 37 23.264387446|     ~|     ~|     ~|13.74 |     ~|M              |   1|   0
129 |[MK97] 14                          |*  |20 55 17.9183335737 +53 14 31.332893257|     ~|16.33 |14.31 |13.96 |     ~|M              |   1|   0
130 |[MK97] 23                          |PM*|20 57 51.1945006007 +53 07 22.568753786|     ~|     ~|     ~|13.25 |     ~|M              |   1|   0
131 |HD 235382                          |*  |20 51 09.4266728629 +55 00 41.314998891|     ~|11.50 | 9.85 |     ~|     ~|M              |   1|   0
132 |IRAS 20533+5501                    |*  |20 54 46.6581781102 +55 12 57.557920987|     ~|     ~|     ~|12.57 |     ~|M              |   1|   0
133 |IRAS 20549+5407                    |*  |20 56 22.6482106649 +54 19 01.636974115|     ~|     ~|     ~|13.05 |     ~|M              |   1|   0
134 |IRAS 20560+5401                    |*  |20 57 29.6617568192 +54 13 24.541442654|     ~|     ~|     ~|11.04 |     ~|M              |   1|   0
135 |IRAS 21038+5351                    |*  |21 05 21.4033303195 +54 03 13.761236541|     ~|15.69 |13.24 |12.18 |     ~|M              |   1|   0
136 |IRAS 21101+5413                    |*  |21 11 37.1624898956 +54 25 45.717736313|     ~|14.73 |12.09 |11.19 |     ~|M              |   1|   0
137 |[MK97] 15                          |*  |20 56 11.4835670077 +54 19 59.656524418|     ~|     ~|     ~|13.35 |     ~|M              |   1|   0
138 |[MK97] 24                          |*  |20 58 19.9041576237 +54 17 08.309090917|     ~|     ~|     ~|13.07 |     ~|M              |   1|   0
139 |[MK97] 25                          |*  |20 58 18.5707762438 +55 12 02.516611697|     ~|     ~|     ~|12.99 |     ~|M              |   1|   0
140 |[MK97] 28                          |*  |20 59 04.6424231157 +55 49 52.843370193|     ~|     ~|     ~|13.87 |     ~|M              |   1|   0
141 |[MK97] 31                          |*  |21 01 10.2198764828 +54 24 53.925983458|     ~|     ~|     ~|12.49 |     ~|M              |   1|   0
142 |[MK97] 35                          |*  |21 05 21.2937881126 +55 08 37.567571866|     ~|15.47 |13.03 |12.41 |     ~|M              |   1|   0
143 |[MK97] 37                          |*  |21 07 12.7209981143 +54 34 59.797035970|     ~|16.58 |13.95 |13.12 |     ~|M              |   1|   0
144 |[MK97] 40                          |*  |21 08 18.9541090545 +54 53 00.076842417|     ~|15.57 |13.21 |12.65 |     ~|M              |   1|   0
145 |IRAS 20552+5308                    |*  |20 56 43.9093079262 +53 19 52.446445521|     ~|     ~|     ~|11.22 |     ~|M              |   1|   0
146 |[MK97] 12                          |*  |20 53 27.0166571513 +53 54 28.651465162|     ~|     ~|     ~|12.92 |     ~|M              |   1|   0
147 |HD 202583                          |*  |21 14 36.3536525652 +56 53 00.266628573|     ~| 8.59 | 6.90 |     ~|     ~|MIII:          |   8|   0
148 |IRAS 21110+5702                    |*  |21 12 29.4256119444 +57 15 15.260085321|     ~|12.73 |10.51 |     ~|     ~|M              |   1|   0
149 |IRAS 21265+5545                    |*  |21 28 03.1018288591 +55 58 08.485250500|     ~|13.14 |10.99 |10.42 |     ~|M              |   1|   0
150 |[MK97] 48                          |*  |21 21 20.9446438417 +55 34 13.468521616|     ~|13.10 |11.62 |     ~|     ~|M              |   1|   0
151 |[MK97] 49                          |*  |21 21 28.3754337843 +55 33 25.030681677|     ~|15.31 |12.95 |12.50 |     ~|M              |   1|   0
152 |[MK97] 50                          |*  |21 21 31.9057428842 +56 10 49.113509964|     ~|16.23 |13.60 |12.79 |     ~|M              |   1|   0
153 |[MK97] 51                          |*  |21 23 21.3573986137 +55 52 49.093237507|     ~|15.08 |12.66 |12.01 |     ~|M              |   1|   0
154 |IRAS 21051+5516                    |*  |21 06 36.9215127305 +55 28 17.081946870|     ~|14.51 |12.21 |11.48 |     ~|M              |   1|   0
155 |IRAS 21081+5456                    |*  |21 09 39.0075767387 +55 08 25.849489887|     ~|14.87 |12.49 |11.70 |     ~|M              |   1|   0
156 |IRAS 21082+5450                    |*  |21 09 45.1254589825 +55 03 07.175368512|     ~|15.75 |13.22 |12.19 |     ~|M              |   1|   0
157 |IRAS 21221+5730                    |*  |21 23 35.7947054398 +57 43 00.594637652|     ~|15.17 |12.78 |12.01 |     ~|M              |   1|   0
158 |IRAS 21382+5706                    |*  |21 39 46.4652430625 +57 20 26.772422638|     ~|13.47 |11.43 |10.75 |     ~|M              |   1|   0
159 |Cl* Trumpler 37 MVA 450            |*  |21 38 51.2104644604 +57 27 34.656875148|     ~|15.42 |13.87 |12.94 |     ~|M              |   3|   0
160 |[MK97] 53                          |*  |21 24 08.2651038409 +57 31 50.063215392|     ~|16.23 |13.95 |13.36 |     ~|M              |   1|   0
161 |[MK97] 65                          |*  |21 34 20.1679889626 +57 05 01.978826107|     ~|15.15 |12.89 |12.29 |     ~|M              |   1|   0
162 |IRAS 21345+5706                    |*  |21 36 05.7062870412 +57 20 05.414403455|     ~|15.01 |12.68 |12.104|     ~|M              |   2|   0
163 |[MK97] 74                          |*  |21 36 40.6335204563 +57 01 38.162394027|     ~|14.44 |12.21 |11.61 |     ~|M              |   1|   0
164 |Cl* Trumpler 37 MVA 337            |*  |21 40 58.7499617531 +57 16 13.378651949|     ~|14.94 |12.80 |12.16 |     ~|M              |   2|   0
165 |BD+58 2303                         |*  |21 39 03.2676996355 +59 32 45.937319312|     ~|11.4  | 9.23 |     ~|     ~|M              |   2|   0
166 |V* V649 Cep                        |S* |22 09 47.5156076485 +61 09 36.333731944|     ~|     ~|     ~|     ~|     ~|MS             |   4|   0
