C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1643|WOH G 226                          |*  |05 12 30.8370159104 -64 35 52.428685555|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1644|WOH G 244                          |LP*|05 15 38.9804583126 -66 16 01.514421232|     ~|     ~|16.01 |13.806|     ~|M              |   4|   0
1645|WOH G 246                          |LP*|05 16 02.9456490953 -65 01 44.155567181|     ~|     ~|16.75 |14.156|13.91 |M              |   3|   0
1646|WOH G 249                          |*  |05 16 17.3995854312 -64 30 53.906626973|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1647|WOH G 253                          |LP*|05 16 27.900 -65 33 08.86              |     ~|     ~|16.86 |15.66 |     ~|M              |   2|   0
1648|WOH G 262                          |*  |05 19 02.0823656065 -65 21 46.135255908|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1649|WOH G 270                          |*  |05 19 58.4880457958 -65 17 59.811707147|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1650|WOH G 279                          |LP*|05 20 57.0780061284 -64 37 51.727512958|     ~|     ~|     ~|13.324|     ~|M              |   2|   0
1651|WOH G 284                          |*  |05 21 12.2945158708 -64 32 18.452174241|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1652|WOH G 293                          |*  |05 22 25.989 -65 04 23.26              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1653|WOH G 294                          |LP*|05 22 26.1165744641 -66 41 07.542093774|     ~|     ~|16.09 |14.81 |     ~|M              |   3|   0
1654|WOH G 295                          |*  |05 22 37.0183089678 -64 35 04.342146143|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1655|WOH G 298                          |LP*|05 22 56.6197370316 -64 56 29.986816743|     ~|     ~|     ~|13.829|     ~|M              |   2|   0
1656|WOH G 349                          |*  |05 28 18.4993536432 -66 41 07.615725863|     ~|     ~|16.47 |14.77 |     ~|M              |   2|   0
1657|WOH G 382                          |*  |05 30 49.7141686003 -67 05 55.172923496|     ~|     ~|     ~|     ~|     ~|Me             |   7|   0
1658|SP77 45-50                         |*  |05 31 00.2422914363 -67 00 27.620162897|     ~|14.90 |13.11 |     ~|     ~|M              |   7|   0
1659|WOH G 387                          |*  |05 31 06.4475567588 -66 59 23.391976050|     ~|     ~|10.44 | 9.76 |     ~|M              |   2|   0
1660|SP77 45-55                         |*  |05 31 38.7604436578 -67 19 07.146756519|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
1661|SP77 45-5                          |*  |05 24 33.7731694362 -67 11 32.357666862|     ~|     ~|12.5  |     ~|     ~|M              |   2|   0
1662|SP77 44-16                         |*  |05 24 48.6218029847 -66 33 18.788033942|     ~|15.4  |13.6  |     ~|     ~|M              |   2|   0
1663|SP77 44-20                         |*  |05 26 50.6531019117 -66 26 35.082409606|     ~|     ~|13.0  |     ~|     ~|M              |   3|   0
1664|SP77 44-21                         |*  |05 27 02.4331836303 -66 25 29.228119522|     ~|15.5  |13.5  |     ~|     ~|M              |   2|   0
1665|SP77 45-15                         |*  |05 27 06.0431431508 -66 44 48.101334639|     ~|     ~|12.0  |     ~|     ~|M              |   2|   0
1666|SP77 44-22                         |*  |05 27 12.8770402193 -66 03 03.573430556|     ~|15.4  |13.5  |     ~|     ~|M              |   2|   0
1667|SP77 45-19                         |*  |05 27 44.0477203565 -67 12 50.184078095|     ~|     ~|12.5  |     ~|     ~|M              |   2|   0
1668|[W60] D10                          |*  |05 28 02.4825714524 -66 07 25.414357670|     ~|     ~|13.0  |     ~|     ~|M              |   3|   0
1669|SP77 44-26                         |*  |05 28 16.9782974695 -66 00 20.866007217|     ~|15.8  |13.5  |     ~|     ~|M              |   2|   0
1670|SP77 45-26                         |Y*O|05 28 59.8243127523 -67 17 21.120827326|     ~|     ~|12.5  |     ~|     ~|M              |   3|   0
1671|SP77 44-30                         |*  |05 29 10.8662411513 -66 10 58.921468065|     ~|     ~|13.42 |12.74 |     ~|M              |   3|   0
1672|SP77 44-33                         |*  |05 29 45.1493064498 -66 29 13.218411355|     ~|     ~|13.0  |     ~|     ~|M              |   3|   0
1673|SP77 44-32                         |*  |05 29 44.8485443178 -66 41 11.882031785|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
1674|SP77 45-36                         |*  |05 29 46.9872933534 -66 56 10.970843588|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
1675|SP77 45-40                         |*  |05 30 20.5530564319 -67 00 39.690715426|     ~|14.3  |13.0  |     ~|     ~|M              |   2|   0
1676|SP77 45-41a                        |*  |05 30 28.9957244979 -67 09 59.891949769|     ~|14.8  |13.0  |     ~|     ~|M              |   3|   0
1677|SP77 45-44a                        |*  |05 30 37.9586120559 -67 00 54.984975264|     ~|     ~|13.5  |     ~|     ~|M              |   2|   0
1678|SP77 45-58                         |*  |05 31 32.9554321513 -66 50 37.717768067|     ~|15.4  |13.5  |     ~|     ~|M              |   2|   0
1679|SP77 52-3                          |*  |05 32 01.4820170925 -66 51 09.546795481|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
1680|SP77 52-8                          |*  |05 32 21.7417566935 -67 14 43.410140046|     ~|     ~|12.5  |     ~|     ~|M              |   2|   0
1681|SP77 52-12a                        |*  |05 33 00.2328509277 -67 00 55.903495998|     ~|     ~|13.5  |     ~|     ~|M              |   2|   0
1682|SP77 52-19                         |*  |05 33 37.6100941144 -66 40 31.354581707|     ~|     ~|12.5  |     ~|     ~|M              |   2|   0
1683|SV* HV 5893                        |V* |05 30 49.4895210970 -66 17 05.942721632|     ~|14.3  |11.89 | 9.92 |     ~|M              |   8|   1
1684|SP77 45-28                         |*  |05 29 01.8252913953 -67 06 05.383599676|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
1685|WOH S 280                          |*  |05 26 05.4060006504 -67 15 26.695914089|     ~|14.3  |12.5  |     ~|     ~|M              |   2|   0
1686|SP77 45-2                          |*  |05 21 55.9938815405 -67 12 45.697086679|     ~|15.4  |12.0  |     ~|     ~|M              |   5|   0
1687|SP77 44-11                         |*  |05 22 44.6285527214 -66 20 46.059382846|     ~|     ~|13.5  |     ~|     ~|M              |   3|   0
1688|SP77 45-13                         |*  |05 26 58.9949585243 -66 51 20.539241657|     ~|14.8  |12.5  |     ~|     ~|M              |   5|   0
1689|SP77 45-30                         |*  |05 29 26.8704636092 -67 04 26.645711380|     ~|14.99 |13.28 |12.39 |     ~|M              |   4|   0
1690|SP77 45-33                         |*  |05 29 37.4510115960 -66 52 51.932481293|     ~|14.9  |13.88 |12.85 |     ~|M              |   5|   0
1691|SP77 45-39                         |*  |05 30 12.8343422949 -66 56 01.411972500|     ~|14.37 |12.49 |     ~|     ~|M              |   4|   1
1692|SP77 45-54                         |*  |05 31 28.1875975697 -67 03 22.888036063|     ~|14.27 |12.99 |12.10 |     ~|M              |   5|   0
1693|SP77 45-58a                        |*  |05 31 45.6764062387 -66 56 48.902090488|     ~|15.1  |13.0  |     ~|     ~|M              |   4|   0
1694|SP77 52-2                          |*  |05 31 51.5347815751 -66 51 32.341872150|     ~|15.2  |13.0  |     ~|     ~|M              |   3|   0
1695|SP77 51-8                          |*  |05 32 30.8550633392 -65 37 16.432484963|     ~|13.8  |10.15 | 8.87 |     ~|M              |   5|   0
1696|SP77 52-9a                         |*  |05 32 26.9428206264 -67 05 15.978870576|     ~|15.1  |13.0  |     ~|     ~|M              |   3|   0
1697|[W60] D26                          |*  |05 32 15.3091099906 -67 02 30.627310384|     ~|15.1  |13.0  |     ~|     ~|M              |  10|   0
1698|[W60] D35                          |*  |05 32 47.2391202645 -66 21 52.690994204|     ~|14.3  |13.0  |     ~|     ~|M              |   6|   0
1699|[W60] D29                          |*  |05 31 59.3465818855 -66 38 38.644374037|     ~|12.45 |11.17 |     ~|     ~|M              |  10|   0
1700|[W60] D2                           |Mi*|05 23 52.7793883389 -66 41 28.145082054|     ~|     ~|16.73 |15.80 |     ~|M              |  15|   0
1701|WOH G 256                          |*  |05 17 03.0069826576 -64 33 15.318205534|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1702|SP77 52-10                         |*  |05 32 32.1991633323 -66 58 15.081018013|     ~|14.70 |12.99 |     ~|     ~|M              |   5|   0
1703|SP77 45-14                         |*  |05 27 09.4040645190 -67 02 16.572038916|     ~|15.16 |13.30 |     ~|     ~|M              |   3|   0
1704|[W60] D14                          |AB*|05 29 17.6911498679 -67 02 34.573443926|     ~|11.98 |     ~|     ~|     ~|M              |   9|   0
1705|WOH G 302                          |AB*|05 23 17.7994082885 -66 57 07.542464676|     ~|11.77 |     ~|     ~|     ~|M              |  10|   1
1706|2MASS J05134642-6527433            |LP*|05 13 46.428 -65 27 43.38              |     ~|16.81 |15.02 |14.13 |     ~|M              |   6|   0
1707|SV* HV 5506                        |Mi*|04 58 55.6672208488 -66 45 41.431190812|     ~|     ~|16.70 |15.99 |12.913|M              |  11|   0
1708|WOH S 170                          |*  |05 08 07.7130491007 -65 48 48.566816154|     ~|13.37 |11.53 |     ~|     ~|M              |   6|   0
1709|WOH S 85                           |*  |04 56 28.6253534733 -64 37 47.672039629|     ~|13.814|12.299|     ~|     ~|M              |   3|   0
1710|WOH S 112                          |PM*|05 00 05.6796786086 -66 39 34.748319097|     ~|16.1  |14.5  |     ~|     ~|M              |   4|   0
1711|WOH S 146                          |AB*|05 04 52.2492821111 -66 08 05.429464378|     ~|     ~|16.16 |14.72 |     ~|M              |   5|   0
1712|WOH S 159                          |LP*|05 06 17.3867508991 -66 04 05.654299383|     ~|     ~|15.43 |14.20 |     ~|M              |   4|   0
1713|WOH S 169                          |LP*|05 07 55.6296625956 -65 00 20.125216623|     ~|     ~|     ~|13.201|     ~|M              |   2|   0
1714|WOH G 33                           |*  |04 48 08.2301538384 -65 07 59.263456260|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1715|WOH G 40                           |PM*|04 49 49.7384178550 -65 22 17.149686831|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1716|WOH G 41                           |*  |04 50 04.2350359876 -66 24 55.166395741|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1717|WOH G 42                           |LP*|04 50 04.5630037196 -66 28 21.851633116|     ~|     ~|     ~|14.177|     ~|M              |   2|   0
1718|WOH G 48                           |LP*|04 51 44.3019322831 -65 43 25.350027788|     ~|     ~|16.25 |14.169|     ~|M              |   3|   0
1719|WOH G 67                           |*  |04 55 51.3645627689 -65 26 23.058778747|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1720|WOH G 70                           |*  |04 56 05.4187884977 -65 45 30.320807038|     ~|     ~|15.23 |14.00 |     ~|M              |   2|   0
1721|WOH G 80                           |LP*|04 57 26.0542851567 -65 58 43.653341501|     ~|     ~|     ~|14.357|     ~|M              |   2|   0
1722|WOH G 82                           |*  |04 57 41.0928724183 -65 51 05.190110013|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1723|WOH G 84                           |LP*|04 57 50.8235857473 -65 57 46.759168345|     ~|     ~|15.80 |13.775|     ~|M              |   3|   0
1724|WOH G 88                           |*  |04 58 08.5592842453 -65 32 54.827049580|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1725|WOH G 95                           |LP*|04 58 43.6541089201 -66 27 06.413622100|     ~|     ~|16.11 |13.883|     ~|M              |   3|   0
1726|WOH G 96                           |LP*|04 58 46.7541030030 -65 34 56.987402691|     ~|     ~|     ~|14.374|     ~|M              |   2|   0
1727|WOH G 105                          |LP*|04 59 11.8357507896 -66 40 02.472095828|     ~|     ~|16.65 |14.196|13.896|M              |   4|   0
1728|WOH G 108                          |*  |04 59 30.8849425184 -66 17 10.048424177|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1729|WOH G 111                          |LP*|04 59 58.5238278579 -65 30 17.878834695|     ~|     ~|     ~|14.308|     ~|M              |   2|   0
1730|WOH G 113                          |*  |05 00 05.0178038149 -65 14 31.753288602|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1731|WOH G 119                          |*  |05 00 48.1635474583 -65 30 35.340080545|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1732|WOH G 124                          |pA?|05 01 09.2892408470 -65 17 02.202970693|18.678|17.320|15.592|     ~|12.304|M              |   2|   0
1733|WOH G 125                          |LP*|05 01 31.0294181159 -65 35 34.087891563|     ~|     ~|     ~|13.751|     ~|M              |   2|   0
1734|WOH G 126                          |*  |05 01 38.8256018574 -64 43 25.382921550|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1735|WOH G 137                          |*  |05 02 33.9262806520 -66 24 46.672201016|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1736|WOH G 139                          |LP*|05 02 37.4783547593 -66 20 12.929848022|19.53 |17.99 |16.39 |14.006|13.67 |M              |   4|   0
1737|WOH G 140                          |*  |05 02 37.2710020761 -66 36 06.853794182|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1738|WOH G 144                          |LP*|05 03 01.7928510484 -66 34 50.267242707|19.48 |17.63 |16.17 |13.955|13.728|M              |   5|   0
1739|WOH G 146                          |*  |05 03 16.2173325346 -65 42 37.825193211|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1740|WOH G 147                          |LP*|05 03 19.9734395752 -66 40 57.685440205|19.25 |17.50 |15.50 |14.52 |13.650|M              |   4|   0
1741|WOH G 148                          |AB*|05 03 32.5466055508 -65 24 57.203750100|19.03 |17.10 |15.35 |     ~|13.55 |M              |   2|   0
1742|WOH G 152                          |*  |05 04 06.6111146011 -64 27 29.893498043|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1743|WOH G 159                          |AB*|05 04 53.6801091174 -65 56 37.761704907|19.661|17.574|17.135|14.92 |12.750|M              |   7|   0
1744|WOH G 165                          |*  |05 05 18.5365155982 -64 30 22.699397088|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1745|WOH G 166                          |LP*|05 05 22.1669977883 -65 07 09.521162873|     ~|     ~|     ~|14.146|     ~|M              |   2|   0
1746|WOH G 172                          |LP*|05 05 48.7006797211 -66 39 50.578541693|     ~|19.05 |17.142|14.252|13.972|M              |   5|   0
1747|WOH G 173                          |LP*|05 05 53.5083535953 -66 46 54.984328910|19.10 |17.80 |15.75 |14.46 |12.662|M              |   4|   0
1748|WOH G 175                          |*  |05 06 13.8614655952 -65 55 58.427548915|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1749|WOH G 177                          |*  |05 06 26.821 -65 20 16.79              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1750|WOH G 182                          |*  |05 07 11.2551712256 -64 38 14.162976060|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1751|WOH G 189                          |LP*|05 07 33.2447507244 -66 17 14.751485205|19.89 |18.46 |16.49 |14.579|14.33 |M              |   4|   0
1752|WOH G 193                          |LP*|05 07 58.7872448674 -66 07 15.208088402|     ~|18.67 |17.33 |14.030|13.96 |M              |   3|   0
1753|WOH G 194                          |*  |05 08 04.2861017502 -64 51 49.811287461|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1754|WOH G 195                          |AB*|05 08 07.7077036311 -65 59 00.421471726|     ~|18.01 |15.98 |14.64 |12.76 |M              |   4|   0
1755|WOH G 203                          |*  |05 09 37.3092132418 -64 39 23.809079613|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1756|WOH G 208                          |*  |05 10 29.1022353565 -65 19 02.128112605|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1757|WOH G 209                          |*  |05 10 30.5816429492 -65 16 18.910280480|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1758|WOH G 215                          |*  |05 11 15.6586120416 -64 53 40.806041025|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1759|SV* HV 12227                       |Mi*|05 03 49.3796123527 -66 15 55.921692457|     ~|20.759|20.685|16.29 |14.280|M              |  11|   0
1760|2MASS J04590682-6559020            |LP*|04 59 06.827 -65 59 02.05              |     ~|     ~|15.90 |15.05 |     ~|M              |   7|   0
1761|2MASS J04590855-6558551            |AB*|04 59 08.55 -65 58 55.2                |     ~|     ~|     ~|     ~|     ~|M              |   3|   0
1762|WOH G 52                           |LP*|04 52 42.1304345689 -65 31 28.786723504|     ~|     ~|     ~|14.105|     ~|M              |   2|   0
1763|IRAS 09502-5410                    |*  |09 51 57.0868305370 -54 24 53.137988844|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1764|HD 300142                          |*  |09 34 15.9327974153 -56 12 33.515043102|     ~|10.51 | 9.01 |     ~|     ~|M              |   2|   0
1765|S1* 315                            |S* |08 29 38.9242819614 -62 31 04.950360204|     ~|11.57 | 9.97 |     ~|     ~|MS             |   7|   0
1766|V* UV Vol                          |Mi*|08 18 40.9027867306 -66 01 55.080131165|     ~|     ~|     ~|     ~|     ~|Me             |   6|   0
1767|V* T Vol                           |Mi*|06 57 47.9409140109 -67 07 25.749982128|     ~|11.45 | 9.70 |     ~|     ~|Me             |  12|   0
1768|WOH G 647                          |*  |06 03 23.6587618599 -67 47 16.197640273|     ~|     ~|15.65 |14.26 |     ~|M              |   2|   0
1769|SP77 54-45                         |V* |05 41 37.9206559435 -70 08 52.813309500|     ~|15.2  |14.36 |13.47 |     ~|M              |   6|   0
1770|[W60] C14                          |*  |05 36 06.4440483776 -67 27 11.665118366|     ~|15.0  |12.9  |     ~|     ~|M              |   7|   0
1771|RM 1-709                           |*  |05 37 50.7497146290 -68 16 24.313474747|     ~|14.3  |12.1  |     ~|     ~|M              |   5|   0
1772|SP77 62-8                          |*  |05 49 30.4855034589 -70 07 34.187295486|     ~|14.9  |12.746|     ~|10.845|M              |   7|   0
1773|SP77 62-10                         |*  |05 49 59.6049587685 -69 53 46.407876548|     ~|14.9  |12.9  |     ~|     ~|M              |   5|   0
1774|SP77 62-16                         |*  |05 54 44.6976698301 -69 47 14.448683431|     ~|14.9  |13.0  |     ~|     ~|M              |   4|   0
1775|OGLE BRIGHT-LMC-MISC-492           |*  |05 38 16.6806322812 -69 04 13.956929173|     ~|16.39 |13.905|     ~|11.453|M              |  14|   0
1776|RHV 0536518-673825                 |LP*|05 36 44.033 -67 36 45.09              |     ~|14.51 |16.45 |15.50 |     ~|M              |   4|   0
1777|RHV 0536354-680038                 |Mi*|05 36 24.5816282786 -67 58 56.995224441|     ~|14.05 |15.848|14.98 |14.008|M              |   6|   0
1778|WOH G 423                          |Mi*|05 36 03.280 -69 40 21.06              |     ~|     ~|19.01 |13.167|13.153|M              |   7|   0
1779|SHV 0537193-694955                 |LP*|05 36 52.5681329050 -69 48 14.365643786|     ~|     ~|17.338|14.281|14.141|MS             |   6|   0
1780|SHV 0543382-691322                 |Mi*|05 43 16.5360056580 -69 12 09.713600301|     ~|     ~|16.613|14.710|14.462|M              |   6|   0
1781|HTR 22                             |*  |05 39 26.7 -69 11 43                   |     ~|11.73 |10.82 |     ~|     ~|M              |   2|   0
1782|W61 8-4                            |LP*|05 39 39.42 -69 11 52.0                |     ~|16.72 |14.667|     ~|11.803|M              |  12|   0
1783|W61 8-7                            |*  |05 39 41.7820234382 -69 11 31.010156361|     ~|16.8  |14.670|     ~|12.087|M              |  12|   0
1784|MH 25                              |*  |05 39 07.3 -69 01 58                   |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
1785|WOH S 400                          |LP*|05 33 10.4405146419 -70 05 00.345129192|     ~|     ~|15.71 |12.751|12.671|M              |   4|   0
1786|WOH G 370                          |LP*|05 29 47.4687891414 -70 02 54.698427352|     ~|     ~|16.020|13.672|13.531|M              |   4|   0
1787|WOH G 375                          |LP*|05 30 06.6821041062 -70 07 22.230137950|     ~|     ~|16.903|13.460|13.333|M              |   4|   0
1788|WOH G 377                          |LP*|05 30 12.0211513329 -69 57 48.177160245|     ~|     ~|15.599|     ~|12.878|M              |   3|   0
1789|WOH G 378                          |LP*|05 30 25.5620362805 -70 06 37.673483091|     ~|     ~|16.669|     ~|12.960|M              |   2|   0
1790|WOH G 384                          |LP*|05 30 46.4291741551 -69 54 27.730155736|     ~|     ~|16.13 |15.23 |14.043|M              |   3|   0
1791|WOH G 386                          |LP*|05 30 50.499 -70 06 36.58              |     ~|     ~|15.918|     ~|13.758|M              |   2|   0
1792|WOH G 391                          |Mi*|05 31 32.7521533824 -68 27 27.293369500|     ~|     ~|16.401|     ~|12.882|M              |   3|   0
1793|WOH G 392                          |EB*|05 31 29.0688462754 -69 33 00.776019880|     ~|     ~|13.920|     ~|13.252|M              |   3|   0
1794|WOH G 401                          |*  |05 33 00.2021362158 -67 28 30.020766280|     ~|12.99 |12.01 |11.46 |     ~|M              |   2|   1
1795|WOH G 407                          |Mi*|05 33 46.5668724916 -68 43 00.746549833|18.574|17.646|16.222|15.18 |12.896|M              |   6|   0
1796|W61 26-79                          |*  |05 35 50.3072418249 -67 36 34.916770289|     ~|15.30 |13.20 |12.07 |     ~|M              |   6|   0
1797|WOH G 424                          |LP*|05 36 07.542 -70 11 09.42              |     ~|     ~|16.44 |13.532|13.414|M              |   5|   0
1798|WOH G 425                          |*  |05 36 43.2299000395 -67 55 46.469326482|     ~|     ~|14.65 |13.85 |     ~|M              |   2|   0
1799|WOH G 426                          |*  |05 36 46.4335149615 -67 55 58.316622317|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1800|WOH G 439                          |mul|05 38 26.4 -68 43 15                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   1
1801|WOH G 443                          |LP*|05 38 47.5911374773 -68 42 17.834982073|     ~|     ~|15.59 |14.46 |13.042|M              |   3|   0
1802|WOH G 446                          |LP*|05 39 11.3901222857 -67 37 12.297432156|     ~|     ~|16.19 |14.314|     ~|M              |   3|   0
1803|SV* HV 2776                        |V* |05 40 35.6611238740 -68 48 47.427316553|     ~|     ~|13.82 |12.75 |     ~|M              |   6|   0
1804|WOH G 457                          |LP*|05 40 08.0135351089 -70 09 02.569710774|     ~|     ~|15.93 |13.335|13.115|M              |   7|   0
1805|WOH G 462                          |LP*|05 40 47.7805315624 -68 05 10.414711716|     ~|     ~|16.83 |14.080|13.776|M              |   4|   0
1806|WOH G 464                          |LP*|05 40 52.6579900466 -67 35 50.249837070|     ~|     ~|14.31 |13.33 |     ~|M              |   2|   0
1807|WOH G 469                          |LP*|05 41 08.6315403074 -68 30 50.087921998|     ~|     ~|17.92 |14.130|13.989|M              |   4|   0
1808|WOH G 471                          |LP*|05 41 06.396 -69 45 49.80              |     ~|     ~|15.58 |14.25 |12.847|M              |   3|   0
1809|WOH G 474                          |LP*|05 41 18.7812048431 -68 06 56.359545816|     ~|     ~|17.27 |14.298|14.036|M              |   4|   0
1810|W61 8-70                           |LP*|05 41 44.50 -69 11 17.0                |     ~|16.135|13.955|     ~|11.44 |M              |   6|   0
1811|SV* HV 2793                        |cC*|05 41 48.5456982985 -68 41 16.103190398|     ~|14.66 |14.089|     ~|13.047|M              |  34|   0
1812|WOH G 486                          |*  |05 42 06.2845985773 -67 34 06.067463203|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1813|WOH G 490                          |LP*|05 42 07.2760004909 -69 46 37.360630146|     ~|     ~|16.11 |12.873|12.799|M              |   4|   0
1814|WOH G 491                          |*  |05 42 19.6981511388 -69 16 20.588785326|     ~|16.40 |14.44 |13.19 |     ~|M              |   4|   0
1815|WOH G 511                          |LP*|05 43 49.5056870558 -70 10 06.112339839|     ~|     ~|16.44 |12.707|12.555|M              |   4|   0
1816|WOH G 515                          |*  |05 44 20.1744738357 -67 38 13.716307928|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1817|WOH G 527                          |*  |05 45 07.3590747707 -69 04 47.288405552|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1818|WOH G 528                          |LP*|05 45 14.6576904984 -68 35 28.693271854|     ~|     ~|16.64 |15.22 |13.620|M              |   3|   0
1819|WOH G 529                          |*  |05 45 26.2363566121 -67 43 55.759559345|     ~|     ~|14.89 |13.80 |     ~|M              |   3|   0
1820|WOH G 536                          |*  |05 45 42.0828537970 -69 27 41.898778808|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1821|WOH G 542                          |LP*|05 45 51.3948128707 -70 16 30.639713779|     ~|     ~|16.179|13.260|12.993|M              |   3|   0
1822|WOH G 544                          |*  |05 46 03.9784492104 -68 14 42.235199587|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1823|WOH G 562                          |LP*|05 48 13.9975192841 -69 52 30.065646333|     ~|     ~|16.383|13.398|13.307|M              |   5|   0
1824|WOH G 568                          |*  |05 48 27.3569239979 -69 50 29.670290969|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1825|WOH G 570                          |*  |05 48 41.2610239650 -68 06 53.781536380|     ~|     ~|14.83 |13.89 |     ~|M              |   2|   0
1826|WOH G 581                          |LP*|05 49 23.3888435263 -67 51 59.731856433|     ~|     ~|15.62 |14.38 |     ~|M              |   2|   0
1827|WOH G 587                          |PM*|05 50 05.0730358030 -70 02 24.834502235|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1828|WOH G 600                          |LP*|05 51 25.0599316409 -69 27 16.819090068|     ~|     ~|16.25 |14.79 |12.836|M              |   3|   0
1829|WOH G 602                          |LP*|05 51 49.2587125716 -67 35 41.675607706|     ~|     ~|16.06 |13.557|13.199|M              |   4|   0
1830|WOH G 615                          |LP*|05 53 25.2553762661 -69 35 07.164351396|     ~|     ~|16.26 |13.821|13.527|M              |   4|   0
1831|WOH G 627                          |*  |05 55 20.1732559887 -67 30 46.578902708|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1832|WOH G 629                          |LP*|05 55 24.1492868680 -69 35 14.166977179|     ~|     ~|15.34 |14.14 |12.599|M              |   3|   0
1833|WOH G 632                          |*  |05 55 46.9407358554 -69 44 10.529614031|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1834|WOH G 635                          |LP*|05 56 01.5783088402 -69 11 04.618751429|     ~|     ~|16.55 |14.277|14.040|M              |   4|   0
1835|WOH G 637                          |LP*|05 56 34.361 -69 05 55.93              |     ~|     ~|16.86 |14.043|     ~|M              |   3|   0
1836|SP77 54-10                         |*  |05 33 38.6315889954 -69 10 14.679910657|     ~|15.5  |13.5  |     ~|     ~|M              |   4|   0
1837|RM 1-639                           |*  |05 34 33.2655256392 -69 07 04.280081581|     ~|15.4  |13.95 |13.07 |     ~|M              |   3|   0
1838|SP77 54-18                         |*  |05 34 44.6796670307 -69 04 06.356494626|     ~|     ~|13.5  |     ~|     ~|M              |   4|   0
1839|RM 1-649                           |*  |05 34 53.7714242256 -69 11 09.771319822|     ~|16.0  |14.32 |13.31 |     ~|M              |   4|   0
1840|RM 1-685                           |LP*|05 36 23.4704234434 -68 50 26.594429837|     ~|16.0  |14.17 |13.29 |     ~|M              |   5|   0
1841|RM 1-728                           |*  |05 39 12.6615800130 -68 54 38.328742741|     ~|16.26 |14.30 |13.27 |     ~|M              |   5|   0
1842|RM 1-737                           |*  |05 40 11.1073962279 -68 47 18.683467291|     ~|16.2  |14.268|     ~|12.161|M              |   5|   0
1843|W61 8-42                           |*  |05 41 09.8795237754 -69 15 35.933488588|     ~|16.0  |14.045|     ~|11.812|M              |   5|   0
1844|W61 8-63                           |*  |05 41 41.5034665533 -69 11 51.795823451|     ~|15.840|13.859|     ~|11.73 |M              |   6|   0
1845|SP77 53-34                         |*  |05 42 18.9969172330 -68 58 06.780867132|     ~|15.48 |13.48 |12.47 |     ~|M              |   5|   0
